crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic
10356,127.00019246086138,37.56926064851388,예지동,종로1·2·3·4가동,2.0,104,30.0,0.2035585258750063,0,21.134,0,2,4,51,0.0,,0.0,5.2835
10349,126.99249846867598,37.568475047964434,장사동,종로1·2·3·4가동,2.0,104,30.0,0.2035585258750063,0,21.134,1,10,21,43,0.6666666666666666,4.0,0.0,5.2835
136876,126.99929873885362,37.589729124195195,혜화동,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,0,10,16,26,0.3125,3.0,0.0,2.64175
136877,126.9991242525229,37.58967734906277,혜화동,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,0,11,16,27,0.3125,3.0,0.0,2.64175
136878,126.99837621174969,37.5897916262902,명륜1가,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,0,4,15,25,0.4,2.0,0.0,2.64175
137936,127.00198354701128,37.57465111829208,효제동,종로5·6가동,1.0,104,50.0,0.2035585258750063,0,10.567,1,8,22,70,0.4090909090909091,2.0,0.0,2.64175
172917,127.00091060531037,37.585881072939586,혜화동,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,1,16,48,82,0.375,3.0,0.0,2.64175
137939,126.998600391642,37.57344592621505,연지동,종로5·6가동,2.0,104,30.0,0.2035585258750063,0,21.134,0,5,15,42,0.4,2.0,0.0,5.2835
137942,126.99958701213805,37.57337950541125,연지동,종로5·6가동,2.0,104,30.0,0.2035585258750063,0,21.134,0,1,7,33,0.5714285714285714,2.0,0.0,5.2835
73936,126.98288303504702,37.57221028506962,견지동,종로1·2·3·4가동,3.0,104,50.0,0.2035585258750063,2,31.701,1,16,32,80,0.34375,4.0,0.0,7.925249999999998
137943,126.99955124434682,37.573232413869334,연지동,종로5·6가동,2.0,104,30.0,0.2035585258750063,0,21.134,0,1,10,34,0.4,2.0,0.0,5.2835
134868,126.98788590328928,37.57047385275599,종로2가,종로1·2·3·4가동,3.0,104,30.0,0.2035585258750063,0,31.701,1,48,102,341,0.6862745098039216,4.0,0.0,7.925249999999998
141924,127.00550945115214,37.57494548569679,충신동,종로5·6가동,3.0,104,50.0,0.2035585258750063,0,31.701,1,9,17,60,0.4117647058823529,2.0,0.0,7.925249999999998
135986,126.99826678639148,37.58984575206203,명륜1가,혜화동,1.0,104,30.0,0.15025660017988465,1,10.567,0,4,15,25,0.4,2.0,0.0,2.64175
137016,127.0009970613275,37.58592614854478,혜화동,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,1,19,49,84,0.3469387755102041,3.0,0.0,2.64175
137018,127.00139356558338,37.586011552262235,혜화동,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,1,20,37,81,0.2972972972972973,4.0,0.0,2.64175
137019,127.00176026196631,37.586246418621705,혜화동,혜화동,4.0,104,50.0,0.15025660017988465,0,42.268,0,21,30,79,0.3,2.0,0.0,10.567
137020,127.00153666333087,37.58595698443485,혜화동,혜화동,4.0,104,50.0,0.15025660017988465,0,42.268,1,21,40,81,0.325,4.0,0.0,10.567
137021,127.00167976060287,37.585890554248266,혜화동,혜화동,4.0,104,50.0,0.15025660017988465,1,42.268,1,19,37,78,0.3783783783783784,4.0,0.0,10.567
137035,126.99990593574422,37.58429866068804,명륜2가,혜화동,4.0,104,50.0,0.15025660017988465,0,42.268,1,7,15,184,0.6666666666666666,2.0,0.0,10.567
137038,127.00014144695389,37.58414919706442,명륜2가,혜화동,2.0,104,50.0,0.15025660017988465,0,21.134,1,4,33,204,0.6363636363636364,2.0,0.0,5.2835
137208,126.99876118926278,37.58319784303414,명륜2가,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,1,68,90,140,0.4888888888888889,3.0,0.0,2.64175
137212,126.99869858627684,37.58317411797916,명륜2가,혜화동,1.0,104,30.0,0.15025660017988465,0,10.567,1,70,90,140,0.4888888888888889,3.0,0.0,2.64175
138220,127.00381403820745,37.58776383988673,혜화동,혜화동,4.0,104,50.0,0.15025660017988465,1,42.268,1,5,12,47,0.5833333333333334,2.0,0.0,10.567
137065,127.00115803476538,37.585112401116454,혜화동,혜화동,2.0,104,50.0,0.15025660017988465,0,21.134,1,17,43,122,0.4883720930232558,3.0,0.0,5.2835
137067,127.00103580637881,37.585143243937914,혜화동,혜화동,2.0,104,50.0,0.15025660017988465,0,21.134,1,17,41,122,0.4634146341463415,4.0,0.0,5.2835
137068,127.00075855688831,37.585276102535246,혜화동,혜화동,4.0,104,50.0,0.15025660017988465,1,42.268,1,12,40,120,0.45,4.0,0.0,10.567
137069,127.00144718526742,37.58382179185937,혜화동,혜화동,2.0,104,50.0,0.15025660017988465,1,21.134,1,35,79,141,0.569620253164557,2.0,0.0,5.2835
137073,127.00180194276639,37.583902449864404,혜화동,혜화동,3.0,104,50.0,0.15025660017988465,0,31.701,1,24,75,137,0.56,2.0,0.0,7.925249999999998
