crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic
NODE_10350,126.9925284699649,37.5682673073767,입정동,을지로동,2.0,104,30.0,0.15585960737656157,0,20.876,1,10,11,33,0.6363636363636364,4.0,0.0,5.218999999999998
NODE_10352,126.99531298636944,37.568490582338555,산림동,을지로동,2.0,104,30.0,0.15585960737656157,0,20.876,0,5,8,18,0.125,2.0,0.0,5.218999999999998
NODE_10353,126.9961065116364,37.568559267043454,산림동,을지로동,2.0,104,30.0,0.15585960737656157,0,20.876,0,0,7,21,0.14285714285714285,,0.0,5.218999999999998
NODE_10357,127.00186106306721,37.56954338393286,방산동,을지로동,2.0,104,30.0,0.15585960737656157,1,20.876,1,3,8,63,0.375,4.0,0.0,5.218999999999998
NODE_10358,127.00025385561531,37.569126886119214,주교동,을지로동,2.0,104,30.0,0.15585960737656157,0,20.876,0,1,3,40,0.0,,0.0,5.218999999999998
NODE_10359,127.00232539560004,37.569434670593154,방산동,을지로동,2.0,104,30.0,0.15585960737656157,0,20.876,1,3,8,44,0.25,4.0,0.0,5.218999999999998
NODE_8452,127.00904163505864,37.556655239380504,신당동,청구동,4.0,104,50.0,0.2478468022723108,0,41.752,1,0,0,0,0.0,2.0,0.0,10.437999999999995
NODE_8459,127.00763809560277,37.54969475962239,신당동,청구동,2.0,104,50.0,0.2478468022723108,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998
NODE_8469,127.00968223143315,37.55317318377117,신당동,청구동,2.0,104,50.0,0.2478468022723108,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998
NODE_9774,127.00223433688959,37.55296868615897,장충동2가,필동,2.0,104,50.0,0.18382769695824674,0,20.876,1,0,0,0,0.0,2.0,0.0,5.218999999999998
NODE_10360,127.00225352101042,37.56956511811492,방산동,을지로동,2.0,104,30.0,0.15585960737656157,1,20.876,1,4,9,59,0.3333333333333333,4.0,0.0,5.218999999999998
NODE_10363,127.0124286850836,37.56970408563532,신당동,청구동,2.0,104,30.0,0.2478468022723108,0,20.876,0,12,22,38,0.3181818181818182,3.0,0.0,5.218999999999998
NODE_10366,127.01251206408209,37.56970178829955,신당동,청구동,2.0,104,30.0,0.2478468022723108,0,20.876,0,13,22,39,0.3181818181818182,3.0,0.0,5.218999999999998
NODE_10368,127.01916000344528,37.57104284412443,황학동,황학동,1.0,104,30.0,0.1717813302883243,0,10.438,1,14,31,82,0.3548387096774194,4.0,0.0,2.609499999999999
NODE_10369,126.96391161344133,37.5590586750625,중림동,중림동,1.0,104,30.0,0.1901991313611407,0,10.438,0,6,18,48,0.7222222222222222,3.0,0.0,2.609499999999999
NODE_10376,126.96917746329122,37.55521377128667,봉래동2가,회현동,3.0,104,50.0,0.29465968586387437,0,31.314,1,2,6,34,0.3333333333333333,2.0,0.0,7.828499999999998
NODE_10377,126.96921799083479,37.55521734894932,봉래동2가,회현동,3.0,104,50.0,0.29465968586387437,0,31.314,1,2,6,34,0.3333333333333333,2.0,0.0,7.828499999999998
NODE_10378,126.96922352456825,37.555293035489186,봉래동2가,회현동,3.0,104,50.0,0.29465968586387437,0,31.314,1,2,6,34,0.3333333333333333,2.0,0.0,7.828499999999998
NODE_10381,126.97645250152681,37.55415182026164,남대문로5가,회현동,2.0,104,50.0,0.29465968586387437,0,20.876,1,1,9,18,0.5555555555555556,4.0,0.0,5.218999999999998
NODE_10382,126.976424483047,37.55349426337558,남대문로5가,회현동,2.0,104,50.0,0.29465968586387437,0,20.876,1,6,13,24,0.23076923076923078,2.0,0.0,5.218999999999998
NODE_10383,126.97648672653058,37.55501002744776,남대문로5가,회현동,2.0,104,50.0,0.29465968586387437,0,20.876,1,3,4,9,0.75,2.0,0.0,5.218999999999998
NODE_8339,127.0079939678992,37.55799067413339,장충동2가,필동,4.0,104,50.0,0.18382769695824674,0,41.752,1,0,0,0,0.0,2.0,0.0,10.437999999999995
NODE_8340,127.00822109643221,37.558237820098846,장충동1가,장충동,4.0,104,50.0,0.17818315828266076,0,41.752,1,0,0,0,0.0,2.0,0.0,10.437999999999995
