crosswalk_id,lon,lat,dong_name,admin_dong,lanes,road_rank,max_spd,elderly_ratio,accident_count,crosswalk_length,has_signal,accident_count_50m,accident_count_100m,accident_count_200m,night_accident_ratio,link_count,is_oneway,time_gap_basic,risk_score,source_crosswalk_id,canonical_crosswalk_id,is_restored_in_sumo_network,sumo_restored_source,crossing_present,walkingarea_present,tlLogic_present,ped_link_indices,ped_has_green,ped_has_red,traci_status,route_smoke_status,final_verdict,runtime_status,registry_crosswalk_id,sumo_restored_level,phase6_ready_confirmed
LINK_249048,126.97407,37.55869645,¨ëë¬¸ë_5ê°,__,5,104,50,0.294659686,0,26.286,1,0,0,0,0,0,0,6.5715,17.62836164,LINK_249048,249048,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_10335,126.9691388,37.56806412,ì¶©ì_ë¡1ê°,_³µ,3,103,50,0.097727273,0,31.314,1,20,28,42,0.535714286,4,0,7.8285,17.33824152,NODE_10335,10335,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_8369,127.0116327,37.55385957,__,ì²µ¬,4,104,60,0.247846802,0,41.752,1,0,0,0,0,4,0,10.438,16.8947065,NODE_8369,8369,TRUE,phase6_ready_candidates_total_FINAL_237.csv,TRUE,TRUE,TRUE,[11],TRUE,TRUE,,,,,NODE_8369,RESTORED_SIGNAL_STRUCTURE_OK,FALSE
NODE_8426,127.0109559,37.55473271,__,ì²µ¬,4,104,60,0.247846802,0,41.752,1,0,0,0,0,4,0,10.438,16.8947065,NODE_8426,8426,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_5837,126.9742002,37.55863802,¨ëë¬¸ë_5ê°,__,5,104,50,0.294659686,0,52.19,1,0,0,0,0,2,0,13.0475,16.85948406,NODE_5837,5837,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_167173,126.9690472,37.56796525,ì¶©ì_ë¡1ê°,_³µ,3,103,50,0.097727273,0,31.314,1,17,28,43,0.535714286,2,0,7.8285,16.81115038,NODE_167173,167173,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
LINK_239754,126.9738135,37.55874664,¨ëë¬¸ë_5ê°,__,4,104,50,0.294659686,0,17.543,1,0,0,0,0,0,0,4.38575,16.7300684,LINK_239754,239754,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_74388,126.974071,37.55395107,¨ëë¬¸ë_5ê°,__,4,104,50,0.294659686,0,41.752,1,2,6,35,0.333333333,3,0,10.438,16.32970984,NODE_74388,74388,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_5846,126.9739357,37.55874323,¨ëë¬¸ë_5ê°,__,4,104,50,0.294659686,0,41.752,1,0,0,0,0,2,0,10.438,16.0795785,NODE_5846,5846,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_5830,126.9737315,37.55879125,¨ëë¬¸ë_5ê°,__,4,104,50,0.294659686,0,41.752,1,0,0,0,0,2,0,10.438,16.0795785,NODE_5830,5830,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
NODE_5831,126.9738954,37.55870203,¨ëë¬¸ë_5ê°,__,4,104,50,0.294659686,0,41.752,1,0,0,0,0,2,0,10.438,16.0795785,NODE_5831,5831,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
LINK_10218,126.9692223,37.55532691,ë´__2ê°,__,3,104,50,0.294659686,0,7.523,1,2,6,34,0.333333333,0,0,1.88075,15.93673013,LINK_10218,10218,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
LINK_140740,126.9692208,37.55525519,ë´__2ê°,__,3,104,50,0.294659686,0,8.415,1,2,6,34,0.333333333,0,0,2.10375,15.89536872,LINK_140740,140740,FALSE,NOT_IN_FINAL_237,,,,,,,,,,,,NOT_IN_RESTORED_237,FALSE
