crosswalk_id,crossing_edge_id,candidate_from_edge,candidate_to_edge,selected,valid,contains_crossing_edge,generated_route_edges,reason
NODE_10335,:12234253870_c0,671981404#18,773066533#2,True,True,True,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,net_audit:net_audit
NODE_10335,:12234253870_c0,671981404#18,773066533#2,True,True,True,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,crossing_walkarea_forward:ok
NODE_8369,:1936511299_c0,519097166#1,519097168#1,True,True,True,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,net_audit:net_audit
NODE_8369,:1936511299_c0,519097166#1,519097168#1,True,True,True,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,crossing_walkarea_forward:ok
NODE_167173,:12234253870_c0,671981404#18,773066533#2,True,True,True,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,net_audit:net_audit
NODE_167173,:12234253870_c0,671981404#18,773066533#2,True,True,True,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,crossing_walkarea_forward:ok
LINK_239754,:5593950698_c0,585341916#3,585341916#4,True,True,True,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,net_audit:net_audit
LINK_239754,:5593950698_c0,585341916#3,585341916#4,True,True,True,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,crossing_walkarea_forward:ok
NODE_5846,:5593950698_c0,585341916#3,585341916#4,True,True,True,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,net_audit:net_audit
NODE_5846,:5593950698_c0,585341916#3,585341916#4,True,True,True,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,crossing_walkarea_forward:ok
NODE_5831,:5593950698_c0,585341916#3,585341916#4,True,True,True,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,net_audit:net_audit
NODE_5831,:5593950698_c0,585341916#3,585341916#4,True,True,True,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,crossing_walkarea_forward:ok
NODE_10377,:436839905_c0,1110186416#14,183272312#0,True,True,True,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,net_audit:net_audit
NODE_10377,:436839905_c0,1110186416#14,183272312#0,True,True,True,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,crossing_walkarea_forward:ok
NODE_10376,:436839905_c0,1110186416#14,183272312#0,True,True,True,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,net_audit:net_audit
NODE_10376,:436839905_c0,1110186416#14,183272312#0,True,True,True,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,crossing_walkarea_forward:ok
NODE_150723,:436839905_c0,1110186416#14,183272312#0,True,True,True,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,net_audit:net_audit
NODE_150723,:436839905_c0,1110186416#14,183272312#0,True,True,True,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,crossing_walkarea_forward:ok
NODE_125895,:1936511299_c1,519097166#1,519097168#1,True,True,True,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,net_audit:net_audit
NODE_125895,:1936511299_c1,-519097168#1,-519097168#0,True,True,True,-519097168#1|:1936511299_w2|:1936511299_c1|:1936511299_w1|-519097168#0,crossing_walkarea_forward:ok
NODE_10381,:3873291328_c0,842507784,-1339655670#1,True,True,True,842507784|:3873291328_w1|:3873291328_c0|:3873291328_w0|-1339655670#1,net_audit:net_audit
NODE_10381,:3873291328_c0,842507784,-1339655670#1,True,True,True,842507784|:3873291328_w1|:3873291328_c0|:3873291328_w0|-1339655670#1,crossing_walkarea_forward:ok
LINK_120139,:1936511299_c0,519097166#1,519097168#1,True,True,True,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,net_audit:net_audit
LINK_120139,:1936511299_c0,519097166#1,519097168#1,True,True,True,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,crossing_walkarea_forward:ok
