crosswalk_id,person_id,depart,route_from_edge,route_to_edge,crossing_edge_id,generated_route_edges,contains_crossing_edge,detected_crossing_presence,reason
LINK_239754,ped_4_0_LINK_239754,78.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_5_0_NODE_5846,78.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_6_0_NODE_5831,78.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_4_1_LINK_239754,80.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_5_1_NODE_5846,80.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_6_1_NODE_5831,80.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_4_2_LINK_239754,82.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_5_2_NODE_5846,82.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_6_2_NODE_5831,82.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_4_3_LINK_239754,84.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_5_3_NODE_5846,84.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_6_3_NODE_5831,84.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_4_4_LINK_239754,86.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_5_4_NODE_5846,86.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
LINK_239754,ped_6_4_NODE_5831,86.6,585341916#3,585341916#4,:5593950698_c0,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,True,road_in_route_path
NODE_10335,ped_1_0_NODE_10335,88.6,671981404#18,773066533#2,:12234253870_c0,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,True,road_in_route_path
NODE_10335,ped_3_0_NODE_167173,88.6,671981404#18,773066533#2,:12234253870_c0,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,True,road_in_route_path
NODE_8369,ped_12_0_LINK_120139,88.6,519097166#1,519097168#1,:1936511299_c0,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,True,road_in_route_path
NODE_8369,ped_2_0_NODE_8369,88.6,519097166#1,519097168#1,:1936511299_c0,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,True,road_in_route_path
NODE_10377,ped_7_0_NODE_10377,88.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_10377,ped_8_0_NODE_10376,88.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_10377,ped_9_0_NODE_150723,88.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_125895,ped_10_0_NODE_125895,88.6,-519097168#1,-519097168#0,:1936511299_c1,-519097168#1|:1936511299_w2|:1936511299_c1|:1936511299_w1|-519097168#0,True,True,road_in_route_path
NODE_10381,ped_11_0_NODE_10381,88.6,842507784,-1339655670#1,:3873291328_c0,842507784|:3873291328_w1|:3873291328_c0|:3873291328_w0|-1339655670#1,True,True,road_in_route_path
NODE_10335,ped_1_1_NODE_10335,90.6,671981404#18,773066533#2,:12234253870_c0,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,True,road_in_route_path
NODE_10335,ped_3_1_NODE_167173,90.6,671981404#18,773066533#2,:12234253870_c0,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,True,road_in_route_path
NODE_8369,ped_12_1_LINK_120139,90.6,519097166#1,519097168#1,:1936511299_c0,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,True,road_in_route_path
NODE_8369,ped_2_1_NODE_8369,90.6,519097166#1,519097168#1,:1936511299_c0,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,True,road_in_route_path
NODE_10377,ped_7_1_NODE_10377,90.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_10377,ped_8_1_NODE_10376,90.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_10377,ped_9_1_NODE_150723,90.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_125895,ped_10_1_NODE_125895,90.6,-519097168#1,-519097168#0,:1936511299_c1,-519097168#1|:1936511299_w2|:1936511299_c1|:1936511299_w1|-519097168#0,True,True,road_in_route_path
NODE_10381,ped_11_1_NODE_10381,90.6,842507784,-1339655670#1,:3873291328_c0,842507784|:3873291328_w1|:3873291328_c0|:3873291328_w0|-1339655670#1,True,True,road_in_route_path
NODE_10335,ped_1_2_NODE_10335,92.6,671981404#18,773066533#2,:12234253870_c0,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,True,road_in_route_path
NODE_10335,ped_3_2_NODE_167173,92.6,671981404#18,773066533#2,:12234253870_c0,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,True,road_in_route_path
NODE_8369,ped_12_2_LINK_120139,92.6,519097166#1,519097168#1,:1936511299_c0,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,True,road_in_route_path
NODE_8369,ped_2_2_NODE_8369,92.6,519097166#1,519097168#1,:1936511299_c0,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,True,road_in_route_path
NODE_10377,ped_7_2_NODE_10377,92.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_10377,ped_8_2_NODE_10376,92.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_10377,ped_9_2_NODE_150723,92.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_125895,ped_10_2_NODE_125895,92.6,-519097168#1,-519097168#0,:1936511299_c1,-519097168#1|:1936511299_w2|:1936511299_c1|:1936511299_w1|-519097168#0,True,True,road_in_route_path
NODE_10381,ped_11_2_NODE_10381,92.6,842507784,-1339655670#1,:3873291328_c0,842507784|:3873291328_w1|:3873291328_c0|:3873291328_w0|-1339655670#1,True,True,road_in_route_path
NODE_10335,ped_1_3_NODE_10335,94.6,671981404#18,773066533#2,:12234253870_c0,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,True,road_in_route_path
NODE_10335,ped_3_3_NODE_167173,94.6,671981404#18,773066533#2,:12234253870_c0,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,True,road_in_route_path
NODE_8369,ped_12_3_LINK_120139,94.6,519097166#1,519097168#1,:1936511299_c0,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,True,road_in_route_path
NODE_8369,ped_2_3_NODE_8369,94.6,519097166#1,519097168#1,:1936511299_c0,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,True,road_in_route_path
NODE_10377,ped_7_3_NODE_10377,94.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_10377,ped_8_3_NODE_10376,94.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_10377,ped_9_3_NODE_150723,94.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_125895,ped_10_3_NODE_125895,94.6,-519097168#1,-519097168#0,:1936511299_c1,-519097168#1|:1936511299_w2|:1936511299_c1|:1936511299_w1|-519097168#0,True,True,road_in_route_path
NODE_10381,ped_11_3_NODE_10381,94.6,842507784,-1339655670#1,:3873291328_c0,842507784|:3873291328_w1|:3873291328_c0|:3873291328_w0|-1339655670#1,True,True,road_in_route_path
NODE_10335,ped_1_4_NODE_10335,96.6,671981404#18,773066533#2,:12234253870_c0,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,True,road_in_route_path
NODE_10335,ped_3_4_NODE_167173,96.6,671981404#18,773066533#2,:12234253870_c0,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,True,road_in_route_path
NODE_8369,ped_12_4_LINK_120139,96.6,519097166#1,519097168#1,:1936511299_c0,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,True,road_in_route_path
NODE_8369,ped_2_4_NODE_8369,96.6,519097166#1,519097168#1,:1936511299_c0,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,True,road_in_route_path
NODE_10377,ped_7_4_NODE_10377,96.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_10377,ped_8_4_NODE_10376,96.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_10377,ped_9_4_NODE_150723,96.6,1110186416#14,183272312#0,:436839905_c0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,True,road_in_route_path
NODE_125895,ped_10_4_NODE_125895,96.6,-519097168#1,-519097168#0,:1936511299_c1,-519097168#1|:1936511299_w2|:1936511299_c1|:1936511299_w1|-519097168#0,True,True,road_in_route_path
NODE_10381,ped_11_4_NODE_10381,96.6,842507784,-1339655670#1,:3873291328_c0,842507784|:3873291328_w1|:3873291328_c0|:3873291328_w0|-1339655670#1,True,True,road_in_route_path
