sorted_index,person_id,crosswalk_id,depart,route_from_edge,route_to_edge,depart_sorted_ok
1,ped_4_0_LINK_239754,LINK_239754,78.5,585341916#3,585341916#4,True
2,ped_5_0_NODE_5846,NODE_5846,78.5,585341916#3,585341916#4,True
3,ped_6_0_NODE_5831,NODE_5831,78.5,585341916#3,585341916#4,True
4,ped_4_1_LINK_239754,LINK_239754,80.5,585341916#3,585341916#4,True
5,ped_5_1_NODE_5846,NODE_5846,80.5,585341916#3,585341916#4,True
6,ped_6_1_NODE_5831,NODE_5831,80.5,585341916#3,585341916#4,True
7,ped_4_2_LINK_239754,LINK_239754,82.5,585341916#3,585341916#4,True
8,ped_5_2_NODE_5846,NODE_5846,82.5,585341916#3,585341916#4,True
9,ped_6_2_NODE_5831,NODE_5831,82.5,585341916#3,585341916#4,True
10,ped_4_3_LINK_239754,LINK_239754,84.5,585341916#3,585341916#4,True
11,ped_5_3_NODE_5846,NODE_5846,84.5,585341916#3,585341916#4,True
12,ped_6_3_NODE_5831,NODE_5831,84.5,585341916#3,585341916#4,True
13,ped_4_4_LINK_239754,LINK_239754,86.5,585341916#3,585341916#4,True
14,ped_5_4_NODE_5846,NODE_5846,86.5,585341916#3,585341916#4,True
15,ped_6_4_NODE_5831,NODE_5831,86.5,585341916#3,585341916#4,True
16,ped_10_0_NODE_125895,NODE_125895,88.5,-519097168#1,-519097168#0,True
17,ped_11_0_NODE_10381,NODE_10381,88.5,842507784,-1339655670#1,True
18,ped_12_0_LINK_120139,LINK_120139,88.5,519097166#1,519097168#1,True
19,ped_1_0_NODE_10335,NODE_10335,88.5,671981404#18,773066533#2,True
20,ped_2_0_NODE_8369,NODE_8369,88.5,519097166#1,519097168#1,True
21,ped_3_0_NODE_167173,NODE_167173,88.5,671981404#18,773066533#2,True
22,ped_7_0_NODE_10377,NODE_10377,88.5,1110186416#14,183272312#0,True
23,ped_8_0_NODE_10376,NODE_10376,88.5,1110186416#14,183272312#0,True
24,ped_9_0_NODE_150723,NODE_150723,88.5,1110186416#14,183272312#0,True
25,ped_10_1_NODE_125895,NODE_125895,90.5,-519097168#1,-519097168#0,True
26,ped_11_1_NODE_10381,NODE_10381,90.5,842507784,-1339655670#1,True
27,ped_12_1_LINK_120139,LINK_120139,90.5,519097166#1,519097168#1,True
28,ped_1_1_NODE_10335,NODE_10335,90.5,671981404#18,773066533#2,True
29,ped_2_1_NODE_8369,NODE_8369,90.5,519097166#1,519097168#1,True
30,ped_3_1_NODE_167173,NODE_167173,90.5,671981404#18,773066533#2,True
31,ped_7_1_NODE_10377,NODE_10377,90.5,1110186416#14,183272312#0,True
32,ped_8_1_NODE_10376,NODE_10376,90.5,1110186416#14,183272312#0,True
33,ped_9_1_NODE_150723,NODE_150723,90.5,1110186416#14,183272312#0,True
34,ped_10_2_NODE_125895,NODE_125895,92.5,-519097168#1,-519097168#0,True
35,ped_11_2_NODE_10381,NODE_10381,92.5,842507784,-1339655670#1,True
36,ped_12_2_LINK_120139,LINK_120139,92.5,519097166#1,519097168#1,True
37,ped_1_2_NODE_10335,NODE_10335,92.5,671981404#18,773066533#2,True
38,ped_2_2_NODE_8369,NODE_8369,92.5,519097166#1,519097168#1,True
39,ped_3_2_NODE_167173,NODE_167173,92.5,671981404#18,773066533#2,True
40,ped_7_2_NODE_10377,NODE_10377,92.5,1110186416#14,183272312#0,True
41,ped_8_2_NODE_10376,NODE_10376,92.5,1110186416#14,183272312#0,True
42,ped_9_2_NODE_150723,NODE_150723,92.5,1110186416#14,183272312#0,True
43,ped_10_3_NODE_125895,NODE_125895,94.5,-519097168#1,-519097168#0,True
44,ped_11_3_NODE_10381,NODE_10381,94.5,842507784,-1339655670#1,True
45,ped_12_3_LINK_120139,LINK_120139,94.5,519097166#1,519097168#1,True
46,ped_1_3_NODE_10335,NODE_10335,94.5,671981404#18,773066533#2,True
47,ped_2_3_NODE_8369,NODE_8369,94.5,519097166#1,519097168#1,True
48,ped_3_3_NODE_167173,NODE_167173,94.5,671981404#18,773066533#2,True
49,ped_7_3_NODE_10377,NODE_10377,94.5,1110186416#14,183272312#0,True
50,ped_8_3_NODE_10376,NODE_10376,94.5,1110186416#14,183272312#0,True
51,ped_9_3_NODE_150723,NODE_150723,94.5,1110186416#14,183272312#0,True
52,ped_10_4_NODE_125895,NODE_125895,96.5,-519097168#1,-519097168#0,True
53,ped_11_4_NODE_10381,NODE_10381,96.5,842507784,-1339655670#1,True
54,ped_12_4_LINK_120139,LINK_120139,96.5,519097166#1,519097168#1,True
55,ped_1_4_NODE_10335,NODE_10335,96.5,671981404#18,773066533#2,True
56,ped_2_4_NODE_8369,NODE_8369,96.5,519097166#1,519097168#1,True
57,ped_3_4_NODE_167173,NODE_167173,96.5,671981404#18,773066533#2,True
58,ped_7_4_NODE_10377,NODE_10377,96.5,1110186416#14,183272312#0,True
59,ped_8_4_NODE_10376,NODE_10376,96.5,1110186416#14,183272312#0,True
60,ped_9_4_NODE_150723,NODE_150723,96.5,1110186416#14,183272312#0,True
