sim_time,crosswalk_id,tls_id,ped_link_index,phase_index,phase_state,ped_link_state,ped_has_green,ped_has_red,pedestrian_only_phase,non_ped_green_count
0.1,NODE_10335,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.1,NODE_8369,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.1,NODE_167173,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.1,LINK_239754,5593950698,1,0,Gr,r,False,True,False,1
0.1,NODE_5846,5593950698,1,0,Gr,r,False,True,False,1
0.1,NODE_5831,5593950698,1,0,Gr,r,False,True,False,1
0.1,NODE_10377,436839905,4,0,GGrrr,r,False,True,False,2
0.1,NODE_10376,436839905,4,0,GGrrr,r,False,True,False,2
0.1,NODE_150723,436839905,4,0,GGrrr,r,False,True,False,2
0.1,NODE_125895,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.1,NODE_10381,3873291328,11,0,GGGgrrrrgGGrGr,r,False,True,False,8
0.1,LINK_120139,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.2,NODE_10335,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.2,NODE_8369,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.2,NODE_167173,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.2,LINK_239754,5593950698,1,0,Gr,r,False,True,False,1
0.2,NODE_5846,5593950698,1,0,Gr,r,False,True,False,1
0.2,NODE_5831,5593950698,1,0,Gr,r,False,True,False,1
0.2,NODE_10377,436839905,4,0,GGrrr,r,False,True,False,2
0.2,NODE_10376,436839905,4,0,GGrrr,r,False,True,False,2
0.2,NODE_150723,436839905,4,0,GGrrr,r,False,True,False,2
0.2,NODE_125895,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.2,NODE_10381,3873291328,11,0,GGGgrrrrgGGrGr,r,False,True,False,8
0.2,LINK_120139,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.3,NODE_10335,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.3,NODE_8369,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.3,NODE_167173,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.3,LINK_239754,5593950698,1,0,Gr,r,False,True,False,1
0.3,NODE_5846,5593950698,1,0,Gr,r,False,True,False,1
0.3,NODE_5831,5593950698,1,0,Gr,r,False,True,False,1
0.3,NODE_10377,436839905,4,0,GGrrr,r,False,True,False,2
0.3,NODE_10376,436839905,4,0,GGrrr,r,False,True,False,2
0.3,NODE_150723,436839905,4,0,GGrrr,r,False,True,False,2
0.3,NODE_125895,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.3,NODE_10381,3873291328,11,0,GGGgrrrrgGGrGr,r,False,True,False,8
0.3,LINK_120139,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.4,NODE_10335,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.4,NODE_8369,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.4,NODE_167173,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.4,LINK_239754,5593950698,1,0,Gr,r,False,True,False,1
0.4,NODE_5846,5593950698,1,0,Gr,r,False,True,False,1
0.4,NODE_5831,5593950698,1,0,Gr,r,False,True,False,1
0.4,NODE_10377,436839905,4,0,GGrrr,r,False,True,False,2
0.4,NODE_10376,436839905,4,0,GGrrr,r,False,True,False,2
0.4,NODE_150723,436839905,4,0,GGrrr,r,False,True,False,2
0.4,NODE_125895,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.4,NODE_10381,3873291328,11,0,GGGgrrrrgGGrGr,r,False,True,False,8
0.4,LINK_120139,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.5,NODE_10335,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.5,NODE_8369,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.5,NODE_167173,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.5,LINK_239754,5593950698,1,0,Gr,r,False,True,False,1
0.5,NODE_5846,5593950698,1,0,Gr,r,False,True,False,1
0.5,NODE_5831,5593950698,1,0,Gr,r,False,True,False,1
0.5,NODE_10377,436839905,4,0,GGrrr,r,False,True,False,2
0.5,NODE_10376,436839905,4,0,GGrrr,r,False,True,False,2
0.5,NODE_150723,436839905,4,0,GGrrr,r,False,True,False,2
0.5,NODE_125895,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.5,NODE_10381,3873291328,11,0,GGGgrrrrgGGrGr,r,False,True,False,8
0.5,LINK_120139,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.6,NODE_10335,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.6,NODE_8369,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.6,NODE_167173,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.6,LINK_239754,5593950698,1,0,Gr,r,False,True,False,1
0.6,NODE_5846,5593950698,1,0,Gr,r,False,True,False,1
0.6,NODE_5831,5593950698,1,0,Gr,r,False,True,False,1
0.6,NODE_10377,436839905,4,0,GGrrr,r,False,True,False,2
0.6,NODE_10376,436839905,4,0,GGrrr,r,False,True,False,2
0.6,NODE_150723,436839905,4,0,GGrrr,r,False,True,False,2
0.6,NODE_125895,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.6,NODE_10381,3873291328,11,0,GGGgrrrrgGGrGr,r,False,True,False,8
0.6,LINK_120139,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.7,NODE_10335,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.7,NODE_8369,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.7,NODE_167173,12234253870,12,0,GGgrrrrrrGggG,G,True,False,False,6
0.7,LINK_239754,5593950698,1,0,Gr,r,False,True,False,1
0.7,NODE_5846,5593950698,1,0,Gr,r,False,True,False,1
0.7,NODE_5831,5593950698,1,0,Gr,r,False,True,False,1
0.7,NODE_10377,436839905,4,0,GGrrr,r,False,True,False,2
0.7,NODE_10376,436839905,4,0,GGrrr,r,False,True,False,2
0.7,NODE_150723,436839905,4,0,GGrrr,r,False,True,False,2
0.7,NODE_125895,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
0.7,NODE_10381,3873291328,11,0,GGGgrrrrgGGrGr,r,False,True,False,8
0.7,LINK_120139,1936511299,11,0,GGggrrrgGGgrGr,r,False,True,False,9
