crosswalk_id,seed,vehicle_id,depart_edge,depart_edge_exists,passenger_allowed,replacement_edge,action,reason
NODE_10335,11,veh_1_NODE_10335,671981404#18,True,False,773066533#2,generate_vehicle,replaced_with_nearby_passenger_path
NODE_8369,11,veh_2_NODE_8369,519097166#1,True,True,519097166#1,generate_vehicle,original_depart_valid
NODE_167173,11,veh_3_NODE_167173,671981404#18,True,False,773066533#2,generate_vehicle,replaced_with_nearby_passenger_path
LINK_239754,11,veh_4_LINK_239754,585341916#3,True,False,218926711#3,generate_vehicle,replaced_with_nearby_passenger_path
NODE_5846,11,veh_5_NODE_5846,585341916#3,True,False,218926711#3,generate_vehicle,replaced_with_nearby_passenger_path
NODE_5831,11,veh_6_NODE_5831,585341916#3,True,False,218926711#3,generate_vehicle,replaced_with_nearby_passenger_path
NODE_10377,11,veh_7_NODE_10377,1110186416#14,True,True,1110186416#14,generate_vehicle,original_depart_valid
NODE_10376,11,veh_8_NODE_10376,1110186416#14,True,True,1110186416#14,generate_vehicle,original_depart_valid
NODE_150723,11,veh_9_NODE_150723,1110186416#14,True,True,1110186416#14,generate_vehicle,original_depart_valid
NODE_125895,11,veh_10_NODE_125895,-519097168#1,True,True,-519097168#1,generate_vehicle,original_depart_valid
NODE_10381,11,veh_11_NODE_10381,842507784,True,False,-1339655670#1,generate_vehicle,replaced_with_nearby_passenger_path
LINK_120139,11,veh_12_LINK_120139,519097166#1,True,True,519097166#1,generate_vehicle,original_depart_valid
