crosswalk_id,source_crosswalk_id,canonical_crosswalk_id,nearest_junction_id,tls_id,tls_id_used,crossing_id,crossing_edge_id,ped_link_index,ped_link_indices,ped_depart_offset_sec,route_from_edge,route_to_edge,generated_route_edges,contains_crossing_edge,ped_repeat_count,ped_repeat_spacing_sec,route_reason,incident_road_edges,nearest_road_edge_id,source_file,batch_network_file,final_verdict,step_test_ok,controlled_links_count,crossing_inventory_used,ped_depart_time
NODE_10335,NODE_10335,10335,12234253870,12234253870,12234253870,:12234253870_c0,:12234253870_c0,12,12,0.0,671981404#18,773066533#2,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,88.5
NODE_8369,NODE_8369,8369,1936511299,1936511299,1936511299,:1936511299_c0,:1936511299_c0,11,11,0.0,519097166#1,519097168#1,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,88.5
NODE_167173,NODE_167173,167173,12234253870,12234253870,12234253870,:12234253870_c0,:12234253870_c0,12,12,0.0,671981404#18,773066533#2,671981404#18|:12234253870_w1|:12234253870_c0|:12234253870_w0|773066533#2,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,88.5
LINK_239754,LINK_239754,239754,5593950698,5593950698,5593950698,:5593950698_c0,:5593950698_c0,1,1,0.0,585341916#3,585341916#4,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,78.5
NODE_5846,NODE_5846,5846,5593950698,5593950698,5593950698,:5593950698_c0,:5593950698_c0,1,1,0.0,585341916#3,585341916#4,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,78.5
NODE_5831,NODE_5831,5831,5593950698,5593950698,5593950698,:5593950698_c0,:5593950698_c0,1,1,0.0,585341916#3,585341916#4,585341916#3|:5593950698_w0|:5593950698_c0|:5593950698_w1|585341916#4,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,78.5
NODE_10377,NODE_10377,10377,436839905,436839905,436839905,:436839905_c0,:436839905_c0,4,4,0.0,1110186416#14,183272312#0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,88.5
NODE_10376,NODE_10376,10376,436839905,436839905,436839905,:436839905_c0,:436839905_c0,4,4,0.0,1110186416#14,183272312#0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,88.5
NODE_150723,NODE_150723,150723,436839905,436839905,436839905,:436839905_c0,:436839905_c0,4,4,0.0,1110186416#14,183272312#0,1110186416#14|:436839905_w1|:436839905_c0|:436839905_w0|183272312#0,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,88.5
NODE_125895,NODE_125895,125895,1936511299,1936511299,1936511299,:1936511299_c1,:1936511299_c1,11,11,0.0,-519097168#1,-519097168#0,-519097168#1|:1936511299_w2|:1936511299_c1|:1936511299_w1|-519097168#0,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,88.5
NODE_10381,NODE_10381,10381,3873291328,3873291328,3873291328,:3873291328_c0,:3873291328_c0,11,11,0.0,842507784,-1339655670#1,842507784|:3873291328_w1|:3873291328_c0|:3873291328_w0|-1339655670#1,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,88.5
LINK_120139,LINK_120139,120139,1936511299,1936511299,1936511299,:1936511299_c0,:1936511299_c0,11,11,0.0,519097166#1,519097168#1,519097166#1|:1936511299_w1|:1936511299_c0|:1936511299_w0|519097168#1,True,5,2.0,from_nearest_road_edge_to_other_incident_edge,,,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,/Users/iseclient1/sumo-simulation/result/active/nets/current_main_12.net.xml,,,,False,88.5
