sim_time,crosswalk_id,tls_id,ped_link_index,current_phase_index,current_tls_state,ped_link_state,is_ped_green,is_pedestrian_only_phase,ped_near,detected_person_ids,remaining_phase_time,next_switch_time,extension_allowed,extension_decision,extension_skip_reason
0.1,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,35.9,36.0,False,False,not_pedestrian_only_phase
0.1,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,78.9,79.0,False,False,ped_link_not_green
0.1,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,35.9,36.0,False,False,not_pedestrian_only_phase
0.1,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,63.9,64.0,False,False,ped_link_not_green
0.1,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,13.9,14.0,False,False,ped_link_not_green
0.1,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,31.9,32.0,False,False,not_pedestrian_only_phase
0.1,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,29.9,30.0,False,False,ped_link_not_green
0.2,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,35.8,36.0,False,False,not_pedestrian_only_phase
0.2,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,78.8,79.0,False,False,ped_link_not_green
0.2,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,35.8,36.0,False,False,not_pedestrian_only_phase
0.2,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,63.8,64.0,False,False,ped_link_not_green
0.2,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,13.8,14.0,False,False,ped_link_not_green
0.2,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,31.8,32.0,False,False,not_pedestrian_only_phase
0.2,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,29.8,30.0,False,False,ped_link_not_green
0.3,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,35.7,36.0,False,False,not_pedestrian_only_phase
0.3,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,78.7,79.0,False,False,ped_link_not_green
0.3,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,35.7,36.0,False,False,not_pedestrian_only_phase
0.3,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,63.7,64.0,False,False,ped_link_not_green
0.3,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,13.7,14.0,False,False,ped_link_not_green
0.3,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,31.7,32.0,False,False,not_pedestrian_only_phase
0.3,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,29.7,30.0,False,False,ped_link_not_green
0.4,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,35.6,36.0,False,False,not_pedestrian_only_phase
0.4,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,78.6,79.0,False,False,ped_link_not_green
0.4,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,35.6,36.0,False,False,not_pedestrian_only_phase
0.4,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,63.6,64.0,False,False,ped_link_not_green
0.4,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,13.6,14.0,False,False,ped_link_not_green
0.4,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,31.6,32.0,False,False,not_pedestrian_only_phase
0.4,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,29.6,30.0,False,False,ped_link_not_green
0.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,35.5,36.0,False,False,not_pedestrian_only_phase
0.5,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,78.5,79.0,False,False,ped_link_not_green
0.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,35.5,36.0,False,False,not_pedestrian_only_phase
0.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,63.5,64.0,False,False,ped_link_not_green
0.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,13.5,14.0,False,False,ped_link_not_green
