run_name,crosswalk_id,scenario,seed,output_dir,run_start_time,run_end_time,elapsed_sec,completed,sim_duration,warmup,step_length,tls_id_used,ped_link_index,crossing_edge_id,route_from_edge,route_to_edge,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,ped_repeat_count_match,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,generated_vehicle_route_file,vehicle_route_sha256,pedestrian_route_file,pedestrian_route_sha256,net_sha256,surrounding_lane_count,vehicle_bbox_coverage,batch_network_file,route_reason,pet_source,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_available,pet_coverage_ratio,pet_unavailable_reason,accident_risk_estimate,scenario_name,demand_profile,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
phase6_smoke_baseline_seed7,LINK_212169,baseline,7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07,2026-05-20T00:35:21+00:00,2026-05-20T00:58:24+00:00,1383.062,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,0.0,0.0,38.48,100.0,0,7,3480,3480,1.0,1.0,16574,862,3466,,,,0.5729760299299604,0,0,473,6.234975129011579,144.26317991728266,38.681792717086836,39.90163934426229,531,3466,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_vehicle.rou.xml,b58c736cde50fe89baef483d1c40fc3125193aa15999e277621cf878b99b90e7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,20,0,0,20,200.0,400.0,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,38.48,,38.681792717086836,,,,2.0,2.0,0.0,0,0.0
phase6_smoke_baseline_seed7,NODE_8452,baseline,7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07,2026-05-20T00:35:21+00:00,2026-05-20T00:58:24+00:00,1383.062,True,600,0,0.1,3846603653,2,:3846603653_c0,381458592#4,-381458592#4,6000,541,5,5,5,True,0,0,0.0,0.0,25.47,91.6,0,7,3480,3480,1.0,1.0,16574,862,3466,,,,0.5729760299299604,0,0,435,7.195915272223795,71.37443016364114,25.663018621365566,22.721311475409838,442,3466,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_vehicle.rou.xml,b58c736cde50fe89baef483d1c40fc3125193aa15999e277621cf878b99b90e7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,125.0,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,25.47,,25.663018621365566,,,,2.0,2.0,0.0,0,0.0
phase6_smoke_baseline_seed7,NODE_6082,baseline,7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07,2026-05-20T00:35:21+00:00,2026-05-20T00:58:24+00:00,1383.062,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,,,38.48,100.0,0,7,3480,3480,1.0,1.0,16574,862,3466,,,,0.5729760299299604,0,0,473,6.234975129011579,144.26317991728266,38.681792717086836,39.90163934426229,531,3466,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_vehicle.rou.xml,b58c736cde50fe89baef483d1c40fc3125193aa15999e277621cf878b99b90e7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,20,0,0,20,200.0,400.0,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,,,,,,38.48,,38.681792717086836,,,,2.0,2.0,0.0,0,0.0
phase6_smoke_baseline_seed7,NODE_6123,baseline,7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07,2026-05-20T00:35:21+00:00,2026-05-20T00:58:24+00:00,1383.062,True,600,0,0.1,7300992884,5,:7300992884_c0,955312948,-955312948,6000,47,5,5,5,True,0,0,0.0,0.0,39.29,100.0,0,7,3480,3480,1.0,1.0,16574,862,3466,,,,0.5729760299299604,0,0,481,6.459813818273106,146.70595663263896,39.58324273221461,37.295081967213115,450,3466,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_vehicle.rou.xml,b58c736cde50fe89baef483d1c40fc3125193aa15999e277621cf878b99b90e7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,1,0,9,1,20.0,12.5,1.1999999999999886,2.9999999999999885,9.509999999999994,False,2.0,partial_pet_coverage_from_local_watcher,0.2,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,39.29,,39.58324273221461,,,,0.2,0.2,0.0,0,0.0
phase6_smoke_baseline_seed7,NODE_8426,baseline,7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07,2026-05-20T00:35:21+00:00,2026-05-20T00:58:24+00:00,1383.062,True,600,0,0.1,3849142980,16,:3849142980_c0,920025287#2,920025287#3,6000,1440,5,5,5,True,0,0,0.0,0.0,20.94,91.6,0,7,3480,3480,1.0,1.0,16574,862,3466,,,,0.5729760299299604,0,0,341,9.047653488567606,56.53519135407529,21.089675767918088,15.098360655737705,290,3466,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_vehicle.rou.xml,b58c736cde50fe89baef483d1c40fc3125193aa15999e277621cf878b99b90e7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,9,9,0,0,9,180.0,60.0,0.0,0.0,0.0,False,1.8,partial_pet_coverage_from_local_watcher,1.8,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,20.94,,21.089675767918088,,,,1.8,1.8,0.0,0,0.0
phase6_smoke_baseline_seed7,NODE_74388,baseline,7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07,2026-05-20T00:35:21+00:00,2026-05-20T00:58:24+00:00,1383.062,True,600,0,0.1,436883130,16,:436883130_c0,1206220504#1,-516163750#1,6000,1092,5,5,5,True,0,0,0.0,0.0,24.61,100.0,0,7,3480,3480,1.0,1.0,16574,862,3466,,,,0.5729760299299604,0,0,520,8.34103396812451,109.41175177820169,24.937239015269554,20.278688524590162,410,3466,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_vehicle.rou.xml,b58c736cde50fe89baef483d1c40fc3125193aa15999e277621cf878b99b90e7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,8,8,0,0,8,160.0,80.0,0.0,0.0,0.0,False,1.6,partial_pet_coverage_from_local_watcher,1.6,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,24.61,,24.937239015269554,,,,1.6,1.6,0.0,0,0.0
phase6_smoke_baseline_seed7,NODE_10273,baseline,7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07,2026-05-20T00:35:21+00:00,2026-05-20T00:58:24+00:00,1383.062,True,600,0,0.1,3846533030,12,:3846533030_c1,-381452118#0,381452118#0,6000,224,5,5,5,True,0,0,0.0,0.0,25.97,98.3,0,7,3480,3480,1.0,1.0,16574,862,3466,,,,0.5729760299299604,0,0,445,7.063599652458557,72.34855638280138,26.179562737642584,23.721311475409838,453,3466,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_vehicle.rou.xml,b58c736cde50fe89baef483d1c40fc3125193aa15999e277621cf878b99b90e7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,90.9090909090909,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,25.97,,26.179562737642584,,,,2.0,2.0,0.0,0,0.0
phase6_smoke_smart_seed7,LINK_212169,smart,7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07,2026-05-20T00:58:25+00:00,2026-05-20T01:21:04+00:00,1359.198,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,0.0,0.0,37.97,100.0,1,7,3480,3480,1.0,1.0,16574,863,3464,,,,0.5714534301996781,0,0,476,6.642400423968983,144.54549505713723,38.29741418764302,35.967213114754095,502,3464,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_vehicle.rou.xml,b58c736cde50fe89baef483d1c40fc3125193aa15999e277621cf878b99b90e7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,20,0,0,20,200.0,400.0,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,37.97,,38.29741418764302,,,,2.0,2.0,0.0,1,5.0
phase6_smoke_smart_seed7,NODE_8452,smart,7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07,2026-05-20T00:58:25+00:00,2026-05-20T01:21:04+00:00,1359.198,True,600,0,0.1,3846603653,2,:3846603653_c0,381458592#4,-381458592#4,6000,541,5,5,5,True,0,0,0.0,0.0,31.95,100.0,1,7,3480,3480,1.0,1.0,16574,863,3464,,,,0.5714534301996781,0,0,430,5.786158373401241,82.78944908094375,32.75076405867971,29.770491803278688,424,3464,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_vehicle.rou.xml,b58c736cde50fe89baef483d1c40fc3125193aa15999e277621cf878b99b90e7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,125.0,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,31.95,,32.75076405867971,,,,2.0,2.0,0.0,1,5.0
phase6_smoke_smart_seed7,NODE_6082,smart,7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07,2026-05-20T00:58:25+00:00,2026-05-20T01:21:04+00:00,1359.198,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,,,37.97,100.0,1,7,3480,3480,1.0,1.0,16574,863,3464,,,,0.5714534301996781,0,0,476,6.642400423968983,144.54549505713723,38.29741418764302,35.967213114754095,502,3464,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_vehicle.rou.xml,b58c736cde50fe89baef483d1c40fc3125193aa15999e277621cf878b99b90e7,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed07/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,20,0,0,20,200.0,400.0,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,,,,,,37.97,,38.29741418764302,,,,2.0,2.0,0.0,1,5.0
