sim_time,crosswalk_id,tls_id,ped_link_index,phase_index,phase_state,ped_link_state,ped_has_green,ped_has_red,pedestrian_only_phase,non_ped_green_count
0.1,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
0.1,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
0.1,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
0.1,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
0.1,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
0.1,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
0.1,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
0.2,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
0.2,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
0.2,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
0.2,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
0.2,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
0.2,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
0.2,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
0.3,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
0.3,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
0.3,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
0.3,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
0.3,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
0.3,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
0.3,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
0.4,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
0.4,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
0.4,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
0.4,NODE_6123,7300992884,5,0,GgGrrrr,r,False,True,False,3
0.4,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,True,False,7
0.4,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,False,4
0.4,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,True,False,7
0.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,False,2
0.5,NODE_8452,3846603653,2,0,GGr,r,False,True,False,2
0.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,False,2
