run_name,crosswalk_id,scenario,seed,output_dir,run_start_time,run_end_time,elapsed_sec,completed,sim_duration,warmup,step_length,tls_id_used,ped_link_index,crossing_edge_id,route_from_edge,route_to_edge,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,ped_repeat_count_match,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,generated_vehicle_route_file,vehicle_route_sha256,pedestrian_route_file,pedestrian_route_sha256,net_sha256,surrounding_lane_count,vehicle_bbox_coverage,batch_network_file,route_reason,pet_source,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_available,pet_coverage_ratio,pet_unavailable_reason,accident_risk_estimate,scenario_name,demand_profile,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
phase6_smoke_baseline_seed19,LINK_212169,baseline,19,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19,2026-05-20T02:10:09+00:00,2026-05-20T02:33:40+00:00,1411.167,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,0.0,0.0,35.15,100.0,0,7,3480,3480,1.0,1.0,16559,851,3467,,,,0.577108800626441,0,0,502,5.780705174286695,156.9049988379143,35.55239641015849,41.0655737704918,592,3467,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_vehicle.rou.xml,b1b68be5f2c8bd054d56994673b88ce8503860b6c3d89ef3406eccdbcb847dae,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,15,3,2,18,180.0,360.0,0.0,0.0,0.7899999999999991,False,2.0,partial_pet_coverage_from_local_watcher,1.65,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,35.15,,35.55239641015849,,,,1.65,1.65,0.0,0,0.0
phase6_smoke_baseline_seed19,NODE_8452,baseline,19,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19,2026-05-20T02:10:09+00:00,2026-05-20T02:33:40+00:00,1411.167,True,600,0,0.1,3846603653,2,:3846603653_c0,381458592#4,-381458592#4,6000,541,5,5,5,True,0,0,0.0,0.0,25.14,100.0,0,7,3480,3480,1.0,1.0,16559,851,3467,,,,0.577108800626441,0,0,421,7.2217967894019655,73.6588963897711,25.52424760601915,21.311475409836067,436,3467,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_vehicle.rou.xml,b1b68be5f2c8bd054d56994673b88ce8503860b6c3d89ef3406eccdbcb847dae,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,125.0,0.0,0.0,0.07999999999999971,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,25.14,,25.52424760601915,,,,2.0,2.0,0.0,0,0.0
phase6_smoke_baseline_seed19,NODE_6082,baseline,19,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19,2026-05-20T02:10:09+00:00,2026-05-20T02:33:40+00:00,1411.167,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,,,35.15,100.0,0,7,3480,3480,1.0,1.0,16559,851,3467,,,,0.577108800626441,0,0,502,5.780705174286695,156.9049988379143,35.55239641015849,41.0655737704918,592,3467,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_vehicle.rou.xml,b1b68be5f2c8bd054d56994673b88ce8503860b6c3d89ef3406eccdbcb847dae,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,15,3,2,18,180.0,360.0,0.0,0.0,0.7899999999999991,False,2.0,partial_pet_coverage_from_local_watcher,1.65,main_realistic_stress,main_realistic_stress,,,,,,35.15,,35.55239641015849,,,,1.65,1.65,0.0,0,0.0
phase6_smoke_baseline_seed19,NODE_6123,baseline,19,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19,2026-05-20T02:10:09+00:00,2026-05-20T02:33:40+00:00,1411.167,True,600,0,0.1,7300992884,5,:7300992884_c0,955312948,-955312948,6000,47,5,5,5,True,0,0,0.0,0.0,37.42,100.0,0,7,3480,3480,1.0,1.0,16559,851,3467,,,,0.577108800626441,0,0,504,5.873161654811115,155.8864165851632,38.075498266897746,40.47540983606557,573,3467,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_vehicle.rou.xml,b1b68be5f2c8bd054d56994673b88ce8503860b6c3d89ef3406eccdbcb847dae,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,125.0,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,37.42,,38.075498266897746,,,,2.0,2.0,0.0,0,0.0
phase6_smoke_baseline_seed19,NODE_8426,baseline,19,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19,2026-05-20T02:10:09+00:00,2026-05-20T02:33:40+00:00,1411.167,True,600,0,0.1,3849142980,16,:3849142980_c0,920025287#2,920025287#3,6000,1440,5,5,5,True,0,0,0.0,0.0,22.65,100.0,0,7,3480,3480,1.0,1.0,16559,851,3467,,,,0.577108800626441,0,0,344,8.6288350409408,63.15758002318767,22.931868131868136,16.24590163934426,322,3467,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_vehicle.rou.xml,b1b68be5f2c8bd054d56994673b88ce8503860b6c3d89ef3406eccdbcb847dae,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,9,9,0,0,9,180.0,60.0,0.0,0.0,0.0,False,1.8,partial_pet_coverage_from_local_watcher,1.8,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,22.65,,22.931868131868136,,,,1.8,1.8,0.0,0,0.0
phase6_smoke_baseline_seed19,NODE_74388,baseline,19,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19,2026-05-20T02:10:09+00:00,2026-05-20T02:33:40+00:00,1411.167,True,600,0,0.1,436883130,16,:436883130_c0,1206220504#1,-516163750#1,6000,1092,5,5,5,True,0,0,0.0,0.0,25.38,100.0,0,7,3480,3480,1.0,1.0,16559,851,3467,,,,0.577108800626441,0,0,552,7.20157160609355,128.06657914574217,25.90419947506562,25.278688524590162,493,3467,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_vehicle.rou.xml,b1b68be5f2c8bd054d56994673b88ce8503860b6c3d89ef3406eccdbcb847dae,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,8,8,0,0,8,160.0,80.0,0.0,0.0,0.0,False,1.6,partial_pet_coverage_from_local_watcher,1.6,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,25.38,,25.90419947506562,,,,1.6,1.6,0.0,0,0.0
phase6_smoke_baseline_seed19,NODE_10273,baseline,19,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19,2026-05-20T02:10:09+00:00,2026-05-20T02:33:40+00:00,1411.167,True,600,0,0.1,3846533030,12,:3846533030_c1,-381452118#0,381452118#0,6000,224,5,5,5,True,0,0,0.0,0.0,26.3,100.0,0,7,3480,3480,1.0,1.0,16559,851,3467,,,,0.577108800626441,0,0,440,7.0515309536792845,76.10262267325636,26.63411107459744,22.721311475409838,445,3467,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_vehicle.rou.xml,b1b68be5f2c8bd054d56994673b88ce8503860b6c3d89ef3406eccdbcb847dae,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,90.9090909090909,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,26.3,,26.63411107459744,,,,2.0,2.0,0.0,0,0.0
phase6_smoke_smart_seed19,LINK_212169,smart,19,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19,2026-05-20T02:33:41+00:00,2026-05-20T02:56:42+00:00,1380.596,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,0.0,0.0,36.98,100.0,1,7,3480,3480,1.0,1.0,16559,831,3466,,,,0.5768042806803846,0,0,475,5.593124014698764,155.2874838447535,37.15546970313135,38.721311475409834,568,3466,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_vehicle.rou.xml,b1b68be5f2c8bd054d56994673b88ce8503860b6c3d89ef3406eccdbcb847dae,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,15,3,2,18,180.0,360.0,0.0,0.0,0.7899999999999991,False,2.0,partial_pet_coverage_from_local_watcher,1.65,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,36.98,,37.15546970313135,,,,1.65,1.65,0.0,1,5.0
phase6_smoke_smart_seed19,NODE_8452,smart,19,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19,2026-05-20T02:33:41+00:00,2026-05-20T02:56:42+00:00,1380.596,True,600,0,0.1,3846603653,2,:3846603653_c0,381458592#4,-381458592#4,6000,541,5,5,5,True,0,0,0.0,0.0,23.71,94.0,1,7,3480,3480,1.0,1.0,16559,831,3466,,,,0.5768042806803846,0,0,420,7.352074943842663,73.07078412722603,24.168545081967213,20.639344262295083,430,3466,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_vehicle.rou.xml,b1b68be5f2c8bd054d56994673b88ce8503860b6c3d89ef3406eccdbcb847dae,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,125.0,0.0,0.0,0.07999999999999971,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,23.71,,24.168545081967213,,,,2.0,2.0,0.0,1,5.0
phase6_smoke_smart_seed19,NODE_6082,smart,19,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19,2026-05-20T02:33:41+00:00,2026-05-20T02:56:42+00:00,1380.596,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,,,36.98,100.0,1,7,3480,3480,1.0,1.0,16559,831,3466,,,,0.5768042806803846,0,0,475,5.593124014698764,155.2874838447535,37.15546970313135,38.721311475409834,568,3466,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_vehicle.rou.xml,b1b68be5f2c8bd054d56994673b88ce8503860b6c3d89ef3406eccdbcb847dae,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed19/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,15,3,2,18,180.0,360.0,0.0,0.0,0.7899999999999991,False,2.0,partial_pet_coverage_from_local_watcher,1.65,main_realistic_stress,main_realistic_stress,,,,,,36.98,,37.15546970313135,,,,1.65,1.65,0.0,1,5.0
