crosswalk_id,person_id,depart,route_from_edge,route_to_edge,crossing_edge_id,generated_route_edges,contains_crossing_edge,detected_crossing_presence,reason
NODE_8426,ped_5_0_NODE_8426,41.6,920025287#2,920025287#3,:3849142980_c0,920025287#2|:3849142980_w1|:3849142980_c0|:3849142980_w0|920025287#3,True,True,road_in_route_path
NODE_8426,ped_5_1_NODE_8426,43.6,920025287#2,920025287#3,:3849142980_c0,920025287#2|:3849142980_w1|:3849142980_c0|:3849142980_w0|920025287#3,True,True,road_in_route_path
NODE_8426,ped_5_2_NODE_8426,45.6,920025287#2,920025287#3,:3849142980_c0,920025287#2|:3849142980_w1|:3849142980_c0|:3849142980_w0|920025287#3,True,True,road_in_route_path
NODE_8426,ped_5_3_NODE_8426,47.6,920025287#2,920025287#3,:3849142980_c0,920025287#2|:3849142980_w1|:3849142980_c0|:3849142980_w0|920025287#3,True,True,road_in_route_path
NODE_8426,ped_5_4_NODE_8426,49.6,920025287#2,920025287#3,:3849142980_c0,920025287#2|:3849142980_w1|:3849142980_c0|:3849142980_w0|920025287#3,True,True,road_in_route_path
NODE_8452,ped_2_0_NODE_8452,80.6,381458592#4,-381458592#4,:3846603653_c0,381458592#4|:3846603653_w1|:3846603653_c0|:3846603653_w0|-381458592#4,True,True,road_in_route_path
NODE_6123,ped_4_0_NODE_6123,80.6,955312948,-955312948,:7300992884_c0,955312948|:7300992884_w0|:7300992884_c0|:7300992884_w1|-955312948,True,True,road_in_route_path
NODE_8452,ped_2_1_NODE_8452,82.6,381458592#4,-381458592#4,:3846603653_c0,381458592#4|:3846603653_w1|:3846603653_c0|:3846603653_w0|-381458592#4,True,True,road_in_route_path
NODE_6123,ped_4_1_NODE_6123,82.6,955312948,-955312948,:7300992884_c0,955312948|:7300992884_w0|:7300992884_c0|:7300992884_w1|-955312948,True,True,road_in_route_path
NODE_8452,ped_2_2_NODE_8452,84.6,381458592#4,-381458592#4,:3846603653_c0,381458592#4|:3846603653_w1|:3846603653_c0|:3846603653_w0|-381458592#4,True,True,road_in_route_path
NODE_6123,ped_4_2_NODE_6123,84.6,955312948,-955312948,:7300992884_c0,955312948|:7300992884_w0|:7300992884_c0|:7300992884_w1|-955312948,True,True,road_in_route_path
NODE_8452,ped_2_3_NODE_8452,86.6,381458592#4,-381458592#4,:3846603653_c0,381458592#4|:3846603653_w1|:3846603653_c0|:3846603653_w0|-381458592#4,True,True,road_in_route_path
NODE_6123,ped_4_3_NODE_6123,86.6,955312948,-955312948,:7300992884_c0,955312948|:7300992884_w0|:7300992884_c0|:7300992884_w1|-955312948,True,True,road_in_route_path
