crosswalk_id,person_id,depart,route_from_edge,route_to_edge,crossing_edge_id,generated_route_edges,contains_crossing_edge,detected_crossing_presence,reason
NODE_10060,ped_1_0_NODE_10060,83.6,1209133881#0,-781985788#0,:11203052964_c0,1209133881#0|:11203052964_w1|:11203052964_c0|:11203052964_w0|-781985788#0,True,True,road_in_route_path
NODE_122781,ped_2_0_NODE_122781,83.6,345046979#5,-345046979#5,:11203041635_c0,345046979#5|:11203041635_w1|:11203041635_c0|:11203041635_w0|-345046979#5,True,True,road_in_route_path
NODE_14937,ped_3_0_NODE_14937,83.6,1201492610#1,183272312#3,:11139418723_c0,1201492610#1|:11139418723_w1|:11139418723_c0|:11139418723_w0|183272312#3,True,True,road_in_route_path
NODE_5647,ped_4_0_NODE_5647,83.6,1461316096#1,333969025#1,:10974501473_c0,1461316096#1|:10974501473_w1|:10974501473_c0|:10974501473_w0|333969025#1,True,True,road_in_route_path
NODE_6342,ped_5_0_NODE_6342,83.6,-1499619438#1,1499619438#1,:11203041633_c0,-1499619438#1|:11203041633_w1|:11203041633_c0|:11203041633_w0|1499619438#1,True,True,road_in_route_path
NODE_10060,ped_1_1_NODE_10060,85.6,1209133881#0,-781985788#0,:11203052964_c0,1209133881#0|:11203052964_w1|:11203052964_c0|:11203052964_w0|-781985788#0,True,True,road_in_route_path
NODE_122781,ped_2_1_NODE_122781,85.6,345046979#5,-345046979#5,:11203041635_c0,345046979#5|:11203041635_w1|:11203041635_c0|:11203041635_w0|-345046979#5,True,True,road_in_route_path
NODE_14937,ped_3_1_NODE_14937,85.6,1201492610#1,183272312#3,:11139418723_c0,1201492610#1|:11139418723_w1|:11139418723_c0|:11139418723_w0|183272312#3,True,True,road_in_route_path
NODE_5647,ped_4_1_NODE_5647,85.6,1461316096#1,333969025#1,:10974501473_c0,1461316096#1|:10974501473_w1|:10974501473_c0|:10974501473_w0|333969025#1,True,True,road_in_route_path
NODE_6342,ped_5_1_NODE_6342,85.6,-1499619438#1,1499619438#1,:11203041633_c0,-1499619438#1|:11203041633_w1|:11203041633_c0|:11203041633_w0|1499619438#1,True,True,road_in_route_path
NODE_10060,ped_1_2_NODE_10060,87.6,1209133881#0,-781985788#0,:11203052964_c0,1209133881#0|:11203052964_w1|:11203052964_c0|:11203052964_w0|-781985788#0,True,True,road_in_route_path
NODE_122781,ped_2_2_NODE_122781,87.6,345046979#5,-345046979#5,:11203041635_c0,345046979#5|:11203041635_w1|:11203041635_c0|:11203041635_w0|-345046979#5,True,True,road_in_route_path
NODE_14937,ped_3_2_NODE_14937,87.6,1201492610#1,183272312#3,:11139418723_c0,1201492610#1|:11139418723_w1|:11139418723_c0|:11139418723_w0|183272312#3,True,True,road_in_route_path
