run_name,crosswalk_id,scenario,seed,output_dir,run_start_time,run_end_time,elapsed_sec,completed,sim_duration,warmup,step_length,tls_id_used,ped_link_index,crossing_edge_id,route_from_edge,route_to_edge,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,ped_repeat_count_match,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,generated_vehicle_route_file,vehicle_route_sha256,pedestrian_route_file,pedestrian_route_sha256,net_sha256,surrounding_lane_count,vehicle_bbox_coverage,batch_network_file,route_reason,pet_source,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_available,pet_coverage_ratio,pet_unavailable_reason,accident_risk_estimate,scenario_name,demand_profile,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
phase6_smoke_baseline_seed8,NODE_10060,baseline,8,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08,2026-05-20T04:33:38+00:00,2026-05-20T04:57:35+00:00,1437.101,True,600,0,0.1,11203052964,11,:11203052964_c0,1209133881#0,-781985788#0,6000,1675,5,5,5,True,0,0,0.0,0.0,26.14,100.0,0,6,3480,3480,1.0,1.0,16618,831,3465,,,,0.5729325270805238,0,0,452,6.84637752478418,137.3264066053491,27.06181136429189,23.688524590163933,394,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_vehicle.rou.xml,9f611289775887c7020002968ea9f4b6d563adf8b85c5641c6b27fbaab80835a,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,9,9,0,0,9,180.0,42.857142857142854,0.0,0.0,0.0,False,1.8,partial_pet_coverage_from_local_watcher,1.8,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,26.14,,27.06181136429189,,,,1.8,1.8,0.0,0,0.0
phase6_smoke_baseline_seed8,NODE_122781,baseline,8,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08,2026-05-20T04:33:38+00:00,2026-05-20T04:57:35+00:00,1437.101,True,600,0,0.1,11203041635,4,:11203041635_c0,345046979#5,-345046979#5,6000,1457,5,5,5,True,0,0,0.0,0.0,23.14,100.0,0,6,3480,3480,1.0,1.0,16618,831,3465,,,,0.5729325270805238,0,0,541,7.315276550275066,124.60785130255655,23.792766318168976,20.934426229508198,398,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_vehicle.rou.xml,9f611289775887c7020002968ea9f4b6d563adf8b85c5641c6b27fbaab80835a,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,38.46153846153846,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,23.14,,23.792766318168976,,,,1.0,1.0,0.0,0,0.0
phase6_smoke_baseline_seed8,NODE_14937,baseline,8,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08,2026-05-20T04:33:38+00:00,2026-05-20T04:57:35+00:00,1437.101,True,600,0,0.1,11139418723,2,:11139418723_c0,1201492610#1,183272312#3,6000,1089,5,5,5,True,0,0,0.0,0.0,29.37,96.7,0,6,3480,3480,1.0,1.0,16618,831,3465,,,,0.5729325270805238,0,0,595,6.606085944269625,117.87471155557775,29.68476719678099,34.32786885245902,736,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_vehicle.rou.xml,9f611289775887c7020002968ea9f4b6d563adf8b85c5641c6b27fbaab80835a,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,26.31578947368421,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,29.37,,29.68476719678099,,,,1.0,1.0,0.0,0,0.0
phase6_smoke_baseline_seed8,NODE_5647,baseline,8,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08,2026-05-20T04:33:38+00:00,2026-05-20T04:57:35+00:00,1437.101,True,600,0,0.1,10974501473,4,:10974501473_c0,1461316096#1,333969025#1,6000,307,5,5,5,True,0,0,0.0,0.0,35.55,100.0,0,6,3480,3480,1.0,1.0,16618,831,3465,,,,0.5729325270805238,0,0,397,6.714652014423576,106.392380052258,36.025965379494004,25.901639344262296,364,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_vehicle.rou.xml,9f611289775887c7020002968ea9f4b6d563adf8b85c5641c6b27fbaab80835a,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,35.714285714285715,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,35.55,,36.025965379494004,,,,1.0,1.0,0.0,0,0.0
phase6_smoke_baseline_seed8,NODE_6342,baseline,8,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08,2026-05-20T04:33:38+00:00,2026-05-20T04:57:35+00:00,1437.101,True,600,0,0.1,11203041633,9,:11203041633_c0,-1499619438#1,1499619438#1,6000,1309,5,5,5,True,0,0,0.0,0.0,24.09,100.0,0,6,3480,3480,1.0,1.0,16618,831,3465,,,,0.5729325270805238,0,0,555,6.831819438218475,126.59360932565158,24.871595655806182,23.114754098360656,418,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_vehicle.rou.xml,9f611289775887c7020002968ea9f4b6d563adf8b85c5641c6b27fbaab80835a,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,26.31578947368421,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,24.09,,24.871595655806182,,,,1.0,1.0,0.0,0,0.0
phase6_smoke_baseline_seed8,NODE_5938,baseline,8,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08,2026-05-20T04:33:38+00:00,2026-05-20T04:57:35+00:00,1437.101,True,600,0,0.1,5851251266,16,:5851251266_c0,1084408283#1,1084408283#2,6000,1105,5,5,5,True,0,0,0.0,0.0,14.64,80.3,0,6,3480,3480,1.0,1.0,16618,831,3465,,,,0.5729325270805238,0,0,275,12.070924872261761,84.86825460606146,15.252647735993861,4.147540983606557,111,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_vehicle.rou.xml,9f611289775887c7020002968ea9f4b6d563adf8b85c5641c6b27fbaab80835a,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,9,6,1,2,7,140.0,87.5,0.0,0.0,1.522222222222221,False,1.8,partial_pet_coverage_from_local_watcher,1.3,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,14.64,,15.252647735993861,,,,1.3,1.3,0.0,0,0.0
phase6_smoke_smart_seed8,NODE_10060,smart,8,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08,2026-05-20T04:57:36+00:00,2026-05-20T05:21:01+00:00,1404.682,True,600,0,0.1,11203052964,11,:11203052964_c0,1209133881#0,-781985788#0,6000,1729,5,5,5,True,0,0,0.0,0.0,25.43,100.0,1,6,3480,3480,1.0,1.0,16618,864,3468,,,,0.5767607778309479,0,0,483,7.016403122114745,144.47303151622262,25.938921360255048,22.475409836065573,472,3468,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_vehicle.rou.xml,9f611289775887c7020002968ea9f4b6d563adf8b85c5641c6b27fbaab80835a,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,9,9,0,0,9,180.0,42.857142857142854,0.0,0.0,0.0,False,1.8,partial_pet_coverage_from_local_watcher,1.8,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,25.43,,25.938921360255048,,,,1.8,1.8,0.0,1,5.0
phase6_smoke_smart_seed8,NODE_122781,smart,8,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08,2026-05-20T04:57:36+00:00,2026-05-20T05:21:01+00:00,1404.682,True,600,0,0.1,11203041635,4,:11203041635_c0,345046979#5,-345046979#5,6000,1501,5,5,5,True,0,0,0.0,0.0,23.16,100.0,1,6,3480,3480,1.0,1.0,16618,864,3468,,,,0.5767607778309479,0,0,577,7.322289960243357,133.27867533420724,23.690144230769228,20.78688524590164,471,3468,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_vehicle.rou.xml,9f611289775887c7020002968ea9f4b6d563adf8b85c5641c6b27fbaab80835a,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,38.46153846153846,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,23.16,,23.690144230769228,,,,1.0,1.0,0.0,1,5.0
phase6_smoke_smart_seed8,NODE_14937,smart,8,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08,2026-05-20T04:57:36+00:00,2026-05-20T05:21:01+00:00,1404.682,True,600,0,0.1,11139418723,2,:11139418723_c0,1201492610#1,183272312#3,6000,254,5,5,5,True,0,0,0.0,0.0,30.67,97.3,1,6,3480,3480,1.0,1.0,16618,864,3468,,,,0.5767607778309479,0,0,605,6.821835048486383,114.90177481090905,30.87731426301152,34.52459016393443,711,3468,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_vehicle.rou.xml,9f611289775887c7020002968ea9f4b6d563adf8b85c5641c6b27fbaab80835a,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,26.31578947368421,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,30.67,,30.87731426301152,,,,1.0,1.0,0.0,1,5.0
phase6_smoke_smart_seed8,NODE_5647,smart,8,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08,2026-05-20T04:57:36+00:00,2026-05-20T05:21:01+00:00,1404.682,True,600,0,0.1,10974501473,4,:10974501473_c0,1461316096#1,333969025#1,6000,306,5,5,5,True,0,0,0.0,0.0,34.98,100.0,1,6,3480,3480,1.0,1.0,16618,864,3468,,,,0.5767607778309479,0,0,398,6.749403450487353,103.83049244903957,35.31332675222113,25.852459016393443,374,3468,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_vehicle.rou.xml,9f611289775887c7020002968ea9f4b6d563adf8b85c5641c6b27fbaab80835a,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed08/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,35.714285714285715,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,34.98,,35.31332675222113,,,,1.0,1.0,0.0,1,5.0
