sim_time,crosswalk_id,tls_id,ped_link_index,current_phase_index,current_tls_state,ped_link_state,is_ped_green,is_pedestrian_only_phase,ped_near,detected_person_ids,remaining_phase_time,next_switch_time,extension_allowed,extension_decision,extension_skip_reason
0.1,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.9,79.0,False,False,ped_link_not_green
0.1,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.9,79.0,False,False,ped_link_not_green
0.1,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.9,79.0,False,False,ped_link_not_green
0.1,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.9,81.0,False,False,ped_link_not_green
0.1,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.9,79.0,False,False,ped_link_not_green
0.1,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.9,38.0,False,False,not_pedestrian_only_phase
0.2,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.8,79.0,False,False,ped_link_not_green
0.2,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.8,79.0,False,False,ped_link_not_green
0.2,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.8,79.0,False,False,ped_link_not_green
0.2,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.8,81.0,False,False,ped_link_not_green
0.2,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.8,79.0,False,False,ped_link_not_green
0.2,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.8,38.0,False,False,not_pedestrian_only_phase
0.3,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.7,79.0,False,False,ped_link_not_green
0.3,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.7,79.0,False,False,ped_link_not_green
0.3,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.7,79.0,False,False,ped_link_not_green
0.3,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.7,81.0,False,False,ped_link_not_green
0.3,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.7,79.0,False,False,ped_link_not_green
0.3,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.7,38.0,False,False,not_pedestrian_only_phase
0.4,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.6,79.0,False,False,ped_link_not_green
0.4,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.6,79.0,False,False,ped_link_not_green
0.4,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.6,79.0,False,False,ped_link_not_green
0.4,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.6,81.0,False,False,ped_link_not_green
0.4,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.6,79.0,False,False,ped_link_not_green
0.4,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.6,38.0,False,False,not_pedestrian_only_phase
0.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.5,79.0,False,False,ped_link_not_green
0.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.5,79.0,False,False,ped_link_not_green
0.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.5,79.0,False,False,ped_link_not_green
0.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.5,81.0,False,False,ped_link_not_green
0.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.5,79.0,False,False,ped_link_not_green
0.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.5,38.0,False,False,not_pedestrian_only_phase
0.6,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.4,79.0,False,False,ped_link_not_green
0.6,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.4,79.0,False,False,ped_link_not_green
0.6,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.4,79.0,False,False,ped_link_not_green
0.6,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.4,81.0,False,False,ped_link_not_green
0.6,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.4,79.0,False,False,ped_link_not_green
0.6,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.4,38.0,False,False,not_pedestrian_only_phase
0.7,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.3,79.0,False,False,ped_link_not_green
0.7,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.3,79.0,False,False,ped_link_not_green
0.7,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.3,79.0,False,False,ped_link_not_green
0.7,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.3,81.0,False,False,ped_link_not_green
0.7,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.3,79.0,False,False,ped_link_not_green
0.7,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.3,38.0,False,False,not_pedestrian_only_phase
0.8,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.2,79.0,False,False,ped_link_not_green
0.8,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.2,79.0,False,False,ped_link_not_green
0.8,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.2,79.0,False,False,ped_link_not_green
0.8,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.2,81.0,False,False,ped_link_not_green
0.8,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.2,79.0,False,False,ped_link_not_green
0.8,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.2,38.0,False,False,not_pedestrian_only_phase
0.9,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.1,79.0,False,False,ped_link_not_green
0.9,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.1,79.0,False,False,ped_link_not_green
0.9,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.1,79.0,False,False,ped_link_not_green
0.9,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.1,81.0,False,False,ped_link_not_green
0.9,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.1,79.0,False,False,ped_link_not_green
0.9,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.1,38.0,False,False,not_pedestrian_only_phase
1.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.0,79.0,False,False,ped_link_not_green
1.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.0,79.0,False,False,ped_link_not_green
