sorted_index,person_id,crosswalk_id,depart,route_from_edge,route_to_edge,depart_sorted_ok
1,ped_1_0_NODE_10060,NODE_10060,83.5,1209133881#0,-781985788#0,True
2,ped_2_0_NODE_122781,NODE_122781,83.5,345046979#5,-345046979#5,True
3,ped_3_0_NODE_14937,NODE_14937,83.5,1201492610#1,183272312#3,True
4,ped_4_0_NODE_5647,NODE_5647,83.5,1461316096#1,333969025#1,True
5,ped_5_0_NODE_6342,NODE_6342,83.5,-1499619438#1,1499619438#1,True
6,ped_1_1_NODE_10060,NODE_10060,85.5,1209133881#0,-781985788#0,True
7,ped_2_1_NODE_122781,NODE_122781,85.5,345046979#5,-345046979#5,True
8,ped_3_1_NODE_14937,NODE_14937,85.5,1201492610#1,183272312#3,True
9,ped_4_1_NODE_5647,NODE_5647,85.5,1461316096#1,333969025#1,True
10,ped_5_1_NODE_6342,NODE_6342,85.5,-1499619438#1,1499619438#1,True
11,ped_1_2_NODE_10060,NODE_10060,87.5,1209133881#0,-781985788#0,True
12,ped_2_2_NODE_122781,NODE_122781,87.5,345046979#5,-345046979#5,True
13,ped_3_2_NODE_14937,NODE_14937,87.5,1201492610#1,183272312#3,True
14,ped_4_2_NODE_5647,NODE_5647,87.5,1461316096#1,333969025#1,True
15,ped_5_2_NODE_6342,NODE_6342,87.5,-1499619438#1,1499619438#1,True
16,ped_6_0_NODE_5938,NODE_5938,88.5,1084408283#1,1084408283#2,True
17,ped_1_3_NODE_10060,NODE_10060,89.5,1209133881#0,-781985788#0,True
18,ped_2_3_NODE_122781,NODE_122781,89.5,345046979#5,-345046979#5,True
19,ped_3_3_NODE_14937,NODE_14937,89.5,1201492610#1,183272312#3,True
20,ped_4_3_NODE_5647,NODE_5647,89.5,1461316096#1,333969025#1,True
21,ped_5_3_NODE_6342,NODE_6342,89.5,-1499619438#1,1499619438#1,True
22,ped_6_1_NODE_5938,NODE_5938,90.5,1084408283#1,1084408283#2,True
23,ped_1_4_NODE_10060,NODE_10060,91.5,1209133881#0,-781985788#0,True
24,ped_2_4_NODE_122781,NODE_122781,91.5,345046979#5,-345046979#5,True
25,ped_3_4_NODE_14937,NODE_14937,91.5,1201492610#1,183272312#3,True
26,ped_4_4_NODE_5647,NODE_5647,91.5,1461316096#1,333969025#1,True
27,ped_5_4_NODE_6342,NODE_6342,91.5,-1499619438#1,1499619438#1,True
28,ped_6_2_NODE_5938,NODE_5938,92.5,1084408283#1,1084408283#2,True
29,ped_6_3_NODE_5938,NODE_5938,94.5,1084408283#1,1084408283#2,True
30,ped_6_4_NODE_5938,NODE_5938,96.5,1084408283#1,1084408283#2,True
