sorted_index,person_id,crosswalk_id,depart,route_from_edge,route_to_edge,depart_sorted_ok
1,ped_1_0_LINK_249048,LINK_249048,83.5,585341916#4,218926711#4,True
2,ped_2_0_NODE_5837,NODE_5837,83.5,585341916#4,218926711#4,True
3,ped_3_0_LINK_10218,LINK_10218,83.5,1201492608#1,183272312#1,True
4,ped_4_0_LINK_140740,LINK_140740,83.5,1201492608#1,183272312#1,True
5,ped_5_0_NODE_9634,NODE_9634,83.5,1461316096#1,333969025#1,True
6,ped_6_0_LINK_194891,LINK_194891,83.5,781985788#1,-781985788#1,True
7,ped_7_0_NODE_10378,NODE_10378,83.5,1201492608#1,183272312#1,True
8,ped_8_0_NODE_5681,NODE_5681,83.5,1201492610#1,183272312#3,True
9,ped_9_0_NODE_10262,NODE_10262,83.5,345046979#5,-345046979#5,True
10,ped_1_1_LINK_249048,LINK_249048,85.5,585341916#4,218926711#4,True
11,ped_2_1_NODE_5837,NODE_5837,85.5,585341916#4,218926711#4,True
12,ped_3_1_LINK_10218,LINK_10218,85.5,1201492608#1,183272312#1,True
13,ped_4_1_LINK_140740,LINK_140740,85.5,1201492608#1,183272312#1,True
14,ped_5_1_NODE_9634,NODE_9634,85.5,1461316096#1,333969025#1,True
15,ped_6_1_LINK_194891,LINK_194891,85.5,781985788#1,-781985788#1,True
16,ped_7_1_NODE_10378,NODE_10378,85.5,1201492608#1,183272312#1,True
17,ped_8_1_NODE_5681,NODE_5681,85.5,1201492610#1,183272312#3,True
18,ped_9_1_NODE_10262,NODE_10262,85.5,345046979#5,-345046979#5,True
19,ped_1_2_LINK_249048,LINK_249048,87.5,585341916#4,218926711#4,True
20,ped_2_2_NODE_5837,NODE_5837,87.5,585341916#4,218926711#4,True
21,ped_3_2_LINK_10218,LINK_10218,87.5,1201492608#1,183272312#1,True
22,ped_4_2_LINK_140740,LINK_140740,87.5,1201492608#1,183272312#1,True
23,ped_5_2_NODE_9634,NODE_9634,87.5,1461316096#1,333969025#1,True
24,ped_6_2_LINK_194891,LINK_194891,87.5,781985788#1,-781985788#1,True
25,ped_7_2_NODE_10378,NODE_10378,87.5,1201492608#1,183272312#1,True
26,ped_8_2_NODE_5681,NODE_5681,87.5,1201492610#1,183272312#3,True
27,ped_9_2_NODE_10262,NODE_10262,87.5,345046979#5,-345046979#5,True
28,ped_1_3_LINK_249048,LINK_249048,89.5,585341916#4,218926711#4,True
29,ped_2_3_NODE_5837,NODE_5837,89.5,585341916#4,218926711#4,True
30,ped_3_3_LINK_10218,LINK_10218,89.5,1201492608#1,183272312#1,True
31,ped_4_3_LINK_140740,LINK_140740,89.5,1201492608#1,183272312#1,True
32,ped_5_3_NODE_9634,NODE_9634,89.5,1461316096#1,333969025#1,True
33,ped_6_3_LINK_194891,LINK_194891,89.5,781985788#1,-781985788#1,True
34,ped_7_3_NODE_10378,NODE_10378,89.5,1201492608#1,183272312#1,True
35,ped_8_3_NODE_5681,NODE_5681,89.5,1201492610#1,183272312#3,True
36,ped_9_3_NODE_10262,NODE_10262,89.5,345046979#5,-345046979#5,True
37,ped_1_4_LINK_249048,LINK_249048,91.5,585341916#4,218926711#4,True
38,ped_2_4_NODE_5837,NODE_5837,91.5,585341916#4,218926711#4,True
39,ped_3_4_LINK_10218,LINK_10218,91.5,1201492608#1,183272312#1,True
40,ped_4_4_LINK_140740,LINK_140740,91.5,1201492608#1,183272312#1,True
41,ped_5_4_NODE_9634,NODE_9634,91.5,1461316096#1,333969025#1,True
42,ped_6_4_LINK_194891,LINK_194891,91.5,781985788#1,-781985788#1,True
43,ped_7_4_NODE_10378,NODE_10378,91.5,1201492608#1,183272312#1,True
44,ped_8_4_NODE_5681,NODE_5681,91.5,1201492610#1,183272312#3,True
45,ped_9_4_NODE_10262,NODE_10262,91.5,345046979#5,-345046979#5,True
