sim_time,crosswalk_id,tls_id,ped_link_index,phase_index,phase_state,ped_link_state,ped_has_green,ped_has_red,pedestrian_only_phase,non_ped_green_count
0.1,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
0.1,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
0.1,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
0.1,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
0.1,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
0.1,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
0.1,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
0.1,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
0.1,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
0.2,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
0.2,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
0.2,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
0.2,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
0.2,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
0.2,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
0.2,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
0.2,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
0.2,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
0.3,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
0.3,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
0.3,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
0.3,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
0.3,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
0.3,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
0.3,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
0.3,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
0.3,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
0.4,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
0.4,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
0.4,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
0.4,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
0.4,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
0.4,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
0.4,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
0.4,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
0.4,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
0.5,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
0.5,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
0.5,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
0.5,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
0.5,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
0.5,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
0.5,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
0.5,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
0.5,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
0.6,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
0.6,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
0.6,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
0.6,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
0.6,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
0.6,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
0.6,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
0.6,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
0.6,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
0.7,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
0.7,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
0.7,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
0.7,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
0.7,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
0.7,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
0.7,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
0.7,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
0.7,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
0.8,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
0.8,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
0.8,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
0.8,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
0.8,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
0.8,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
0.8,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
0.8,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
0.8,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
0.9,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
0.9,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
0.9,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
0.9,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
0.9,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
0.9,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
0.9,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
0.9,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
0.9,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
1.0,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
1.0,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
1.0,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
1.0,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
1.0,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
1.0,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
1.0,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
1.0,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
1.0,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
1.1,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
1.1,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
1.1,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
1.1,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
1.1,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
1.1,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
1.1,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
1.1,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
1.1,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
1.2,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
1.2,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
1.2,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
1.2,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
1.2,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
1.2,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
1.2,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
1.2,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
1.2,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
1.3,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
1.3,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
1.3,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
1.3,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
1.3,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
1.3,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
1.3,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
1.3,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
1.3,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
1.4,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
1.4,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
1.4,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
1.4,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
1.4,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
1.4,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
1.4,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
1.4,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
1.4,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
1.5,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
1.5,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
1.5,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
1.5,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
1.5,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
1.5,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
1.5,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
1.5,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
1.5,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
1.6,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
1.6,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
1.6,LINK_10218,11139418715,2,0,GGr,r,False,True,False,2
1.6,LINK_140740,11139418715,2,0,GGr,r,False,True,False,2
1.6,NODE_9634,10974501473,4,0,GGGGr,r,False,True,False,4
1.6,LINK_194891,11203052965,11,0,GGGGGGGGGGGr,r,False,True,False,11
1.6,NODE_10378,11139418715,2,0,GGr,r,False,True,False,2
1.6,NODE_5681,11139418723,2,0,GGr,r,False,True,False,2
1.6,NODE_10262,11203041635,4,0,GGGGr,r,False,True,False,4
1.7,LINK_249048,5161705573,2,0,GGr,r,False,True,False,2
1.7,NODE_5837,5161705573,2,0,GGr,r,False,True,False,2
