crosswalk_id,source_crosswalk_id,canonical_crosswalk_id,nearest_junction_id,tls_id_used,crossing_id,crossing_edge_id,ped_link_index,ped_link_indices,ped_depart_offset_sec,ped_repeat_count,ped_repeat_spacing_sec,route_from_edge,route_to_edge,source_file,batch_network_file,final_verdict,step_test_ok,controlled_links_count,crossing_inventory_used
NODE_10335,NODE_10335,10335,12234253870,12234253870,,:12234253870_c0,12,,0,5,2,671981404#18,773066533#2,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
NODE_8369,NODE_8369,8369,1936511299,1936511299,,:1936511299_c0,11,,0,5,2,519097166#1,519097168#1,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
NODE_167173,NODE_167173,167173,12234253870,12234253870,,:12234253870_c0,12,,0,5,2,671981404#18,773066533#2,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
LINK_239754,LINK_239754,239754,5593950698,5593950698,,:5593950698_c0,1,,0,5,2,585341916#3,585341916#4,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
NODE_5846,NODE_5846,5846,5593950698,5593950698,,:5593950698_c0,1,,0,5,2,585341916#3,585341916#4,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
NODE_5831,NODE_5831,5831,5593950698,5593950698,,:5593950698_c0,1,,0,5,2,585341916#3,585341916#4,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
NODE_10377,NODE_10377,10377,436839905,436839905,,:436839905_c0,4,,0,5,2,1110186416#14,183272312#0,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
NODE_10376,NODE_10376,10376,436839905,436839905,,:436839905_c0,4,,0,5,2,1110186416#14,183272312#0,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
NODE_150723,NODE_150723,150723,436839905,436839905,,:436839905_c0,4,,0,5,2,1110186416#14,183272312#0,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
NODE_125895,NODE_125895,125895,1936511299,1936511299,,:1936511299_c1,12,,0,5,2,-519097168#1,-519097168#0,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
NODE_10381,NODE_10381,10381,3873291328,3873291328,,:3873291328_c0,11,,0,5,2,842507784,-1339655670#1,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
LINK_120139,LINK_120139,120139,1936511299,1936511299,,:1936511299_c0,11,,0,5,2,519097166#1,519097168#1,result/old/phase_next_top50_tiered_recovery_audit/top50_tiered_recovery_audit.csv,result/active/nets/current_main_12.net.xml,,,,
