group,crosswalk_id,veh_delay_mean_baseline,veh_delay_mean_smart,local_500m_avg_delay_sec_baseline,local_500m_avg_delay_sec_smart,surrounding_road_delay_sec_baseline,surrounding_road_delay_sec_smart,local_500m_queue_proxy_baseline,local_500m_queue_proxy_smart,safety_risk_score_baseline,safety_risk_score_smart,very_risky_crossing_count_baseline,very_risky_crossing_count_smart,accident_risk_estimate_baseline,accident_risk_estimate_smart,pet_mean_baseline,pet_mean_smart,veh_delay_mean_impr,local_500m_avg_delay_sec_impr,surrounding_road_delay_sec_impr,local_500m_queue_proxy_impr,safety_risk_score_impr,very_risky_crossing_count_impr,accident_risk_estimate_impr,pet_mean_impr,score1_delay_impr,score2_tradeoff,rank_score1,rank_score2
current_main_12,NODE_5846,28.52033333333333,30.055000000000003,28.889563137083897,30.48134009108069,28.889563137083897,30.48134009108069,28.779781420765023,30.622950819672138,0.7355555555555553,0.4955555555555556,10.866666666666667,7.2,0.7355555555555553,0.4955555555555556,4.996888888888888,9.213777777777777,-5.38,-5.51,-5.51,-6.4,32.63,33.74,32.63,84.39,-5.7013,25.2279,32,2
current_main_12,NODE_5831,28.52033333333333,30.055000000000003,28.889563137083897,30.48134009108069,28.889563137083897,30.48134009108069,28.779781420765023,30.622950819672138,0.7355555555555553,0.4955555555555556,10.866666666666667,7.2,0.7355555555555553,0.4955555555555556,4.996888888888888,9.213777777777777,-5.38,-5.51,-5.51,-6.4,32.63,33.74,32.63,84.39,-5.7013,25.2279,32,2
current_main_12,LINK_239754,28.52033333333333,30.055000000000003,28.889563137083897,30.48134009108069,28.889563137083897,30.48134009108069,28.779781420765023,30.622950819672138,0.7355555555555553,0.4955555555555556,10.866666666666667,7.2,0.7355555555555553,0.4955555555555556,4.996888888888888,9.213777777777777,-5.38,-5.51,-5.51,-6.4,32.63,33.74,32.63,84.39,-5.7013,25.2279,32,2
generated_signal_7,NODE_74388,30.981,31.15666666666667,31.546847624499662,31.67104487818999,31.546847624499662,31.67104487818999,29.15081967213115,27.76775956284153,1.6000000000000003,1.576666666666667,8.0,7.866666666666666,1.6000000000000003,1.576666666666667,0.0,0.1574999999999999,-0.57,-0.39,-0.39,4.74,1.46,1.67,1.46,100.0,0.8475,16.0265,13,4
signal_fix_9,NODE_5681,38.906333333333336,40.07,39.28930785203054,40.45915066549062,39.28930785203054,40.45915066549062,49.719125683060106,52.418032786885234,1.0,0.9966666666666666,5.0,4.966666666666667,1.0,0.9966666666666666,0.0,0.0279999999999999,-2.99,-2.98,-2.98,-5.43,0.33,0.67,0.33,100.0,-3.5936,13.7626,27,5
p1_p4_recovery_6,NODE_6342,25.683913043478263,24.6,26.166878024440365,25.10331776929508,26.166878024440365,25.10331776929508,26.64647184604419,26.325017818959378,0.9739130434782608,0.9478260869565218,4.869565217391305,4.739130434782608,0.9739130434782608,0.9478260869565218,0.2704347826086956,0.4347826086956517,4.22,4.06,4.06,1.21,2.68,2.68,2.68,60.77,3.3889,11.6767,7,6
current_main_12,NODE_125895,11.411,11.208333333333334,11.438035495842588,11.332924594142217,11.438035495842588,11.332924594142217,5.803825136612023,5.93551912568306,1.2000000000000002,1.0666666666666669,18.0,16.0,1.2000000000000002,1.0666666666666669,0.0,0.0,1.78,0.92,0.92,-2.27,11.11,11.11,11.11,0.0,0.3362,5.1345,14,7
signal_fix_9,LINK_194891,26.503333333333337,23.421333333333333,27.111181738575137,24.04046855996772,27.111181738575137,24.04046855996772,25.25300546448087,21.90983606557377,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,11.63,11.33,11.33,13.24,0.0,0.0,0.0,0.0,11.88,4.752,1,8
signal_fix_9,NODE_10262,24.168666666666663,21.462000000000003,24.63176698258757,21.932509956457046,24.63176698258757,21.932509956457046,23.893989071038252,21.124590163934425,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,11.2,10.96,10.96,11.59,0.0,0.0,0.0,0.0,11.1766,4.4706,2,9
generated_signal_7,NODE_8426,24.096333333333337,22.179333333333336,24.26706964321008,22.36960773441485,24.26706964321008,22.36960773441485,19.389617486338796,16.898360655737704,1.7999999999999996,1.7999999999999996,9.0,9.0,1.7999999999999996,1.7999999999999996,0.0025925925925926,0.0025925925925926,7.96,7.82,7.82,12.85,0.0,0.0,0.0,0.0,9.1105,3.6442,3,10
generated_signal_7,NODE_8452,27.60033333333333,26.126666666666665,27.85566172972077,26.43080259968437,27.85566172972077,26.43080259968437,25.830601092896178,24.243169398907103,1.8633333333333333,1.8633333333333333,9.266666666666667,9.266666666666667,1.8633333333333333,1.8633333333333333,0.6336666666666662,0.6336666666666662,5.34,5.12,5.12,6.15,0.0,0.0,0.0,0.0,5.4288,2.1715,4,11
generated_signal_7,NODE_10273,28.264666666666667,26.90533333333333,28.53370073806665,27.21601871665035,28.53370073806665,27.21601871665035,26.99180327868853,25.518579234972673,1.9566666666666663,1.9566666666666663,9.733333333333333,9.733333333333333,1.9566666666666663,1.9566666666666663,0.1469999999999997,0.1469999999999997,4.81,4.62,4.62,5.46,0.0,0.0,0.0,0.0,4.8758,1.9503,5,12
p1_p4_recovery_6,NODE_10060,27.25565217391304,25.979999999999997,27.832762197289636,26.59056909662567,27.832762197289636,26.59056909662567,26.4575908766928,26.25017818959373,1.7999999999999994,1.7999999999999994,9.0,9.0,1.7999999999999994,1.7999999999999994,0.0,0.0,4.68,4.46,4.46,0.78,0.0,0.0,0.0,0.0,3.5976,1.439,6,13
p1_p4_recovery_6,NODE_122781,24.620434782608697,23.763913043478254,25.03314422182348,24.206676226832943,25.03314422182348,24.206676226832943,24.77405559515324,24.511047754811123,1.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,3.48,3.3,3.3,1.06,0.0,0.0,0.0,0.0,2.7859,1.1144,8,14
signal_fix_9,LINK_249048,32.351,31.91333333333333,32.74552490302554,32.311786174786405,32.74552490302554,32.311786174786405,36.078142076502736,34.698907103825135,0.7166666666666668,0.7166666666666668,7.033333333333333,7.033333333333333,0.7166666666666668,0.7166666666666668,2.5396666666666663,2.55,1.35,1.32,1.32,3.82,0.0,0.0,0.0,0.41,1.9562,0.8435,9,15
signal_fix_9,NODE_5837,32.351,31.91333333333333,32.74552490302554,32.311786174786405,32.74552490302554,32.311786174786405,36.078142076502736,34.698907103825135,0.7166666666666668,0.7166666666666668,7.033333333333333,7.033333333333333,0.7166666666666668,0.7166666666666668,2.5396666666666663,2.55,1.35,1.32,1.32,3.82,0.0,0.0,0.0,0.41,1.9562,0.8435,9,15
