group,crosswalk_id,run_label,association,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,surrounding_road_delay_sec,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
current_main_12,LINK_120139,baseline_avg,C04_n4_Sindang_119m,baseline_avg,1466.4794,600,0,0.1,11,6000,862,15,15,5,0,0,,,11.45233333,84.03,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,341.5333333,13.60595095,45.60666346,11.48244499,5.798907104,138.9666667,3466.866667,167,1,18,17.56666667,0.2,0.233333333,17.76666667,118.4444444,136.6666667,0,0,0.087407407,1.2,1.177777778,11.45233333,11.48244499,1.177777778,1.177777778,0,0,0,,,,,
current_main_12,LINK_120139,smart_avg,C04_n4_Sindang_119m,smart_avg,1436.9866,600,0,0.1,11,6000,436.2,15,15,5,0,0,,,11.24933333,83.27333333,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,343.4,13.47123574,45.748497,11.37487402,5.933333333,143,3466.633333,167,1,16,16,0,0,16,106.6666667,123.0769231,0,0,0,1.067,1.066666667,11.24933333,11.37487402,1.066666667,1.066666667,0,1,5,,,,,
current_main_12,LINK_239754,baseline_avg,C02_n5_Namdaemunno5ga_36m,baseline_avg,1466.4794,600,0,0.1,1,6000,1003.666667,15,15,5,0,0,0,0,28.52033333,98.64,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,644.7333333,8.569240182,132.891779,28.88956314,28.77978142,565.5666667,3466.866667,167,1,15,10.86666667,0.333333333,3.8,11.2,74.66666667,124.4444444,0,0,4.996888889,1,0.735555556,28.52033333,28.88956314,0.735555556,0.735555556,0,0,0,,,,,
current_main_12,LINK_239754,smart_avg,C02_n5_Namdaemunno5ga_36m,smart_avg,1436.9866,600,0,0.1,1,6000,148,15,15,5,0,0,0,0,30.055,98.67333333,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,641.1666667,8.329254616,138.4502154,30.48134009,30.62295082,550.5666667,3466.633333,167,1,15,7.2,0.466666667,7.333333333,7.666666667,51.11111111,85.18518519,6.95,7.278,9.213777778,1,0.495555556,30.055,30.48134009,0.495555556,0.495555556,0,1,5,,,,,
current_main_12,NODE_10335,baseline_avg,C06_n2_Chungjungno1ga_13m,baseline_avg,1466.4794,600,0,0.1,12,6000,436.0333333,10,10,5,0,0,0,0,38.791,99.86666667,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,324.5,5.514945197,107.7583051,39.2314928,27.52513661,345.7666667,3466.866667,167,1,10,2.8,0.566666667,6.633333333,3.366666667,33.66666667,84.16666667,4.436666667,5.915666667,9.436,1,0.308333333,38.791,39.2314928,0.308333333,0.308333333,0,0,0,,,,,
current_main_12,NODE_10335,smart_avg,C06_n2_Chungjungno1ga_13m,smart_avg,1436.9866,600,0,0.1,12,6000,437.2,10,10,5,0,0,0,0,38.246,99.60666667,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,322.7,5.62038457,106.2710585,38.71123182,26.96666667,343.9333333,3466.633333,167,1,10,2.8,0.566666667,6.633333333,3.366666667,33.66666667,84.16666667,4.393333333,5.209333333,9.331333333,1,0.308333333,38.246,38.71123182,0.308333333,0.308333333,0,1,5,,,,,
current_main_12,NODE_10376,baseline_avg,C01_n8_Bongnae2ga_49m,baseline_avg,1466.4794,600,0,0.1,4,6000,719.1333333,15,15,5,0,0,,,37.86966667,97.96666667,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,575.9333333,5.489773148,126.6183356,38.27449935,44.91584699,668.3666667,3466.866667,167,1,15,15,0,0,15,100,57.69230769,0,0,0,1,1,37.86966667,38.27449935,1,1,0,0,0,,,,,
current_main_12,NODE_10376,smart_avg,C01_n8_Bongnae2ga_49m,smart_avg,1436.9866,600,0,0.1,4,6000,301,15,15,5,0,0,,,39.49866667,98.84333333,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,571.2,5.141132927,132.1095916,39.93177923,48.43497268,718.2666667,3466.633333,167,1,15,15,0,0,15,100,57.69230769,0,0,0,1,1,39.49866667,39.93177923,1,1,0,1,5,,,,,
current_main_12,NODE_10377,baseline_avg,C01_n8_Bongnae2ga_49m,baseline_avg,1466.4794,600,0,0.1,4,6000,719.1333333,15,15,5,0,0,0,0,37.86966667,97.96666667,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,575.9333333,5.489773148,126.6183356,38.27449935,44.91584699,668.3666667,3466.866667,167,1,15,15,0,0,15,100,57.69230769,0,0,0,1,1,37.86966667,38.27449935,1,1,0,0,0,,,,,
current_main_12,NODE_10377,smart_avg,C01_n8_Bongnae2ga_49m,smart_avg,1436.9866,600,0,0.1,4,6000,301,15,15,5,0,0,0,0,39.49866667,98.84333333,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,571.2,5.141132927,132.1095916,39.93177923,48.43497268,718.2666667,3466.633333,167,1,15,15,0,0,15,100,57.69230769,0,0,0,1,1,39.49866667,39.93177923,1,1,0,1,5,,,,,
current_main_12,NODE_10381,baseline_avg,C09_solo_Namdaemunno5ga,baseline_avg,1466.4794,600,0,0.1,11,6000,239.4666667,5,5,5,0,0,0,0,16.23633333,94.77666667,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,421.4333333,11.87888877,99.38394204,16.54979294,10.78743169,238.4666667,3466.866667,167,1,10,3.466666667,0.233333333,6.3,3.7,74,46.25,8.98,9.493,24.75,2,0.716666667,16.23633333,16.54979294,0.716666667,0.716666667,0,0,0,,,,,
current_main_12,NODE_10381,smart_avg,C09_solo_Namdaemunno5ga,smart_avg,1436.9866,600,0,0.1,11,6000,237.6,5,5,5,0,0,0,0,18.06366667,96.19333333,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,417.1666667,11.37510027,102.9875922,18.47487342,12.03606557,238.4,3466.633333,167,1,10,3.466666667,0.266666667,6.266666667,3.733333333,74.66666667,46.66666667,9.013333333,9.448333333,24.683,2,0.72,18.06366667,18.47487342,0.72,0.72,0,1,5,,,,,
current_main_12,NODE_125895,baseline_avg,C04_n4_Sindang_119m,baseline_avg,1466.4794,600,0,0.1,11,6000,837.9666667,15,15,5,0,0,0,0,11.411,84.03,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,342,13.59597934,45.48099264,11.4380355,5.803825137,139.1333333,3466.866667,167,1,18,18,0,0,18,120,138.4615385,0,0,0,1.2,1.2,11.411,11.4380355,1.2,1.2,0,0,0,,,,,
current_main_12,NODE_125895,smart_avg,C04_n4_Sindang_119m,smart_avg,1436.9866,600,0,0.1,11,6000,678,15,15,5,0,0,0,0,11.20833333,83.27333333,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,343.8666667,13.46374835,45.60907577,11.33292459,5.935519126,143.1,3466.633333,167,1,16,16,0,0,16,106.6666667,123.0769231,0,0,0,1.067,1.066666667,11.20833333,11.33292459,1.066666667,1.066666667,0,1,5,,,,,
current_main_12,NODE_150723,baseline_avg,C01_n8_Bongnae2ga_49m,baseline_avg,1466.4794,600,0,0.1,4,6000,719.1333333,15,15,5,0,0,,,37.86966667,97.96666667,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,575.9333333,5.489773148,126.6183356,38.27449935,44.91584699,668.3666667,3466.866667,167,1,15,15,0,0,15,100,57.69230769,0,0,0,1,1,37.86966667,38.27449935,1,1,0,0,0,,,,,
current_main_12,NODE_150723,smart_avg,C01_n8_Bongnae2ga_49m,smart_avg,1436.9866,600,0,0.1,4,6000,301,15,15,5,0,0,,,39.49866667,98.84333333,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,571.2,5.141132927,132.1095916,39.93177923,48.43497268,718.2666667,3466.633333,167,1,15,15,0,0,15,100,57.69230769,0,0,0,1,1,39.49866667,39.93177923,1,1,0,1,5,,,,,
current_main_12,NODE_167173,baseline_avg,C06_n2_Chungjungno1ga_13m,baseline_avg,1466.4794,600,0,0.1,12,6000,436.0333333,10,10,5,0,0,,,38.791,99.86666667,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,324.5,5.514945197,107.7583051,39.2314928,27.52513661,345.7666667,3466.866667,167,1,10,2.8,0.566666667,6.633333333,3.366666667,33.66666667,84.16666667,4.436666667,5.915666667,9.436,1,0.308333333,38.791,39.2314928,0.308333333,0.308333333,0,0,0,,,,,
current_main_12,NODE_167173,smart_avg,C06_n2_Chungjungno1ga_13m,smart_avg,1436.9866,600,0,0.1,12,6000,437.2,10,10,5,0,0,,,38.246,99.60666667,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,322.7,5.62038457,106.2710585,38.71123182,26.96666667,343.9333333,3466.633333,167,1,10,2.8,0.566666667,6.633333333,3.366666667,33.66666667,84.16666667,4.393333333,5.209333333,9.331333333,1,0.308333333,38.246,38.71123182,0.308333333,0.308333333,0,1,5,,,,,
current_main_12,NODE_5831,baseline_avg,C02_n5_Namdaemunno5ga_36m,baseline_avg,1466.4794,600,0,0.1,1,6000,1003.666667,15,15,5,0,0,,,28.52033333,98.64,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,644.7333333,8.569240182,132.891779,28.88956314,28.77978142,565.5666667,3466.866667,167,1,15,10.86666667,0.333333333,3.8,11.2,74.66666667,124.4444444,0,0,4.996888889,1,0.735555556,28.52033333,28.88956314,0.735555556,0.735555556,0,0,0,,,,,
current_main_12,NODE_5831,smart_avg,C02_n5_Namdaemunno5ga_36m,smart_avg,1436.9866,600,0,0.1,1,6000,148,15,15,5,0,0,,,30.055,98.67333333,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,641.1666667,8.329254616,138.4502154,30.48134009,30.62295082,550.5666667,3466.633333,167,1,15,7.2,0.466666667,7.333333333,7.666666667,51.11111111,85.18518519,6.95,7.278,9.213777778,1,0.495555556,30.055,30.48134009,0.495555556,0.495555556,0,1,5,,,,,
current_main_12,NODE_5846,baseline_avg,C02_n5_Namdaemunno5ga_36m,baseline_avg,1466.4794,600,0,0.1,1,6000,1003.666667,15,15,5,0,0,,,28.52033333,98.64,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,644.7333333,8.569240182,132.891779,28.88956314,28.77978142,565.5666667,3466.866667,167,1,15,10.86666667,0.333333333,3.8,11.2,74.66666667,124.4444444,0,0,4.996888889,1,0.735555556,28.52033333,28.88956314,0.735555556,0.735555556,0,0,0,,,,,
current_main_12,NODE_5846,smart_avg,C02_n5_Namdaemunno5ga_36m,smart_avg,1436.9866,600,0,0.1,1,6000,148,15,15,5,0,0,,,30.055,98.67333333,1,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.9666667,3466.633333,,,,0.574946709,0,0,641.1666667,8.329254616,138.4502154,30.48134009,30.62295082,550.5666667,3466.633333,167,1,15,7.2,0.466666667,7.333333333,7.666666667,51.11111111,85.18518519,6.95,7.278,9.213777778,1,0.495555556,30.055,30.48134009,0.495555556,0.495555556,0,1,5,,,,,
current_main_12,NODE_8369,baseline_avg,C04_n4_Sindang_119m,baseline_avg,1466.4794,600,0,0.1,11,6000,862,15,15,5,0,0,0,0,11.45233333,84.03,0,12,3480,3479.966667,1.000009581,0.999990421,16571.63333,853.6333333,3466.866667,,,,0.574878555,0,0,341.5333333,13.60595095,45.60666346,11.48244499,5.798907104,138.9666667,3466.866667,167,1,18,17.56666667,0.2,0.233333333,17.76666667,118.4444444,136.6666667,0,0,0.087407407,1.2,1.177777778,11.45233333,11.48244499,1.177777778,1.177777778,0,0,0,,,,,
