run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,current_main_12,LINK_239754,1.0,baseline,1484.146,600.0,0.0,0.1,1.0,6000.0,1002.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,24.37,89.5,0.0,12.0,3480.0,3480.0,1.0,1.0,16427.0,831.0,3468.0,,,,0.5701483447165789,0.0,0.0,672.0,9.114131450008186,125.66371967891816,24.4891426198879,23.65573770491803,666.0,3468.0,167.0,1.0,15.0,10.0,0.0,5.0,10.0,66.66666666666667,111.11111111111111,0.0,0.0,1.5733333333333273,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,24.37,,24.4891426198879,,,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
smart_1,current_main_12,LINK_239754,1.0,smart,1437.914,600.0,0.0,0.1,1.0,6000.0,148.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,25.13,90.7,1.0,12.0,3480.0,3480.0,1.0,1.0,16427.0,845.0,3467.0,,,,0.5727585156827772,0.0,0.0,650.0,9.170097927128229,137.3450392071865,25.36744135058101,22.0655737704918,639.0,3467.0,167.0,1.0,15.0,3.0,0.0,12.0,3.0,20.0,33.333333333333336,1.1999999999999886,1.1999999999999886,5.199999999999989,1.0,0.2,0.0,0.0,0.0,0.0,0.0,25.13,,25.36744135058101,,,,0.2,0.2,0.0,1.0,5.0
baseline_2,current_main_12,LINK_239754,2.0,baseline,1466.22,600.0,0.0,0.1,1.0,6000.0,1002.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,38.32,100.0,0.0,12.0,3480.0,3480.0,1.0,1.0,16742.0,802.0,3462.0,,,,0.5761952407882717,0.0,0.0,598.0,6.9092572315176985,146.48167913444132,38.93645652593021,41.68852459016394,544.0,3462.0,167.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,166.66666666666666,0.0,0.0,0.0666666666666657,1.0,1.0,0.0,0.0,0.0,0.0,0.0,38.32,,38.93645652593021,,,,1.0,1.0,0.0,0.0,0.0
smart_2,current_main_12,LINK_239754,2.0,smart,1445.385,600.0,0.0,0.1,1.0,6000.0,148.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,36.77,100.0,1.0,12.0,3480.0,3480.0,1.0,1.0,16742.0,777.0,3459.0,,,,0.5743246182624961,0.0,0.0,584.0,7.621137594731326,144.70416033346527,37.40710394421443,35.16393442622951,450.0,3459.0,167.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,166.66666666666666,0.0,0.0,0.0666666666666657,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.77,,37.40710394421443,,,,1.0,1.0,0.0,1.0,5.0
baseline_3,current_main_12,LINK_239754,3.0,baseline,1446.404,600.0,0.0,0.1,1.0,6000.0,1002.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,40.69,100.0,0.0,12.0,3480.0,3480.0,1.0,1.0,16585.0,935.0,3468.0,,,,0.5829381824509505,0.0,0.0,641.0,7.78041371472785,145.65963063795456,41.01204945515507,38.08196721311475,450.0,3468.0,167.0,1.0,15.0,7.0,3.0,5.0,10.0,66.66666666666667,111.11111111111111,0.0,0.0,1.893333333333332,1.0,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,40.69,,41.01204945515507,,,,0.5666666666666667,0.5666666666666667,0.0,0.0,0.0
smart_3,current_main_12,LINK_239754,3.0,smart,1408.632,600.0,0.0,0.1,1.0,6000.0,148.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,41.44,100.0,1.0,12.0,3480.0,3480.0,1.0,1.0,16585.0,923.0,3466.0,,,,0.5830686909992604,0.0,0.0,636.0,7.539699513478919,148.86534939708676,41.908547008547,39.57377049180328,412.0,3466.0,167.0,1.0,15.0,0.0,3.0,12.0,3.0,20.0,33.333333333333336,1.7999999999999972,1.7999999999999972,5.799999999999997,1.0,0.1,0.0,0.0,0.0,0.0,0.0,41.44,,41.908547008547,,,,0.1,0.1,0.0,1.0,5.0
baseline_4,current_main_12,LINK_239754,4.0,baseline,1483.252,600.0,0.0,0.1,1.0,6000.0,1010.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,21.58,88.5,0.0,12.0,3480.0,3480.0,1.0,1.0,16555.0,887.0,3466.0,,,,0.577239309174751,0.0,0.0,597.0,10.429525990938735,134.98432952297853,21.72149880414563,13.81967213114754,442.0,3466.0,167.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,166.66666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.58,,21.72149880414563,,,,1.0,1.0,0.0,0.0,0.0
smart_4,current_main_12,LINK_239754,4.0,smart,1455.59,600.0,0.0,0.1,1.0,6000.0,148.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,39.33,100.0,1.0,12.0,3480.0,3480.0,1.0,1.0,16555.0,857.0,3465.0,,,,0.5738895897681298,0.0,0.0,590.0,7.487895239832113,158.71083770497563,39.644523859575365,36.868852459016395,467.0,3465.0,167.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,166.66666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.33,,39.644523859575365,,,,1.0,1.0,0.0,1.0,5.0
baseline_5,current_main_12,LINK_239754,5.0,baseline,1464.844,600.0,0.0,0.1,1.0,6000.0,1002.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,34.83,100.0,0.0,12.0,3480.0,3480.0,1.0,1.0,16582.0,868.0,3464.0,,,,0.5741506068647496,0.0,0.0,591.0,9.492272729173862,122.27827245598674,35.34792382967469,25.65573770491803,306.0,3464.0,167.0,1.0,15.0,13.0,2.0,0.0,15.0,100.0,166.66666666666666,0.0,0.0,0.3333333333333295,1.0,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,34.83,,35.34792382967469,,,,0.9333333333333332,0.9333333333333332,0.0,0.0,0.0
smart_5,current_main_12,LINK_239754,5.0,smart,1435.347,600.0,0.0,0.1,1.0,6000.0,148.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,42.16,100.0,1.0,12.0,3480.0,3480.0,1.0,1.0,16582.0,855.0,3464.0,,,,0.5747596467568625,0.0,0.0,588.0,8.736319432987488,144.69942281616943,42.66064565718678,32.16393442622951,269.0,3464.0,167.0,1.0,15.0,6.0,3.0,6.0,9.0,60.0,100.0,0.0,0.0,2.5599999999999907,1.0,0.5,0.0,0.0,0.0,0.0,0.0,42.16,,42.66064565718678,,,,0.5,0.5,0.0,1.0,5.0
