run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,current_main_12,NODE_10381,1.0,baseline,1484.146,600.0,0.0,0.1,11.0,6000.0,239.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,11.25,79.2,0.0,12.0,3480.0,3480.0,1.0,1.0,16427.0,831.0,3468.0,,,,0.5701483447165789,0.0,0.0,444.0,13.003083660280303,89.27314895646302,11.46922378574671,7.344262295081967,252.0,3468.0,167.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,33.89999999999998,35.15999999999998,80.12999999999998,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,,11.46922378574671,,,,0.0,0.0,0.0,0.0,0.0
smart_1,current_main_12,NODE_10381,1.0,smart,1437.914,600.0,0.0,0.1,11.0,6000.0,237.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,12.76,82.8,1.0,12.0,3480.0,3480.0,1.0,1.0,16427.0,845.0,3467.0,,,,0.5727585156827772,0.0,0.0,406.0,12.945643793314073,98.32929781870456,13.018074756784436,6.80327868852459,232.0,3467.0,167.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,34.20000000000002,35.100000000000016,80.12000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.76,,13.018074756784436,,,,0.0,0.0,0.0,1.0,5.0
baseline_2,current_main_12,NODE_10381,2.0,baseline,1466.22,600.0,0.0,0.1,11.0,6000.0,239.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,39.97,100.0,0.0,12.0,3480.0,3480.0,1.0,1.0,16742.0,802.0,3462.0,,,,0.5761952407882717,0.0,0.0,415.0,6.732802293333084,141.29432486621815,40.71013165426445,32.278688524590166,297.0,3462.0,167.0,1.0,10.0,8.0,0.0,2.0,8.0,160.0,100.0,0.0,0.0,0.9299999999999984,2.0,1.6,0.0,0.0,0.0,0.0,0.0,39.97,,40.71013165426445,,,,1.6,1.6,0.0,0.0,0.0
smart_2,current_main_12,NODE_10381,2.0,smart,1445.385,600.0,0.0,0.1,11.0,6000.0,237.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,39.25,100.0,1.0,12.0,3480.0,3480.0,1.0,1.0,16742.0,777.0,3459.0,,,,0.5743246182624961,0.0,0.0,406.0,7.191369757987267,139.56500318109093,39.95462732919255,28.737704918032787,257.0,3459.0,167.0,1.0,10.0,8.0,0.0,2.0,8.0,160.0,100.0,0.0,0.0,0.9299999999999984,2.0,1.6,0.0,0.0,0.0,0.0,0.0,39.25,,39.95462732919255,,,,1.6,1.6,0.0,1.0,5.0
baseline_3,current_main_12,NODE_10381,3.0,baseline,1446.404,600.0,0.0,0.1,11.0,6000.0,239.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,9.97,85.8,0.0,12.0,3480.0,3480.0,1.0,1.0,16585.0,935.0,3468.0,,,,0.5829381824509505,0.0,0.0,403.0,14.56142169401343,74.5912272521222,10.310194986072425,4.245901639344262,182.0,3468.0,167.0,1.0,10.0,2.0,1.0,7.0,3.0,60.0,37.5,0.0,0.3599999999999923,18.339999999999996,2.0,0.5,0.0,0.0,0.0,0.0,0.0,9.97,,10.310194986072425,,,,0.5,0.5,0.0,0.0,0.0
smart_3,current_main_12,NODE_10381,3.0,smart,1408.632,600.0,0.0,0.1,11.0,6000.0,237.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,10.67,88.6,1.0,12.0,3480.0,3480.0,1.0,1.0,16585.0,923.0,3466.0,,,,0.5830686909992604,0.0,0.0,405.0,13.974708002380062,77.59538806450183,11.004557786218124,5.163934426229508,188.0,3466.0,167.0,1.0,10.0,2.0,1.0,7.0,3.0,60.0,37.5,0.0,0.3599999999999923,18.130000000000003,2.0,0.5,0.0,0.0,0.0,0.0,0.0,10.67,,11.004557786218124,,,,0.5,0.5,0.0,1.0,5.0
baseline_4,current_main_12,NODE_10381,4.0,baseline,1483.252,600.0,0.0,0.1,11.0,6000.0,241.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,13.02,88.5,0.0,12.0,3480.0,3480.0,1.0,1.0,16555.0,887.0,3466.0,,,,0.577239309174751,0.0,0.0,386.0,13.457495660335614,107.08118246759553,13.21057471264368,5.688524590163935,175.0,3466.0,167.0,1.0,10.0,5.0,0.0,5.0,5.0,100.0,62.5,0.0,0.0,9.549999999999995,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.02,,13.21057471264368,,,,1.0,1.0,0.0,0.0,0.0
smart_4,current_main_12,NODE_10381,4.0,smart,1455.59,600.0,0.0,0.1,11.0,6000.0,240.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,42.75,100.0,1.0,12.0,3480.0,3480.0,1.0,1.0,16555.0,857.0,3465.0,,,,0.5738895897681298,0.0,0.0,373.0,7.5280613659824,154.94427283363126,43.23345481049563,25.42622950819672,183.0,3465.0,167.0,1.0,10.0,5.0,0.0,5.0,5.0,100.0,62.5,0.0,0.0,9.549999999999995,2.0,1.0,0.0,0.0,0.0,0.0,0.0,42.75,,43.23345481049563,,,,1.0,1.0,0.0,1.0,5.0
baseline_5,current_main_12,NODE_10381,5.0,baseline,1464.844,600.0,0.0,0.1,11.0,6000.0,239.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,8.62,97.9,0.0,12.0,3480.0,3480.0,1.0,1.0,16582.0,868.0,3464.0,,,,0.5741506068647496,0.0,0.0,409.0,15.230565486266544,64.46721581043137,8.540215541690301,3.885245901639344,145.0,3464.0,167.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,26.299999999999983,27.559999999999988,44.98,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62,,8.540215541690301,,,,0.0,0.0,0.0,0.0,0.0
smart_5,current_main_12,NODE_10381,5.0,smart,1435.347,600.0,0.0,0.1,11.0,6000.0,237.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,8.17,76.9,1.0,12.0,3480.0,3480.0,1.0,1.0,16582.0,855.0,3464.0,,,,0.5747596467568625,0.0,0.0,402.0,15.540894763079764,65.21269229496735,8.331839348079162,4.147540983606557,140.0,3464.0,167.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,26.30000000000001,27.20000000000001,44.720000000000006,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17,,8.331839348079162,,,,0.0,0.0,0.0,1.0,5.0
