run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,current_main_12,NODE_8369,1.0,baseline,1484.146,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,13.13,89.1,0.0,12.0,3480.0,3480.0,1.0,1.0,16427.0,831.0,3468.0,,,,0.5701483447165789,0.0,0.0,347.0,13.257881886860506,50.62875985526055,13.42601530311948,6.721311475409836,149.0,3468.0,167.0,1.0,18.0,18.0,0.0,0.0,18.0,120.0,138.46153846153845,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,13.13,,13.42601530311948,,,,1.2,1.2,0.0,0.0,0.0
smart_1,current_main_12,NODE_8369,1.0,smart,1437.914,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,11.78,92.5,1.0,12.0,3480.0,3480.0,1.0,1.0,16427.0,845.0,3467.0,,,,0.5727585156827772,0.0,0.0,349.0,13.362895797628864,46.81653173849084,11.953836858006042,6.344262295081967,148.0,3467.0,167.0,1.0,16.0,16.0,0.0,0.0,16.0,106.66666666666669,123.07692307692308,0.0,0.0,0.0,1.067,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,11.78,,11.953836858006042,,,,1.0666666666666669,1.0666666666666669,0.0,1.0,5.0
baseline_2,current_main_12,NODE_8369,2.0,baseline,1466.22,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,11.55,82.3,0.0,12.0,3480.0,3480.0,1.0,1.0,16742.0,802.0,3462.0,,,,0.5761952407882717,0.0,0.0,337.0,13.865823055919623,45.18268200754808,11.594889162561577,5.508196721311475,134.0,3462.0,167.0,1.0,18.0,18.0,0.0,0.0,18.0,120.0,138.46153846153845,0.0,0.0,0.0222222222222217,1.2,1.2,0.0,0.0,0.0,0.0,0.0,11.55,,11.594889162561577,,,,1.2,1.2,0.0,0.0,0.0
smart_2,current_main_12,NODE_8369,2.0,smart,1445.385,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,11.24,83.6,1.0,12.0,3480.0,3480.0,1.0,1.0,16742.0,777.0,3459.0,,,,0.5743246182624961,0.0,0.0,334.0,13.5992466552735,42.13513280536215,11.194523076923076,5.770491803278689,144.0,3459.0,167.0,1.0,16.0,16.0,0.0,0.0,16.0,106.66666666666669,123.07692307692308,0.0,0.0,0.0,1.067,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,11.24,,11.194523076923076,,,,1.0666666666666669,1.0666666666666669,0.0,1.0,5.0
baseline_3,current_main_12,NODE_8369,3.0,baseline,1446.404,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,9.69,80.9,0.0,12.0,3480.0,3480.0,1.0,1.0,16585.0,935.0,3468.0,,,,0.5829381824509505,0.0,0.0,349.0,13.6833503906045,42.16807941467489,9.787405247813412,5.229508196721311,135.0,3468.0,167.0,1.0,18.0,18.0,0.0,0.0,18.0,120.0,138.46153846153845,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,9.69,,9.787405247813412,,,,1.2,1.2,0.0,0.0,0.0
smart_3,current_main_12,NODE_8369,3.0,smart,1408.632,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,10.03,71.2,1.0,12.0,3480.0,3480.0,1.0,1.0,16585.0,923.0,3466.0,,,,0.5830686909992604,0.0,0.0,352.0,13.589691294152214,40.929621718191285,10.288743299583084,5.639344262295082,133.0,3466.0,167.0,1.0,16.0,16.0,0.0,0.0,16.0,106.66666666666669,123.07692307692308,0.0,0.0,0.0,1.067,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,10.03,,10.288743299583084,,,,1.0666666666666669,1.0666666666666669,0.0,1.0,5.0
baseline_4,current_main_12,NODE_8369,4.0,baseline,1483.252,600.0,0.0,0.1,11.0,6000.0,864.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,10.21,81.3,0.0,12.0,3480.0,3480.0,1.0,1.0,16555.0,887.0,3466.0,,,,0.577239309174751,0.0,0.0,344.0,13.953371641788904,44.67715019279593,10.57900786448881,5.524590163934426,135.0,3466.0,167.0,1.0,18.0,18.0,0.0,0.0,18.0,120.0,138.46153846153845,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,10.21,,10.57900786448881,,,,1.2,1.2,0.0,0.0,0.0
smart_4,current_main_12,NODE_8369,4.0,smart,1455.59,600.0,0.0,0.1,11.0,6000.0,473.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,12.79,93.6,1.0,12.0,3480.0,3480.0,1.0,1.0,16555.0,857.0,3465.0,,,,0.5738895897681298,0.0,0.0,346.0,12.530283218700763,47.76523613502012,12.9852140077821,7.836065573770492,172.0,3465.0,167.0,1.0,16.0,16.0,0.0,0.0,16.0,106.66666666666669,123.07692307692308,0.0,0.0,0.0,1.067,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,12.79,,12.9852140077821,,,,1.0666666666666669,1.0666666666666669,0.0,1.0,5.0
baseline_5,current_main_12,NODE_8369,5.0,baseline,1464.844,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,10.44,74.6,0.0,12.0,3480.0,3480.0,1.0,1.0,16582.0,868.0,3464.0,,,,0.5741506068647496,0.0,0.0,364.0,13.75704873396462,46.51569296870324,10.686233611442193,5.524590163934426,148.0,3464.0,167.0,1.0,18.0,18.0,0.0,0.0,18.0,120.0,138.46153846153845,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,10.44,,10.686233611442193,,,,1.2,1.2,0.0,0.0,0.0
smart_5,current_main_12,NODE_8369,5.0,smart,1435.347,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,10.7,99.9,1.0,12.0,3480.0,3480.0,1.0,1.0,16582.0,855.0,3464.0,,,,0.5747596467568625,0.0,0.0,363.0,13.30832908554481,45.917672338866176,11.014326978625071,5.967213114754099,148.0,3464.0,167.0,1.0,16.0,16.0,0.0,0.0,16.0,106.66666666666669,123.07692307692308,0.0,0.0,0.0,1.067,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,10.7,,11.014326978625071,,,,1.0666666666666669,1.0666666666666669,0.0,1.0,5.0
baseline_6,current_main_12,NODE_8369,6.0,baseline,1466.296,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,10.47,82.5,0.0,12.0,3480.0,3480.0,1.0,1.0,16569.0,906.0,3471.0,,,,0.5788924174533432,0.0,0.0,356.0,12.994035038643585,51.28190495845951,10.576543942992876,6.262295081967213,157.0,3471.0,167.0,1.0,18.0,18.0,0.0,0.0,18.0,120.0,138.46153846153845,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,10.47,,10.576543942992876,,,,1.2,1.2,0.0,0.0,0.0
smart_6,current_main_12,NODE_8369,6.0,smart,1434.209,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,10.39,84.9,1.0,12.0,3480.0,3480.0,1.0,1.0,16569.0,896.0,3472.0,,,,0.5790229260016531,0.0,0.0,344.0,13.184586833318193,48.098074794700025,10.486511342734518,5.688524590163935,133.0,3472.0,167.0,1.0,16.0,16.0,0.0,0.0,16.0,106.66666666666669,123.07692307692308,0.0,0.0,0.0,1.067,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,10.39,,10.486511342734518,,,,1.0666666666666669,1.0666666666666669,0.0,1.0,5.0
baseline_7,current_main_12,NODE_8369,7.0,baseline,1436.597,600.0,0.0,0.1,11.0,6000.0,864.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,10.35,82.0,0.0,12.0,3480.0,3480.0,1.0,1.0,16562.0,870.0,3467.0,,,,0.5721929786401009,0.0,0.0,346.0,13.729519136100986,39.26913562649032,10.059532828282828,5.360655737704918,136.0,3467.0,167.0,1.0,18.0,18.0,0.0,0.0,18.0,120.0,138.46153846153845,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,10.35,,10.059532828282828,,,,1.2,1.2,0.0,0.0,0.0
smart_7,current_main_12,NODE_8369,7.0,smart,1406.471,600.0,0.0,0.1,11.0,6000.0,473.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,9.28,65.1,1.0,12.0,3480.0,3480.0,1.0,1.0,16562.0,877.0,3466.0,,,,0.5749336581546092,0.0,0.0,343.0,13.552240370063846,37.90485497531792,9.253047989623866,5.19672131147541,136.0,3466.0,167.0,1.0,16.0,16.0,0.0,0.0,16.0,106.66666666666669,123.07692307692308,0.0,0.0,0.0,1.067,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,9.28,,9.253047989623866,,,,1.0666666666666669,1.0666666666666669,0.0,1.0,5.0
baseline_8,current_main_12,NODE_8369,8.0,baseline,1453.654,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,13.79,88.8,0.0,12.0,3480.0,3480.0,1.0,1.0,16618.0,894.0,3464.0,,,,0.5779353547657372,0.0,0.0,346.0,12.508722755596342,50.4360788630295,14.0064,7.032786885245901,175.0,3464.0,167.0,1.0,18.0,18.0,0.0,0.0,18.0,120.0,138.46153846153845,0.0,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,13.79,,14.0064,,,,1.2,1.2,0.0,0.0,0.0
smart_8,current_main_12,NODE_8369,8.0,smart,1418.96,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,11.61,82.2,1.0,12.0,3480.0,3480.0,1.0,1.0,16618.0,878.0,3463.0,,,,0.5744551268108061,0.0,0.0,340.0,13.668970127586762,45.2848116627696,11.579938271604938,5.524590163934426,150.0,3463.0,167.0,1.0,16.0,16.0,0.0,0.0,16.0,106.66666666666669,123.07692307692308,0.0,0.0,0.0,1.067,1.0666666666666669,0.0,0.0,0.0,0.0,0.0,11.61,,11.579938271604938,,,,1.0666666666666669,1.0666666666666669,0.0,1.0,5.0
