run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,generated_signal_7,LINK_212169,1.0,baseline,1410.174,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,40.81,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16421.0,872.0,3465.0,,,,0.5731935441771436,0.0,0.0,502.0,5.190915314836891,161.47062278920689,41.424590163934425,49.540983606557376,630.0,3465.0,21.0,1.0,20.0,16.0,2.0,2.0,18.0,180.0,360.0,0.0,0.0,0.6549999999999997,2.0,1.7,0.0,0.0,0.0,0.0,0.0,40.81,,41.424590163934425,,,,1.7,1.7,0.0,0.0,0.0
smart_1,generated_signal_7,LINK_212169,1.0,smart,1386.063,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,40.86,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16421.0,832.0,3468.0,,,,0.5714099273502414,0.0,0.0,487.0,5.819696609454365,160.8550865333757,41.22935761456874,44.01639344262295,584.0,3468.0,21.0,1.0,20.0,16.0,2.0,2.0,18.0,180.0,360.0,0.0,0.0,0.6549999999999997,2.0,1.7,0.0,0.0,0.0,0.0,0.0,40.86,,41.22935761456874,,,,1.7,1.7,0.0,1.0,5.0
baseline_2,generated_signal_7,LINK_212169,2.0,baseline,1431.913,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,49.52,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16737.0,785.0,3460.0,,,,0.5711489102536216,0.0,0.0,445.0,3.89714908392927,177.01382486615515,50.16165581076448,64.31147540983606,613.0,3460.0,21.0,1.0,20.0,17.0,3.0,0.0,20.0,200.0,400.0,0.0,0.0,0.3749999999999993,2.0,1.85,0.0,0.0,0.0,0.0,0.0,49.52,,50.16165581076448,,,,1.85,1.85,0.0,0.0,0.0
smart_2,generated_signal_7,LINK_212169,2.0,smart,1421.111,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,41.33,98.9,1.0,7.0,3480.0,3480.0,1.0,1.0,16737.0,799.0,3459.0,,,,0.5732370470265803,0.0,0.0,444.0,5.658082729763408,165.9799767537756,41.89688648648649,41.63934426229508,543.0,3459.0,21.0,1.0,20.0,17.0,3.0,0.0,20.0,200.0,400.0,0.0,0.0,0.3749999999999993,2.0,1.85,0.0,0.0,0.0,0.0,0.0,41.33,,41.89688648648649,,,,1.85,1.85,0.0,1.0,5.0
baseline_3,generated_signal_7,LINK_212169,3.0,baseline,1379.371,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,41.65,93.5,0.0,7.0,3480.0,3480.0,1.0,1.0,16583.0,931.0,3466.0,,,,0.5842432679340497,0.0,0.0,411.0,5.963938277379462,147.381459665561,41.841573290647155,39.80327868852459,501.0,3466.0,21.0,1.0,20.0,20.0,0.0,0.0,20.0,200.0,400.0,0.0,0.0,0.054999999999999,2.0,2.0,0.0,0.0,0.0,0.0,0.0,41.65,,41.841573290647155,,,,2.0,2.0,0.0,0.0,0.0
smart_3,generated_signal_7,LINK_212169,3.0,smart,1361.834,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,41.86,93.6,1.0,7.0,3480.0,3480.0,1.0,1.0,16583.0,925.0,3468.0,,,,0.5835907251925001,0.0,0.0,444.0,6.0514281462979795,150.07814204361628,42.04248567650948,40.22950819672131,544.0,3468.0,21.0,1.0,20.0,20.0,0.0,0.0,20.0,200.0,400.0,0.0,0.0,0.054999999999999,2.0,2.0,0.0,0.0,0.0,0.0,0.0,41.86,,42.04248567650948,,,,2.0,2.0,0.0,1.0,5.0
baseline_4,generated_signal_7,LINK_212169,4.0,baseline,1387.807,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,39.13,96.2,0.0,7.0,3480.0,3480.0,1.0,1.0,16554.0,874.0,3469.0,,,,0.5757167094444686,0.0,0.0,491.0,5.6606476127931815,160.0025929246453,39.480392912172576,44.73770491803279,635.0,3469.0,21.0,1.0,20.0,15.0,1.0,4.0,16.0,160.0,320.0,0.0,0.0,1.1650000000000005,2.0,1.55,0.0,0.0,0.0,0.0,0.0,39.13,,39.480392912172576,,,,1.55,1.55,0.0,0.0,0.0
smart_4,generated_signal_7,LINK_212169,4.0,smart,1409.761,600.0,0.0,0.1,5.0,6000.0,290.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,41.9,96.6,1.0,7.0,3480.0,3480.0,1.0,1.0,16554.0,902.0,3472.0,,,,0.5773263148736242,0.0,0.0,492.0,5.300232383485553,164.67503714214843,42.45504957767169,50.14754098360656,696.0,3472.0,21.0,1.0,20.0,15.0,1.0,4.0,16.0,160.0,320.0,0.0,0.0,1.1650000000000005,2.0,1.55,0.0,0.0,0.0,0.0,0.0,41.9,,42.45504957767169,,,,1.55,1.55,0.0,1.0,5.0
baseline_5,generated_signal_7,LINK_212169,5.0,baseline,1366.209,600.0,0.0,0.1,5.0,6000.0,282.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,37.98,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16584.0,887.0,3466.0,,,,0.5785443946578501,0.0,0.0,463.0,6.629430930656031,141.98376606665474,38.6952580195258,36.19672131147541,478.0,3466.0,21.0,1.0,20.0,18.0,2.0,0.0,20.0,200.0,400.0,0.0,0.0,0.2249999999999986,2.0,1.9,0.0,0.0,0.0,0.0,0.0,37.98,,38.6952580195258,,,,1.9,1.9,0.0,0.0,0.0
smart_5,generated_signal_7,LINK_212169,5.0,smart,1390.261,600.0,0.0,0.1,5.0,6000.0,282.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,38.5,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16584.0,888.0,3465.0,,,,0.5780658633140471,0.0,0.0,455.0,6.626692373197221,142.21266647778663,38.92557056357708,35.721311475409834,505.0,3465.0,21.0,1.0,20.0,18.0,2.0,0.0,20.0,200.0,400.0,0.0,0.0,0.2249999999999986,2.0,1.9,0.0,0.0,0.0,0.0,0.0,38.5,,38.92557056357708,,,,1.9,1.9,0.0,1.0,5.0
