run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,generated_signal_7,NODE_74388,1.0,baseline,1410.174,600.0,0.0,0.1,16.0,6000.0,1091.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,28.58,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16421.0,872.0,3465.0,,,,0.5731935441771436,0.0,0.0,549.0,7.04551750699001,128.2918137349285,29.38147229114971,27.83606557377049,468.0,3465.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,28.58,,29.38147229114971,,,,1.6,1.6,0.0,0.0,0.0
smart_1,generated_signal_7,NODE_74388,1.0,smart,1386.063,600.0,0.0,0.1,16.0,6000.0,1159.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,27.87,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16421.0,832.0,3468.0,,,,0.5714099273502414,0.0,0.0,534.0,7.74649337640135,124.57061828603386,28.495595776772245,23.27868852459016,430.0,3468.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,27.87,,28.495595776772245,,,,1.6,1.6,0.0,1.0,5.0
baseline_2,generated_signal_7,NODE_74388,2.0,baseline,1431.913,600.0,0.0,0.1,16.0,6000.0,1092.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,43.98,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16737.0,785.0,3460.0,,,,0.5711489102536216,0.0,0.0,494.0,4.8213892068967095,154.80656698178413,44.52776911076443,46.131147540983605,489.0,3460.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,43.98,,44.52776911076443,,,,1.6,1.6,0.0,0.0,0.0
smart_2,generated_signal_7,NODE_74388,2.0,smart,1421.111,600.0,0.0,0.1,16.0,6000.0,1160.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,28.67,94.8,1.0,7.0,3480.0,3480.0,1.0,1.0,16737.0,799.0,3459.0,,,,0.5732370470265803,0.0,0.0,492.0,7.670331468713799,131.64192095489682,29.302281368821298,21.918032786885245,409.0,3459.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,28.67,,29.302281368821298,,,,1.6,1.6,0.0,1.0,5.0
baseline_3,generated_signal_7,NODE_74388,3.0,baseline,1379.371,600.0,0.0,0.1,16.0,6000.0,1092.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,30.27,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16583.0,931.0,3466.0,,,,0.5842432679340497,0.0,0.0,485.0,7.406781009703563,112.1849692869041,31.026861779194437,26.34426229508197,467.0,3466.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,30.27,,31.026861779194437,,,,1.6,1.6,0.0,0.0,0.0
smart_3,generated_signal_7,NODE_74388,3.0,smart,1361.834,600.0,0.0,0.1,16.0,6000.0,1160.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,34.1,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16583.0,925.0,3468.0,,,,0.5835907251925001,0.0,0.0,522.0,7.011099356607092,121.14661239120232,34.892867251627514,28.475409836065573,449.0,3468.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,34.1,,34.892867251627514,,,,1.6,1.6,0.0,1.0,5.0
baseline_4,generated_signal_7,NODE_74388,4.0,baseline,1387.807,600.0,0.0,0.1,16.0,6000.0,1092.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,27.5,96.2,0.0,7.0,3480.0,3480.0,1.0,1.0,16554.0,874.0,3469.0,,,,0.5757167094444686,0.0,0.0,549.0,7.82857302864297,128.87545108038782,27.805960451977395,24.049180327868857,476.0,3469.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,27.5,,27.805960451977395,,,,1.6,1.6,0.0,0.0,0.0
smart_4,generated_signal_7,NODE_74388,4.0,smart,1409.761,600.0,0.0,0.1,16.0,6000.0,1160.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,31.76,96.6,1.0,7.0,3480.0,3480.0,1.0,1.0,16554.0,902.0,3472.0,,,,0.5773263148736242,0.0,0.0,560.0,7.131692805229474,136.55808885563866,32.24446705672857,30.147540983606557,544.0,3472.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,31.76,,32.24446705672857,,,,1.6,1.6,0.0,1.0,5.0
baseline_5,generated_signal_7,NODE_74388,5.0,baseline,1366.209,600.0,0.0,0.1,16.0,6000.0,1091.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,24.14,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16584.0,887.0,3466.0,,,,0.5785443946578501,0.0,0.0,450.0,8.8547315435345,107.47433729472374,24.941021950341852,17.704918032786885,334.0,3466.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,24.14,,24.941021950341852,,,,1.6,1.6,0.0,0.0,0.0
smart_5,generated_signal_7,NODE_74388,5.0,smart,1390.261,600.0,0.0,0.1,16.0,6000.0,1141.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,24.91,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16584.0,888.0,3465.0,,,,0.5780658633140471,0.0,0.0,441.0,8.692275023381566,108.71318190220774,25.51012247838617,17.78688524590164,353.0,3465.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,24.91,,25.51012247838617,,,,1.6,1.6,0.0,1.0,5.0
baseline_6,generated_signal_7,NODE_74388,6.0,baseline,1356.427,600.0,0.0,0.1,16.0,6000.0,1092.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,23.56,99.9,0.0,7.0,3480.0,3480.0,1.0,1.0,16566.0,883.0,3470.0,,,,0.576151737938835,0.0,0.0,511.0,8.847574470489898,124.56837416834718,23.872002772002773,17.262295081967213,361.0,3470.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,23.56,,23.872002772002773,,,,1.6,1.6,0.0,0.0,0.0
smart_6,generated_signal_7,NODE_74388,6.0,smart,1380.881,600.0,0.0,0.1,16.0,6000.0,1160.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,23.37,99.7,1.0,7.0,3480.0,3480.0,1.0,1.0,16566.0,881.0,3470.0,,,,0.5779788576151738,0.0,0.0,523.0,8.713519318814166,125.67202962517412,23.67072256305385,16.770491803278688,368.0,3470.0,21.0,1.0,8.0,8.0,0.0,0.0,8.0,160.0,80.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,23.37,,23.67072256305385,,,,1.6,1.6,0.0,1.0,5.0
