run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,generated_signal_7,NODE_8426,1.0,baseline,1410.174,600.0,0.0,0.1,16.0,6000.0,1440.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,23.84,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16421.0,872.0,3465.0,,,,0.5731935441771436,0.0,0.0,348.0,8.320791103022067,69.08950986006833,24.00233009708738,17.770491803278688,318.0,3465.0,21.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,60.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,23.84,,24.00233009708738,,,,1.8,1.8,0.0,0.0,0.0
smart_1,generated_signal_7,NODE_8426,1.0,smart,1386.063,600.0,0.0,0.1,16.0,6000.0,1442.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16421.0,832.0,3468.0,,,,0.5714099273502414,0.0,0.0,342.0,8.124516219831328,71.17514947750742,25.193102119460494,18.75409836065574,332.0,3468.0,21.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,60.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,25.0,,25.193102119460494,,,,1.8,1.8,0.0,1.0,5.0
baseline_2,generated_signal_7,NODE_8426,2.0,baseline,1431.913,600.0,0.0,0.1,16.0,6000.0,1440.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,17.32,86.9,0.0,7.0,3480.0,3480.0,1.0,1.0,16737.0,785.0,3460.0,,,,0.5711489102536216,0.0,0.0,331.0,10.33605454240495,48.45276696470852,17.40940685820204,12.37704918032787,248.0,3460.0,21.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,60.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,17.32,,17.40940685820204,,,,1.8,1.8,0.0,0.0,0.0
smart_2,generated_signal_7,NODE_8426,2.0,smart,1421.111,600.0,0.0,0.1,16.0,6000.0,1442.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,18.22,87.1,1.0,7.0,3480.0,3480.0,1.0,1.0,16737.0,799.0,3459.0,,,,0.5732370470265803,0.0,0.0,334.0,10.080511955317077,50.457205543372986,18.29051763628035,12.9672131147541,265.0,3459.0,21.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,60.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,18.22,,18.29051763628035,,,,1.8,1.8,0.0,1.0,5.0
baseline_3,generated_signal_7,NODE_8426,3.0,baseline,1379.371,600.0,0.0,0.1,16.0,6000.0,1440.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,21.73,100.0,0.0,7.0,3480.0,3480.0,1.0,1.0,16583.0,931.0,3466.0,,,,0.5842432679340497,0.0,0.0,357.0,9.154353071949364,60.935411866797494,21.909209516500383,16.65573770491803,308.0,3466.0,21.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,60.0,0.0,0.0,0.0777777777777796,1.8,1.8,0.0,0.0,0.0,0.0,0.0,21.73,,21.909209516500383,,,,1.8,1.8,0.0,0.0,0.0
smart_3,generated_signal_7,NODE_8426,3.0,smart,1361.834,600.0,0.0,0.1,16.0,6000.0,1441.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,18.78,91.5,1.0,7.0,3480.0,3480.0,1.0,1.0,16583.0,925.0,3468.0,,,,0.5835907251925001,0.0,0.0,356.0,9.669277960610296,55.304115866604384,18.99277456647399,14.01639344262295,283.0,3468.0,21.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,60.0,0.0,0.0,0.0777777777777796,1.8,1.8,0.0,0.0,0.0,0.0,0.0,18.78,,18.99277456647399,,,,1.8,1.8,0.0,1.0,5.0
baseline_4,generated_signal_7,NODE_8426,4.0,baseline,1387.807,600.0,0.0,0.1,16.0,6000.0,1440.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,23.09,99.9,0.0,7.0,3480.0,3480.0,1.0,1.0,16554.0,874.0,3469.0,,,,0.5757167094444686,0.0,0.0,358.0,8.931968957919143,64.06665229901384,22.915168539325844,17.737704918032787,331.0,3469.0,21.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,60.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,23.09,,22.915168539325844,,,,1.8,1.8,0.0,0.0,0.0
smart_4,generated_signal_7,NODE_8426,4.0,smart,1409.761,600.0,0.0,0.1,16.0,6000.0,1442.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,24.81,100.0,1.0,7.0,3480.0,3480.0,1.0,1.0,16554.0,902.0,3472.0,,,,0.5773263148736242,0.0,0.0,358.0,8.540244495184659,69.80956515598577,24.888818486768542,19.081967213114755,348.0,3472.0,21.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,60.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,24.81,,24.888818486768542,,,,1.8,1.8,0.0,1.0,5.0
baseline_5,generated_signal_7,NODE_8426,5.0,baseline,1366.209,600.0,0.0,0.1,16.0,6000.0,1440.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,20.82,99.8,0.0,7.0,3480.0,3480.0,1.0,1.0,16584.0,887.0,3466.0,,,,0.5785443946578501,0.0,0.0,372.0,9.02586899127792,62.526809675650966,20.86187214611872,16.852459016393443,312.0,3466.0,21.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,60.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,20.82,,20.86187214611872,,,,1.8,1.8,0.0,0.0,0.0
smart_5,generated_signal_7,NODE_8426,5.0,smart,1390.261,600.0,0.0,0.1,16.0,6000.0,1439.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,19.42,99.8,1.0,7.0,3480.0,3480.0,1.0,1.0,16584.0,888.0,3465.0,,,,0.5780658633140471,0.0,0.0,366.0,9.32250729378548,59.64877576383495,19.62690011937923,15.344262295081966,288.0,3465.0,21.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,60.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,19.42,,19.62690011937923,,,,1.8,1.8,0.0,1.0,5.0
