run_name,crosswalk_id,scenario,seed,output_dir,run_start_time,run_end_time,elapsed_sec,completed,sim_duration,warmup,step_length,tls_id_used,ped_link_index,crossing_edge_id,route_from_edge,route_to_edge,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,ped_repeat_count_match,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,generated_vehicle_route_file,vehicle_route_sha256,pedestrian_route_file,pedestrian_route_sha256,net_sha256,surrounding_lane_count,vehicle_bbox_coverage,batch_network_file,route_reason,pet_source,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_available,pet_coverage_ratio,pet_unavailable_reason,accident_risk_estimate,scenario_name,demand_profile,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
phase6_smoke_baseline_seed1,LINK_212169,baseline,1,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01,2026-05-19T23:47:18+00:00,2026-05-20T00:10:48+00:00,1410.174,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,0.0,0.0,40.81,100.0,0,7,3480,3480,1.0,1.0,16421,872,3465,,,,0.5731935441771436,0,0,502,5.190915314836891,161.47062278920689,41.424590163934425,49.540983606557376,630,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_vehicle.rou.xml,647799cbf814eeccca32ac9cba3f2f6909ddb8f0d93e3b2a5e6e85e26577dfa3,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,16,2,2,18,180.0,360.0,0.0,0.0,0.6549999999999997,False,2.0,partial_pet_coverage_from_local_watcher,1.7,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,40.81,,41.424590163934425,,,,1.7,1.7,0.0,0,0.0
phase6_smoke_baseline_seed1,NODE_8452,baseline,1,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01,2026-05-19T23:47:18+00:00,2026-05-20T00:10:48+00:00,1410.174,True,600,0,0.1,3846603653,2,:3846603653_c0,381458592#4,-381458592#4,6000,541,5,5,5,True,0,0,0.0,0.0,28.23,100.0,0,7,3480,3480,1.0,1.0,16421,872,3465,,,,0.5731935441771436,0,0,420,6.801181709287743,82.17044127044745,28.483622828784124,25.131147540983605,449,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_vehicle.rou.xml,647799cbf814eeccca32ac9cba3f2f6909ddb8f0d93e3b2a5e6e85e26577dfa3,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,125.0,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,28.23,,28.483622828784124,,,,2.0,2.0,0.0,0,0.0
phase6_smoke_baseline_seed1,NODE_6082,baseline,1,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01,2026-05-19T23:47:18+00:00,2026-05-20T00:10:48+00:00,1410.174,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,,,40.81,100.0,0,7,3480,3480,1.0,1.0,16421,872,3465,,,,0.5731935441771436,0,0,502,5.190915314836891,161.47062278920689,41.424590163934425,49.540983606557376,630,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_vehicle.rou.xml,647799cbf814eeccca32ac9cba3f2f6909ddb8f0d93e3b2a5e6e85e26577dfa3,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,16,2,2,18,180.0,360.0,0.0,0.0,0.6549999999999997,False,2.0,partial_pet_coverage_from_local_watcher,1.7,main_realistic_stress,main_realistic_stress,,,,,,40.81,,41.424590163934425,,,,1.7,1.7,0.0,0,0.0
phase6_smoke_baseline_seed1,NODE_6123,baseline,1,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01,2026-05-19T23:47:18+00:00,2026-05-20T00:10:48+00:00,1410.174,True,600,0,0.1,7300992884,5,:7300992884_c0,955312948,-955312948,6000,47,5,5,5,True,0,0,0.0,0.0,42.45,100.0,0,7,3480,3480,1.0,1.0,16421,872,3465,,,,0.5731935441771436,0,0,492,6.148307503830389,159.67488606588998,42.76227683259819,44.47540983606557,524,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_vehicle.rou.xml,647799cbf814eeccca32ac9cba3f2f6909ddb8f0d93e3b2a5e6e85e26577dfa3,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,125.0,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,42.45,,42.76227683259819,,,,2.0,2.0,0.0,0,0.0
phase6_smoke_baseline_seed1,NODE_8426,baseline,1,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01,2026-05-19T23:47:18+00:00,2026-05-20T00:10:48+00:00,1410.174,True,600,0,0.1,3849142980,16,:3849142980_c0,920025287#2,920025287#3,6000,1440,5,5,5,True,0,0,0.0,0.0,23.84,100.0,0,7,3480,3480,1.0,1.0,16421,872,3465,,,,0.5731935441771436,0,0,348,8.320791103022067,69.08950986006833,24.00233009708738,17.770491803278688,318,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_vehicle.rou.xml,647799cbf814eeccca32ac9cba3f2f6909ddb8f0d93e3b2a5e6e85e26577dfa3,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,9,9,0,0,9,180.0,60.0,0.0,0.0,0.0,False,1.8,partial_pet_coverage_from_local_watcher,1.8,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,23.84,,24.00233009708738,,,,1.8,1.8,0.0,0,0.0
phase6_smoke_baseline_seed1,NODE_74388,baseline,1,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01,2026-05-19T23:47:18+00:00,2026-05-20T00:10:48+00:00,1410.174,True,600,0,0.1,436883130,16,:436883130_c0,1206220504#1,-516163750#1,6000,1091,5,5,5,True,0,0,0.0,0.0,28.58,100.0,0,7,3480,3480,1.0,1.0,16421,872,3465,,,,0.5731935441771436,0,0,549,7.04551750699001,128.2918137349285,29.38147229114971,27.83606557377049,468,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_vehicle.rou.xml,647799cbf814eeccca32ac9cba3f2f6909ddb8f0d93e3b2a5e6e85e26577dfa3,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,8,8,0,0,8,160.0,80.0,0.0,0.0,0.0,False,1.6,partial_pet_coverage_from_local_watcher,1.6,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,28.58,,29.38147229114971,,,,1.6,1.6,0.0,0,0.0
phase6_smoke_baseline_seed1,NODE_10273,baseline,1,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01,2026-05-19T23:47:18+00:00,2026-05-20T00:10:48+00:00,1410.174,True,600,0,0.1,3846533030,12,:3846533030_c1,-381452118#0,381452118#0,6000,224,5,5,5,True,0,0,0.0,0.0,28.95,100.0,0,7,3480,3480,1.0,1.0,16421,872,3465,,,,0.5731935441771436,0,0,434,6.6500352678095505,83.42446503434175,29.320474332032422,26.37704918032787,461,3465,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_vehicle.rou.xml,647799cbf814eeccca32ac9cba3f2f6909ddb8f0d93e3b2a5e6e85e26577dfa3,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,90.9090909090909,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,28.95,,29.320474332032422,,,,2.0,2.0,0.0,0,0.0
phase6_smoke_smart_seed1,LINK_212169,smart,1,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01,2026-05-20T00:10:49+00:00,2026-05-20T00:33:55+00:00,1386.063,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,0.0,0.0,40.86,100.0,1,7,3480,3480,1.0,1.0,16421,832,3468,,,,0.5714099273502414,0,0,487,5.819696609454365,160.8550865333757,41.22935761456874,44.01639344262295,584,3468,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_vehicle.rou.xml,647799cbf814eeccca32ac9cba3f2f6909ddb8f0d93e3b2a5e6e85e26577dfa3,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,16,2,2,18,180.0,360.0,0.0,0.0,0.6549999999999997,False,2.0,partial_pet_coverage_from_local_watcher,1.7,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,40.86,,41.22935761456874,,,,1.7,1.7,0.0,1,5.0
phase6_smoke_smart_seed1,NODE_8452,smart,1,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01,2026-05-20T00:10:49+00:00,2026-05-20T00:33:55+00:00,1386.063,True,600,0,0.1,3846603653,2,:3846603653_c0,381458592#4,-381458592#4,6000,541,5,5,5,True,0,0,0.0,0.0,28.2,100.0,1,7,3480,3480,1.0,1.0,16421,832,3468,,,,0.5714099273502414,0,0,413,6.560915674663331,80.96489903632151,28.544370054777847,26.59016393442623,485,3468,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_vehicle.rou.xml,647799cbf814eeccca32ac9cba3f2f6909ddb8f0d93e3b2a5e6e85e26577dfa3,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,10,10,0,0,10,200.0,125.0,0.0,0.0,0.0,False,2.0,partial_pet_coverage_from_local_watcher,2.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,28.2,,28.544370054777847,,,,2.0,2.0,0.0,1,5.0
phase6_smoke_smart_seed1,NODE_6082,smart,1,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01,2026-05-20T00:10:49+00:00,2026-05-20T00:33:55+00:00,1386.063,True,600,0,0.1,11449716078,5,:11449716078_c0,1233842659,-1233842659,6000,290,10,10,5,False,0,0,,,40.86,100.0,1,7,3480,3480,1.0,1.0,16421,832,3468,,,,0.5714099273502414,0,0,487,5.819696609454365,160.8550865333757,41.22935761456874,44.01639344262295,584,3468,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_vehicle.rou.xml,647799cbf814eeccca32ac9cba3f2f6909ddb8f0d93e3b2a5e6e85e26577dfa3,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/generated_signal_7/baseline/seed01/demand_pedestrian.rou.xml,ec732011926237ebe2d06fc3f94bb9bee3405ab972c2507ce3b4c78dfff7e81f,c2daae2125b2a6efd63bf4e51545303c86d44988a3a6b0287ae45253256f96f1,21,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/generated_signal_7.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,20,16,2,2,18,180.0,360.0,0.0,0.0,0.6549999999999997,False,2.0,partial_pet_coverage_from_local_watcher,1.7,main_realistic_stress,main_realistic_stress,,,,,,40.86,,41.22935761456874,,,,1.7,1.7,0.0,1,5.0
