run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,p1_p4_recovery_6,NODE_10060,1.0,baseline,1420.494,600.0,0.0,0.1,11.0,6000.0,1675.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.63,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16427.0,850.0,3466.0,,,,0.5719754643929177,0.0,0.0,450.0,7.322363888379477,137.452295254653,26.04547690625854,21.360655737704917,529.0,3466.0,125.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,42.857142857142854,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,25.63,,26.04547690625854,,,,1.8,1.8,0.0,0.0,0.0
smart_1,p1_p4_recovery_6,NODE_10060,1.0,smart,1387.189,600.0,0.0,0.1,11.0,6000.0,1729.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,24.35,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16427.0,866.0,3466.0,,,,0.5734545612737635,0.0,0.0,458.0,7.29884006025473,134.26987592392078,24.50848585690516,19.80327868852459,511.0,3466.0,125.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,42.857142857142854,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,24.35,,24.50848585690516,,,,1.8,1.8,0.0,1.0,5.0
baseline_2,p1_p4_recovery_6,NODE_10060,2.0,baseline,1437.237,600.0,0.0,0.1,11.0,6000.0,1675.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,28.37,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16742.0,806.0,3463.0,,,,0.5787619089050333,0.0,0.0,414.0,6.276106585111663,162.20004873001085,29.233402985074623,23.65573770491803,406.0,3463.0,125.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,42.857142857142854,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,28.37,,29.233402985074623,,,,1.8,1.8,0.0,0.0,0.0
smart_2,p1_p4_recovery_6,NODE_10060,2.0,smart,1430.349,600.0,0.0,0.1,11.0,6000.0,1729.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,24.84,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16742.0,791.0,3460.0,,,,0.576021229390525,0.0,0.0,452.0,7.381211778775579,155.45067069982767,25.710799267846248,21.049180327868857,376.0,3460.0,125.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,42.857142857142854,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,24.84,,25.710799267846248,,,,1.8,1.8,0.0,1.0,5.0
baseline_3,p1_p4_recovery_6,NODE_10060,3.0,baseline,1363.091,600.0,0.0,0.1,11.0,6000.0,1669.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,31.35,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16585.0,906.0,3468.0,,,,0.5817201026667247,0.0,0.0,440.0,6.5907532564820395,141.69936972816183,31.713431677018637,25.918032786885245,455.0,3468.0,125.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,42.857142857142854,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,31.35,,31.713431677018637,,,,1.8,1.8,0.0,0.0,0.0
smart_3,p1_p4_recovery_6,NODE_10060,3.0,smart,1331.712,600.0,0.0,0.1,11.0,6000.0,1727.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,15.3,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16585.0,920.0,3467.0,,,,0.5831121938486971,0.0,0.0,414.0,9.645838026042384,105.64583645802036,15.71540729819388,10.80327868852459,339.0,3467.0,125.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,42.857142857142854,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,15.3,,15.71540729819388,,,,1.8,1.8,0.0,1.0,5.0
baseline_4,p1_p4_recovery_6,NODE_10060,4.0,baseline,1395.202,600.0,0.0,0.1,11.0,6000.0,1675.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,18.61,99.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16555.0,851.0,3470.0,,,,0.5754556923478488,0.0,0.0,493.0,8.503544942736278,129.59593231368572,18.8267743796884,16.278688524590162,480.0,3470.0,125.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,42.857142857142854,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,18.61,,18.8267743796884,,,,1.8,1.8,0.0,0.0,0.0
smart_4,p1_p4_recovery_6,NODE_10060,4.0,smart,1413.728,600.0,0.0,0.1,11.0,6000.0,1729.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,14.59,79.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16555.0,888.0,3469.0,,,,0.5767172749815113,0.0,0.0,494.0,9.046719969684355,126.8607094658646,14.987245547073792,12.508196721311476,385.0,3469.0,125.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,42.857142857142854,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,14.59,,14.987245547073792,,,,1.8,1.8,0.0,1.0,5.0
baseline_5,p1_p4_recovery_6,NODE_10060,5.0,baseline,1382.415,600.0,0.0,0.1,11.0,6000.0,1675.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,19.23,100.0,0.0,6.0,3480.0,3480.0,1.0,1.0,16582.0,890.0,3464.0,,,,0.5788924174533432,0.0,0.0,442.0,8.71505642086737,119.8168729276724,19.52545632333768,13.934426229508198,314.0,3464.0,125.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,42.857142857142854,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,19.23,,19.52545632333768,,,,1.8,1.8,0.0,0.0,0.0
smart_5,p1_p4_recovery_6,NODE_10060,5.0,smart,1402.311,600.0,0.0,0.1,11.0,6000.0,1729.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,20.24,100.0,1.0,6.0,3480.0,3480.0,1.0,1.0,16582.0,901.0,3464.0,,,,0.5793709487971462,0.0,0.0,428.0,8.263519933650512,118.09807178425426,21.096258847320524,16.475409836065573,344.0,3464.0,125.0,1.0,9.0,9.0,0.0,0.0,9.0,180.0,42.857142857142854,0.0,0.0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,20.24,,21.096258847320524,,,,1.8,1.8,0.0,1.0,5.0
