run_name,crosswalk_id,scenario,seed,output_dir,run_start_time,run_end_time,elapsed_sec,completed,sim_duration,warmup,step_length,tls_id_used,ped_link_index,crossing_edge_id,route_from_edge,route_to_edge,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,ped_repeat_count_match,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,generated_vehicle_route_file,vehicle_route_sha256,pedestrian_route_file,pedestrian_route_sha256,net_sha256,surrounding_lane_count,vehicle_bbox_coverage,batch_network_file,route_reason,pet_source,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_available,pet_coverage_ratio,pet_unavailable_reason,accident_risk_estimate,scenario_name,demand_profile,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
phase6_smoke_baseline_seed11,NODE_10060,baseline,11,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11,2026-05-20T04:39:52+00:00,2026-05-20T05:03:19+00:00,1407.28,True,600,0,0.1,11203052964,11,:11203052964_c0,1209133881#0,-781985788#0,6000,1675,5,5,5,True,0,0,0.0,0.0,49.76,100.0,0,6,3480,3480,1.0,1.0,16669,840,3462,,,,0.5807195371296819,0,0,438,4.590505253446052,169.68663366017304,50.46658921933086,47.278688524590166,347,3462,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_vehicle.rou.xml,32f52cc45c26ab6eda395157c1bfc795e88bdcc56a09182e588112d84c10a48e,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,9,9,0,0,9,180.0,42.857142857142854,0.0,0.0,0.0,False,1.8,partial_pet_coverage_from_local_watcher,1.8,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,49.76,,50.46658921933086,,,,1.8,1.8,0.0,0,0.0
phase6_smoke_baseline_seed11,NODE_122781,baseline,11,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11,2026-05-20T04:39:52+00:00,2026-05-20T05:03:19+00:00,1407.28,True,600,0,0.1,11203041635,4,:11203041635_c0,345046979#5,-345046979#5,6000,1457,5,5,5,True,0,0,0.0,0.0,44.79,100.0,0,6,3480,3480,1.0,1.0,16669,840,3462,,,,0.5807195371296819,0,0,557,4.922142837663172,161.18745746959084,45.269830659536545,45.34426229508197,389,3462,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_vehicle.rou.xml,32f52cc45c26ab6eda395157c1bfc795e88bdcc56a09182e588112d84c10a48e,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,38.46153846153846,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,44.79,,45.269830659536545,,,,1.0,1.0,0.0,0,0.0
phase6_smoke_baseline_seed11,NODE_14937,baseline,11,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11,2026-05-20T04:39:52+00:00,2026-05-20T05:03:19+00:00,1407.28,True,600,0,0.1,11139418723,2,:11139418723_c0,1201492610#1,183272312#3,6000,1089,5,5,5,True,0,0,0.0,0.0,25.72,88.3,0,6,3480,3480,1.0,1.0,16669,840,3462,,,,0.5807195371296819,0,0,483,7.937618322341637,106.50769128666875,25.999287786863626,20.934426229508198,536,3462,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_vehicle.rou.xml,32f52cc45c26ab6eda395157c1bfc795e88bdcc56a09182e588112d84c10a48e,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,26.31578947368421,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,25.72,,25.999287786863626,,,,1.0,1.0,0.0,0,0.0
phase6_smoke_baseline_seed11,NODE_5647,baseline,11,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11,2026-05-20T04:39:52+00:00,2026-05-20T05:03:19+00:00,1407.28,True,600,0,0.1,10974501473,4,:10974501473_c0,1461316096#1,333969025#1,6000,307,5,5,5,True,0,0,0.0,0.0,40.05,100.0,0,6,3480,3480,1.0,1.0,16669,840,3462,,,,0.5807195371296819,0,0,382,5.916576175088894,111.71914967318472,40.463667180277355,30.262295081967213,350,3462,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_vehicle.rou.xml,32f52cc45c26ab6eda395157c1bfc795e88bdcc56a09182e588112d84c10a48e,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,35.714285714285715,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,40.05,,40.463667180277355,,,,1.0,1.0,0.0,0,0.0
phase6_smoke_baseline_seed11,NODE_6342,baseline,11,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11,2026-05-20T04:39:52+00:00,2026-05-20T05:03:19+00:00,1407.28,True,600,0,0.1,11203041633,9,:11203041633_c0,-1499619438#1,1499619438#1,6000,1309,5,5,5,True,0,0,0.0,0.0,46.07,100.0,0,6,3480,3480,1.0,1.0,16669,840,3462,,,,0.5807195371296819,0,0,553,4.630628320334627,162.5822041952499,46.60347003154575,46.40983606557377,392,3462,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_vehicle.rou.xml,32f52cc45c26ab6eda395157c1bfc795e88bdcc56a09182e588112d84c10a48e,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,26.31578947368421,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,46.07,,46.60347003154575,,,,1.0,1.0,0.0,0,0.0
phase6_smoke_baseline_seed11,NODE_5938,baseline,11,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11,2026-05-20T04:39:52+00:00,2026-05-20T05:03:19+00:00,1407.28,True,600,0,0.1,5851251266,16,:5851251266_c0,1084408283#1,1084408283#2,6000,1105,5,5,5,True,0,0,0.0,0.0,19.67,90.3,0,6,3480,3480,1.0,1.0,16669,840,3462,,,,0.5807195371296819,0,0,289,11.019318994117244,91.49886838844739,19.83667076167076,7.114754098360656,138,3462,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_vehicle.rou.xml,32f52cc45c26ab6eda395157c1bfc795e88bdcc56a09182e588112d84c10a48e,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,9,5,1,3,6,120.0,75.0,0.0,0.0,2.0888888888888837,False,1.8,partial_pet_coverage_from_local_watcher,1.1,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,19.67,,19.83667076167076,,,,1.1,1.1,0.0,0,0.0
phase6_smoke_smart_seed11,NODE_10060,smart,11,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11,2026-05-20T05:03:20+00:00,2026-05-20T05:26:59+00:00,1418.621,True,600,0,0.1,11203052964,11,:11203052964_c0,1209133881#0,-781985788#0,6000,1817,5,5,5,True,0,0,0.0,0.0,51.09,100.0,1,6,3480,3480,1.0,1.0,16669,848,3463,,,,0.5820681254622178,0,0,444,4.210557151918473,173.54905749981606,51.893280977312386,51.47540983606557,359,3463,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_vehicle.rou.xml,32f52cc45c26ab6eda395157c1bfc795e88bdcc56a09182e588112d84c10a48e,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,9,9,0,0,9,180.0,42.857142857142854,0.0,0.0,0.0,False,1.8,partial_pet_coverage_from_local_watcher,1.8,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,51.09,,51.893280977312386,,,,1.8,1.8,0.0,1,5.0
phase6_smoke_smart_seed11,NODE_122781,smart,11,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11,2026-05-20T05:03:20+00:00,2026-05-20T05:26:59+00:00,1418.621,True,600,0,0.1,11203041635,4,:11203041635_c0,345046979#5,-345046979#5,6000,1501,5,5,5,True,0,0,0.0,0.0,46.58,100.0,1,6,3480,3480,1.0,1.0,16669,848,3463,,,,0.5820681254622178,0,0,566,4.642340597299654,163.7959955597661,47.10481927710844,48.85245901639344,393,3463,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_vehicle.rou.xml,32f52cc45c26ab6eda395157c1bfc795e88bdcc56a09182e588112d84c10a48e,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,38.46153846153846,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,46.58,,47.10481927710844,,,,1.0,1.0,0.0,1,5.0
phase6_smoke_smart_seed11,NODE_14937,smart,11,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11,2026-05-20T05:03:20+00:00,2026-05-20T05:26:59+00:00,1418.621,True,600,0,0.1,11139418723,2,:11139418723_c0,1201492610#1,183272312#3,6000,254,5,5,5,True,0,0,0.0,0.0,25.08,92.1,1,6,3480,3480,1.0,1.0,16669,848,3463,,,,0.5820681254622178,0,0,492,7.703968591189153,108.11622069712747,25.435195103289974,22.016393442622952,566,3463,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_vehicle.rou.xml,32f52cc45c26ab6eda395157c1bfc795e88bdcc56a09182e588112d84c10a48e,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,26.31578947368421,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,25.08,,25.435195103289974,,,,1.0,1.0,0.0,1,5.0
phase6_smoke_smart_seed11,NODE_5647,smart,11,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11,2026-05-20T05:03:20+00:00,2026-05-20T05:26:59+00:00,1418.621,True,600,0,0.1,10974501473,4,:10974501473_c0,1461316096#1,333969025#1,6000,306,5,5,5,True,0,0,0.0,0.0,39.42,100.0,1,6,3480,3480,1.0,1.0,16669,848,3463,,,,0.5820681254622178,0,0,374,6.186865889760698,110.29826175760635,39.68086340206185,28.278688524590162,335,3463,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_vehicle.rou.xml,32f52cc45c26ab6eda395157c1bfc795e88bdcc56a09182e588112d84c10a48e,/Users/iseclient1/sumo-simulation/outputs/final/debug/work/p1_p4_recovery_6/baseline/seed11/demand_pedestrian.rou.xml,a37fa3245655cc57bb40305aff83e6978b991f39624b4fe79f9d78599d2443b3,085024e4034c7e6b6f62a35c8e9556898073f1f47e4a35dce133acdfb7da3f06,125,1.0,/Users/iseclient1/sumo-simulation/result/active/nets/p1_p4_recovery_6.net.xml,from_nearest_road_edge_to_other_incident_edge,local_watcher,5,5,0,0,5,100.0,35.714285714285715,0.0,0.0,0.0,True,1.0,,1.0,main_realistic_stress,main_realistic_stress,0.0,0.0,0.0,0.0,0.0,39.42,,39.68086340206185,,,,1.0,1.0,0.0,1,5.0
