run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,signal_fix_9,LINK_10218,1.0,baseline,1420.579,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,45.21,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16428.0,854.0,3466.0,,,,0.5736720755209466,0.0,0.0,574.0,5.199446678594484,138.83229745326068,45.34586494688923,49.65573770491803,562.0,3466.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.21,,45.34586494688923,,,,1.0,1.0,0.0,0.0,0.0
smart_1,signal_fix_9,LINK_10218,1.0,smart,1390.905,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,44.67,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16428.0,853.0,3466.0,,,,0.5713229216513681,0.0,0.0,568.0,5.009509095518147,139.6495736994465,44.91645167320994,49.85245901639344,573.0,3466.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.67,,44.91645167320994,,,,1.0,1.0,0.0,1.0,5.0
baseline_2,signal_fix_9,LINK_10218,2.0,baseline,1430.476,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,44.2,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16743.0,825.0,3462.0,,,,0.5779353547657372,0.0,0.0,539.0,4.563531178938077,128.38957403237148,44.53568232662193,59.21311475409836,803.0,3462.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.2,,44.53568232662193,,,,1.0,1.0,0.0,0.0,0.0
smart_2,signal_fix_9,LINK_10218,2.0,smart,1415.047,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,43.76,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16743.0,831.0,3466.0,,,,0.5782833775612303,0.0,0.0,542.0,4.711896727593209,126.45964900739192,44.18525992896351,58.049180327868854,781.0,3466.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,43.76,,44.18525992896351,,,,1.0,1.0,0.0,1.0,5.0
baseline_3,signal_fix_9,LINK_10218,3.0,baseline,1381.429,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,49.38,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16585.0,952.0,3465.0,,,,0.5865924218036281,0.0,0.0,604.0,4.63511822217539,139.991359485604,49.90223400835743,66.42622950819673,595.0,3465.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,49.38,,49.90223400835743,,,,1.0,1.0,0.0,0.0,0.0
smart_3,signal_fix_9,LINK_10218,3.0,smart,1363.416,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,50.1,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16585.0,929.0,3465.0,,,,0.5830251881498238,0.0,0.0,610.0,4.507256515143775,136.58502418435754,50.58655423178091,69.65573770491804,606.0,3465.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.1,,50.58655423178091,,,,1.0,1.0,0.0,1.0,5.0
baseline_4,signal_fix_9,LINK_10218,4.0,baseline,1406.626,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,45.92,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16555.0,830.0,3468.0,,,,0.5738460869186932,0.0,0.0,562.0,3.8262591155760775,152.1942581308462,46.20261547022816,69.80327868852459,874.0,3468.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.92,,46.20261547022816,,,,1.0,1.0,0.0,0.0,0.0
smart_4,signal_fix_9,LINK_10218,4.0,smart,1423.587,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,43.66,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16555.0,867.0,3470.0,,,,0.5752381781006656,0.0,0.0,592.0,4.651896548008998,138.2545934638746,43.9292675679691,62.24590163934426,815.0,3470.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,43.66,,43.9292675679691,,,,1.0,1.0,0.0,1.0,5.0
baseline_5,signal_fix_9,LINK_10218,5.0,baseline,1371.053,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,39.89,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16582.0,893.0,3465.0,,,,0.5774133205724975,0.0,0.0,510.0,6.336838441690155,124.13046338116835,40.30728178368121,36.40983606557377,412.0,3465.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.89,,40.30728178368121,,,,1.0,1.0,0.0,0.0,0.0
smart_5,signal_fix_9,LINK_10218,5.0,smart,1396.749,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,41.55,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16582.0,864.0,3464.0,,,,0.577717840518554,0.0,0.0,467.0,6.531806055607651,120.0180311875462,41.96717237771384,34.57377049180328,371.0,3464.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41.55,,41.96717237771384,,,,1.0,1.0,0.0,1.0,5.0
baseline_6,signal_fix_9,LINK_10218,6.0,baseline,1384.738,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,30.16,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16569.0,909.0,3470.0,,,,0.5782398747117936,0.0,0.0,624.0,6.009783095944867,121.66617842069026,30.15814121037464,37.49180327868852,799.0,3470.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.16,,30.15814121037464,,,,1.0,1.0,0.0,0.0,0.0
smart_6,signal_fix_9,LINK_10218,6.0,smart,1415.432,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,33.81,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16569.0,883.0,3471.0,,,,0.5763257493365815,0.0,0.0,544.0,6.313243459125209,125.83242610995084,33.930217748562036,35.36065573770492,672.0,3471.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,33.81,,33.930217748562036,,,,1.0,1.0,0.0,1.0,5.0
baseline_7,signal_fix_9,LINK_10218,7.0,baseline,1411.129,600.0,0.0,0.1,2.0,6000.0,188.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,36.63,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16562.0,894.0,3465.0,,,,0.5753251837995389,0.0,0.0,548.0,5.645391065509543,127.8495889248043,36.9431679389313,40.032786885245905,702.0,3465.0,173.0,1.0,15.0,15.0,0.0,0.0,15.0,100.0,55.55555555555556,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.63,,36.9431679389313,,,,1.0,1.0,0.0,0.0,0.0
