run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,signal_fix_9,LINK_249048,1.0,baseline,1420.579,600.0,0.0,0.1,2.0,6000.0,346.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,18.38,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16428.0,854.0,3466.0,,,,0.5736720755209466,0.0,0.0,636.0,10.242761765218702,107.55233374643178,18.551387808041504,15.9672131147541,520.0,3466.0,173.0,1.0,10.0,10.0,0.0,0.0,10.0,100.0,111.11111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.38,,18.551387808041504,,,,1.0,1.0,0.0,0.0,0.0
smart_1,signal_fix_9,LINK_249048,1.0,smart,1390.905,600.0,0.0,0.1,2.0,6000.0,347.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,19.47,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16428.0,853.0,3466.0,,,,0.5713229216513681,0.0,0.0,637.0,9.891173577314971,111.80672990844832,19.63230961298377,17.42622950819672,520.0,3466.0,173.0,1.0,10.0,10.0,0.0,0.0,10.0,100.0,111.11111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.47,,19.63230961298377,,,,1.0,1.0,0.0,1.0,5.0
baseline_2,signal_fix_9,LINK_249048,2.0,baseline,1430.476,600.0,0.0,0.1,2.0,6000.0,346.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,39.09,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16743.0,825.0,3462.0,,,,0.5779353547657372,0.0,0.0,586.0,6.450404674607202,150.30700223049502,39.58919218000738,44.42622950819672,652.0,3462.0,173.0,1.0,10.0,10.0,0.0,0.0,10.0,100.0,111.11111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.09,,39.58919218000738,,,,1.0,1.0,0.0,0.0,0.0
smart_2,signal_fix_9,LINK_249048,2.0,smart,1415.047,600.0,0.0,0.1,2.0,6000.0,347.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,39.58,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16743.0,831.0,3466.0,,,,0.5782833775612303,0.0,0.0,588.0,6.464038970770181,150.40134976741544,40.107163742690055,45.91803278688525,612.0,3466.0,173.0,1.0,10.0,10.0,0.0,0.0,10.0,100.0,111.11111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.58,,40.107163742690055,,,,1.0,1.0,0.0,1.0,5.0
baseline_3,signal_fix_9,LINK_249048,3.0,baseline,1381.429,600.0,0.0,0.1,2.0,6000.0,346.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,41.02,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16585.0,952.0,3465.0,,,,0.5865924218036281,0.0,0.0,631.0,7.837663986805065,148.70561866278925,41.424165410295075,37.14754098360656,379.0,3465.0,173.0,1.0,10.0,10.0,0.0,0.0,10.0,100.0,111.11111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41.02,,41.424165410295075,,,,1.0,1.0,0.0,0.0,0.0
smart_3,signal_fix_9,LINK_249048,3.0,smart,1363.416,600.0,0.0,0.1,2.0,6000.0,347.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,39.19,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16585.0,929.0,3465.0,,,,0.5830251881498238,0.0,0.0,606.0,7.79357422347515,144.23875283820118,39.68632034632034,37.31147540983606,438.0,3465.0,173.0,1.0,10.0,10.0,0.0,0.0,10.0,100.0,111.11111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.19,,39.68632034632034,,,,1.0,1.0,0.0,1.0,5.0
baseline_4,signal_fix_9,LINK_249048,4.0,baseline,1406.626,600.0,0.0,0.1,2.0,6000.0,346.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,44.76,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16555.0,830.0,3468.0,,,,0.5738460869186932,0.0,0.0,638.0,5.284119907962775,169.75983077650798,45.38146687697161,59.50819672131148,649.0,3468.0,173.0,1.0,10.0,10.0,0.0,0.0,10.0,100.0,111.11111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.76,,45.38146687697161,,,,1.0,1.0,0.0,0.0,0.0
smart_4,signal_fix_9,LINK_249048,4.0,smart,1423.587,600.0,0.0,0.1,2.0,6000.0,347.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,36.31,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16555.0,867.0,3470.0,,,,0.5752381781006656,0.0,0.0,627.0,7.307081922348582,152.5226547453143,36.895188805827104,39.55737704918032,535.0,3470.0,173.0,1.0,10.0,10.0,0.0,0.0,10.0,100.0,111.11111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.31,,36.895188805827104,,,,1.0,1.0,0.0,1.0,5.0
baseline_5,signal_fix_9,LINK_249048,5.0,baseline,1371.053,600.0,0.0,0.1,2.0,6000.0,346.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,35.44,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16582.0,893.0,3465.0,,,,0.5774133205724975,0.0,0.0,595.0,8.705864054034283,124.78810301804737,35.9610046728972,31.19672131147541,356.0,3465.0,173.0,1.0,10.0,2.0,0.0,8.0,2.0,20.0,22.22222222222222,1.0999999999999943,1.0999999999999943,5.099999999999994,1.0,0.2,0.0,0.0,0.0,0.0,0.0,35.44,,35.9610046728972,,,,0.2,0.2,0.0,0.0,0.0
smart_5,signal_fix_9,LINK_249048,5.0,smart,1396.749,600.0,0.0,0.1,2.0,6000.0,347.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,36.15,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16582.0,864.0,3464.0,,,,0.577717840518554,0.0,0.0,564.0,9.339106037897723,118.9386763037782,36.54112174375332,27.147540983606557,299.0,3464.0,173.0,1.0,10.0,2.0,0.0,8.0,2.0,20.0,22.22222222222222,1.0999999999999943,1.0999999999999943,5.099999999999994,1.0,0.2,0.0,0.0,0.0,0.0,0.0,36.15,,36.54112174375332,,,,0.2,0.2,0.0,1.0,5.0
