run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,signal_fix_9,NODE_10262,1.0,baseline,1420.579,600.0,0.0,0.1,4.0,6000.0,1433.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,19.99,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16428.0,854.0,3466.0,,,,0.5736720755209466,0.0,0.0,600.0,8.037314534098302,121.23022434498688,20.193225006885157,17.901639344262296,508.0,3466.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,38.46153846153846,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.99,,20.193225006885157,,,,1.0,1.0,0.0,0.0,0.0
smart_1,signal_fix_9,NODE_10262,1.0,smart,1390.905,600.0,0.0,0.1,4.0,6000.0,1500.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,19.15,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16428.0,853.0,3466.0,,,,0.5713229216513681,0.0,0.0,605.0,7.934539885710997,122.99406102717786,19.429343308395676,17.491803278688526,499.0,3466.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,38.46153846153846,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.15,,19.429343308395676,,,,1.0,1.0,0.0,1.0,5.0
baseline_2,signal_fix_9,NODE_10262,2.0,baseline,1430.476,600.0,0.0,0.1,4.0,6000.0,1433.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,18.67,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16743.0,825.0,3462.0,,,,0.5779353547657372,0.0,0.0,579.0,8.284191288695988,140.76562142688417,19.3221978021978,15.21311475409836,411.0,3462.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,38.46153846153846,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.67,,19.3221978021978,,,,1.0,1.0,0.0,0.0,0.0
smart_2,signal_fix_9,NODE_10262,2.0,smart,1415.047,600.0,0.0,0.1,4.0,6000.0,1500.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,20.62,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16743.0,831.0,3466.0,,,,0.5782833775612303,0.0,0.0,578.0,8.176536560169035,144.1273843530039,21.08363076923077,16.475409836065573,388.0,3466.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,38.46153846153846,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.62,,21.08363076923077,,,,1.0,1.0,0.0,1.0,5.0
baseline_3,signal_fix_9,NODE_10262,3.0,baseline,1381.429,600.0,0.0,0.1,4.0,6000.0,1430.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,29.84,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16585.0,952.0,3465.0,,,,0.5865924218036281,0.0,0.0,580.0,6.449990180141571,134.35814307684657,30.2764705882353,28.83606557377049,476.0,3465.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,38.46153846153846,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.84,,30.2764705882353,,,,1.0,1.0,0.0,0.0,0.0
smart_3,signal_fix_9,NODE_10262,3.0,smart,1363.416,600.0,0.0,0.1,4.0,6000.0,1500.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.01,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16585.0,929.0,3465.0,,,,0.5830251881498238,0.0,0.0,587.0,7.041027511430165,129.31116143065384,25.628777959629023,24.59016393442623,502.0,3465.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,38.46153846153846,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.01,,25.628777959629023,,,,1.0,1.0,0.0,1.0,5.0
baseline_4,signal_fix_9,NODE_10262,4.0,baseline,1406.626,600.0,0.0,0.1,4.0,6000.0,1433.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,15.94,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16555.0,830.0,3468.0,,,,0.5738460869186932,0.0,0.0,615.0,8.188457334647039,122.2105693223858,16.41253248628357,15.852459016393444,502.0,3468.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,38.46153846153846,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.94,,16.41253248628357,,,,1.0,1.0,0.0,0.0,0.0
smart_4,signal_fix_9,NODE_10262,4.0,smart,1423.587,600.0,0.0,0.1,4.0,6000.0,1500.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,16.06,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16555.0,867.0,3470.0,,,,0.5752381781006656,0.0,0.0,630.0,8.3497607104132,126.80081190035813,16.91372836608976,16.901639344262296,446.0,3470.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,38.46153846153846,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.06,,16.91372836608976,,,,1.0,1.0,0.0,1.0,5.0
baseline_5,signal_fix_9,NODE_10262,5.0,baseline,1371.053,600.0,0.0,0.1,4.0,6000.0,1433.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,23.02,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16582.0,893.0,3465.0,,,,0.5774133205724975,0.0,0.0,506.0,9.622277944423406,101.75051715577293,23.306499636891797,14.852459016393444,236.0,3465.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,38.46153846153846,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.02,,23.306499636891797,,,,1.0,1.0,0.0,0.0,0.0
smart_5,signal_fix_9,NODE_10262,5.0,smart,1396.749,600.0,0.0,0.1,4.0,6000.0,1500.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,21.99,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16582.0,864.0,3464.0,,,,0.577717840518554,0.0,0.0,509.0,8.455010645171088,109.67316229332894,22.248196721311476,17.049180327868854,285.0,3464.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,38.46153846153846,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.99,,22.248196721311476,,,,1.0,1.0,0.0,1.0,5.0
