run_label,group,crosswalk_id,seed,scenario,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,pedestrian_crossing_count,expected_ped_repeat_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_delay_max,extension_count,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_arrived_vehicles,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_avg_delay_sec,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_vehicle_count,local_500m_mean_speed,local_500m_mean_time_loss,local_500m_avg_delay_sec,local_500m_queue_proxy,local_500m_stop_count,total_vehicle_arrivals,surrounding_lane_count,vehicle_bbox_coverage,pet_event_count,very_risky_crossing_count,risky_crossing_count,safe_crossing_count,low_pet_event_count,low_pet_per_100_crossings,low_pet_per_100_conflict_candidates,pet_min,pet_p10,pet_mean,pet_coverage_ratio,accident_risk_estimate,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,veh_avg_delay_sec,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length,safety_risk_score,accident_expected_value,elderly_incomplete_crossings,pedestrian_green_extension_count,total_extension_sec
baseline_1,signal_fix_9,NODE_5681,1.0,baseline,1420.579,600.0,0.0,0.1,2.0,6000.0,1072.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,44.93,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16428.0,854.0,3466.0,,,,0.5736720755209466,0.0,0.0,578.0,5.3023848371676525,138.385834293459,45.06688555347092,49.868852459016395,570.0,3466.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.93,,45.06688555347092,,,,1.0,1.0,0.0,0.0,0.0
smart_1,signal_fix_9,NODE_5681,1.0,smart,1390.905,600.0,0.0,0.1,2.0,6000.0,227.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,44.42,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16428.0,853.0,3466.0,,,,0.5713229216513681,0.0,0.0,574.0,5.099958457600343,139.20807661876114,44.64531855955679,50.16393442622951,583.0,3466.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.42,,44.64531855955679,,,,1.0,1.0,0.0,1.0,5.0
baseline_2,signal_fix_9,NODE_5681,2.0,baseline,1430.476,600.0,0.0,0.1,2.0,6000.0,1072.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,44.45,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16743.0,825.0,3462.0,,,,0.5779353547657372,0.0,0.0,560.0,4.442485228576962,131.448300805449,44.81211797066015,63.131147540983605,834.0,3462.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.45,,44.81211797066015,,,,1.0,1.0,0.0,0.0,0.0
smart_2,signal_fix_9,NODE_5681,2.0,smart,1415.047,600.0,0.0,0.1,2.0,6000.0,227.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,43.75,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16743.0,831.0,3466.0,,,,0.5782833775612303,0.0,0.0,562.0,4.602759796490557,129.50807239033324,44.19449099937928,61.40983606557377,814.0,3466.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,43.75,,44.19449099937928,,,,1.0,1.0,0.0,1.0,5.0
baseline_3,signal_fix_9,NODE_5681,3.0,baseline,1381.429,600.0,0.0,0.1,2.0,6000.0,1072.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,49.19,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16585.0,952.0,3465.0,,,,0.5865924218036281,0.0,0.0,607.0,4.7357610092094715,139.78732338664858,49.673210014351774,66.63934426229508,601.0,3465.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,49.19,,49.673210014351774,,,,1.0,1.0,0.0,0.0,0.0
smart_3,signal_fix_9,NODE_5681,3.0,smart,1363.416,600.0,0.0,0.1,2.0,6000.0,227.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,49.96,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16585.0,929.0,3465.0,,,,0.5830251881498238,0.0,0.0,612.0,4.575707059398039,136.46610349077642,50.41674347158218,69.88524590163935,612.0,3465.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,49.96,,50.41674347158218,,,,1.0,1.0,0.0,1.0,5.0
baseline_4,signal_fix_9,NODE_5681,4.0,baseline,1406.626,600.0,0.0,0.1,2.0,6000.0,1072.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,47.59,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16555.0,830.0,3468.0,,,,0.5738460869186932,0.0,0.0,583.0,3.645681441949176,157.9091273282173,47.87640025990903,77.32786885245902,905.0,3468.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,47.59,,47.87640025990903,,,,1.0,1.0,0.0,0.0,0.0
smart_4,signal_fix_9,NODE_5681,4.0,smart,1423.587,600.0,0.0,0.1,2.0,6000.0,227.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,44.31,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16555.0,867.0,3470.0,,,,0.5752381781006656,0.0,0.0,604.0,4.577437439028419,141.5158300106449,44.5960503720664,65.65573770491804,838.0,3470.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.31,,44.5960503720664,,,,1.0,1.0,0.0,1.0,5.0
baseline_5,signal_fix_9,NODE_5681,5.0,baseline,1371.053,600.0,0.0,0.1,2.0,6000.0,1072.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,39.64,100.0,0.0,9.0,3480.0,3480.0,1.0,1.0,16582.0,893.0,3465.0,,,,0.5774133205724975,0.0,0.0,513.0,6.438318651720014,123.7841782957238,40.10970691676437,36.60655737704918,417.0,3465.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.64,,40.10970691676437,,,,1.0,1.0,0.0,0.0,0.0
smart_5,signal_fix_9,NODE_5681,5.0,smart,1396.749,600.0,0.0,0.1,2.0,6000.0,227.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,41.22,100.0,1.0,9.0,3480.0,3480.0,1.0,1.0,16582.0,864.0,3464.0,,,,0.577717840518554,0.0,0.0,469.0,6.620347392078607,119.634046468914,41.67339022498061,34.81967213114754,378.0,3464.0,173.0,1.0,5.0,5.0,0.0,0.0,5.0,100.0,26.31578947368421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41.22,,41.67339022498061,,,,1.0,1.0,0.0,1.0,5.0
