group,crosswalk_id,scenario,seed,pedestrian_crossing_count,pedestrian_clearance_failure_count,unfinished_crossing_count,ped_wait_time_mean,ped_wait_time_max,veh_delay_mean,veh_avg_delay_sec,network_avg_delay_sec,network_arrived_vehicles,local_500m_avg_delay_sec,local_500m_vehicle_count,local_500m_mean_speed,total_vehicle_arrivals,extension_count,total_extension_sec,pedestrian_green_extension_count,pet_event_count,low_pet_event_count,low_pet_per_100_crossings,pet_min,pet_p10,pet_mean,very_risky_crossing_count,risky_crossing_count,safety_risk_score,accident_risk_estimate,accident_expected_value,elderly_incomplete_crossings,run_label,elapsed_sec,sim_duration,warmup,step_length,ped_link_index,step_count,ped_crossing_presence_steps,ped_crossing_person_count,expected_ped_repeat_count,veh_delay_max,generated_vehicle_count,vehicle_route_count,unique_vehicle_route_count,duplicate_factor,unique_vehicle_route_ratio,used_vehicle_edges,network_departed_vehicles,network_mean_travel_time,network_mean_time_loss,network_vehicle_edge_coverage_ratio,network_teleport_count,network_collision_count,local_500m_mean_time_loss,local_500m_queue_proxy,local_500m_stop_count,surrounding_lane_count,vehicle_bbox_coverage,safe_crossing_count,low_pet_per_100_conflict_candidates,pet_coverage_ratio,average_pedestrian_wait_time,pedestrian_waiting_time_mean,pedestrian_waiting_time,pedestrian_waiting_time_max,max_pedestrian_wait_time,avg_vehicle_delay_sec,surrounding_road_delay_sec,vehicle_delay_cost,avg_queue_length,max_queue_length
current_main_12,LINK_120139,baseline,1.0,15.0,0.0,0.0,,,13.13,13.13,,831.0,13.42601530311948,347.0,13.257881886860506,3468.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_1,1484.146,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,89.1,12.0,3480.0,3480.0,1.0,1.0,16427.0,3468.0,,,0.5701483447165789,0.0,0.0,50.62875985526055,6.721311475409836,149.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,13.42601530311948,,,
current_main_12,LINK_120139,smart,1.0,15.0,0.0,0.0,,,11.78,11.78,,845.0,11.953836858006042,349.0,13.362895797628864,3467.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_1,1437.914,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,92.5,12.0,3480.0,3480.0,1.0,1.0,16427.0,3467.0,,,0.5727585156827772,0.0,0.0,46.81653173849084,6.344262295081967,148.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,11.953836858006042,,,
current_main_12,LINK_120139,baseline,2.0,15.0,0.0,0.0,,,11.55,11.55,,802.0,11.594889162561577,337.0,13.865823055919623,3462.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0222222222222217,18.0,0.0,1.2,1.2,1.2,0.0,baseline_2,1466.22,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,82.3,12.0,3480.0,3480.0,1.0,1.0,16742.0,3462.0,,,0.5761952407882717,0.0,0.0,45.18268200754808,5.508196721311475,134.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,11.594889162561577,,,
current_main_12,LINK_120139,smart,2.0,15.0,0.0,0.0,,,11.24,11.24,,777.0,11.194523076923076,334.0,13.5992466552735,3459.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_2,1445.385,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,83.6,12.0,3480.0,3480.0,1.0,1.0,16742.0,3459.0,,,0.5743246182624961,0.0,0.0,42.13513280536215,5.770491803278689,144.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,11.194523076923076,,,
current_main_12,LINK_120139,baseline,3.0,15.0,0.0,0.0,,,9.69,9.69,,935.0,9.787405247813412,349.0,13.6833503906045,3468.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_3,1446.404,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,80.9,12.0,3480.0,3480.0,1.0,1.0,16585.0,3468.0,,,0.5829381824509505,0.0,0.0,42.16807941467489,5.229508196721311,135.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,9.787405247813412,,,
current_main_12,LINK_120139,smart,3.0,15.0,0.0,0.0,,,10.03,10.03,,923.0,10.288743299583084,352.0,13.589691294152214,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_3,1408.632,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,71.2,12.0,3480.0,3480.0,1.0,1.0,16585.0,3466.0,,,0.5830686909992604,0.0,0.0,40.929621718191285,5.639344262295082,133.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,10.288743299583084,,,
current_main_12,LINK_120139,baseline,4.0,15.0,0.0,0.0,,,10.21,10.21,,887.0,10.57900786448881,344.0,13.953371641788904,3466.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_4,1483.252,600.0,0.0,0.1,11.0,6000.0,864.0,15.0,5.0,81.3,12.0,3480.0,3480.0,1.0,1.0,16555.0,3466.0,,,0.577239309174751,0.0,0.0,44.67715019279593,5.524590163934426,135.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,10.57900786448881,,,
current_main_12,LINK_120139,smart,4.0,15.0,0.0,0.0,,,12.79,12.79,,857.0,12.9852140077821,346.0,12.530283218700763,3465.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_4,1455.59,600.0,0.0,0.1,11.0,6000.0,473.0,15.0,5.0,93.6,12.0,3480.0,3480.0,1.0,1.0,16555.0,3465.0,,,0.5738895897681298,0.0,0.0,47.76523613502012,7.836065573770492,172.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,12.9852140077821,,,
current_main_12,LINK_120139,baseline,5.0,15.0,0.0,0.0,,,10.44,10.44,,868.0,10.686233611442193,364.0,13.75704873396462,3464.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,baseline_5,1464.844,600.0,0.0,0.1,11.0,6000.0,862.0,15.0,5.0,74.6,12.0,3480.0,3480.0,1.0,1.0,16582.0,3464.0,,,0.5741506068647496,0.0,0.0,46.51569296870324,5.524590163934426,148.0,167.0,1.0,0.0,138.46153846153845,1.2,,,,,,,10.686233611442193,,,
current_main_12,LINK_120139,smart,5.0,15.0,0.0,0.0,,,10.7,10.7,,855.0,11.014326978625071,363.0,13.30832908554481,3464.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,smart_5,1435.347,600.0,0.0,0.1,11.0,6000.0,427.0,15.0,5.0,99.9,12.0,3480.0,3480.0,1.0,1.0,16582.0,3464.0,,,0.5747596467568625,0.0,0.0,45.917672338866176,5.967213114754099,148.0,167.0,1.0,0.0,123.07692307692308,1.067,,,,,,,11.014326978625071,,,
