crosswalk_id,group,seed,pedestrian_crossing_count_baseline,pedestrian_clearance_failure_count_baseline,unfinished_crossing_count_baseline,ped_wait_time_mean_baseline,ped_wait_time_max_baseline,veh_delay_mean_baseline,veh_avg_delay_sec_baseline,network_avg_delay_sec_baseline,network_arrived_vehicles_baseline,local_500m_avg_delay_sec_baseline,local_500m_vehicle_count_baseline,local_500m_mean_speed_baseline,total_vehicle_arrivals_baseline,extension_count_baseline,total_extension_sec_baseline,pedestrian_green_extension_count_baseline,pet_event_count_baseline,low_pet_event_count_baseline,low_pet_per_100_crossings_baseline,pet_min_baseline,pet_p10_baseline,pet_mean_baseline,very_risky_crossing_count_baseline,risky_crossing_count_baseline,safety_risk_score_baseline,accident_risk_estimate_baseline,accident_expected_value_baseline,elderly_incomplete_crossings_baseline,pedestrian_crossing_count_smart,pedestrian_clearance_failure_count_smart,unfinished_crossing_count_smart,ped_wait_time_mean_smart,ped_wait_time_max_smart,veh_delay_mean_smart,veh_avg_delay_sec_smart,network_avg_delay_sec_smart,network_arrived_vehicles_smart,local_500m_avg_delay_sec_smart,local_500m_vehicle_count_smart,local_500m_mean_speed_smart,total_vehicle_arrivals_smart,extension_count_smart,total_extension_sec_smart,pedestrian_green_extension_count_smart,pet_event_count_smart,low_pet_event_count_smart,low_pet_per_100_crossings_smart,pet_min_smart,pet_p10_smart,pet_mean_smart,very_risky_crossing_count_smart,risky_crossing_count_smart,safety_risk_score_smart,accident_risk_estimate_smart,accident_expected_value_smart,elderly_incomplete_crossings_smart,delta_pedestrian_crossing_count,delta_pedestrian_clearance_failure_count,delta_unfinished_crossing_count,delta_ped_wait_time_mean,delta_ped_wait_time_max,delta_veh_delay_mean,delta_veh_avg_delay_sec,delta_network_avg_delay_sec,delta_network_arrived_vehicles,delta_local_500m_avg_delay_sec,delta_local_500m_vehicle_count,delta_local_500m_mean_speed,delta_total_vehicle_arrivals,delta_extension_count,delta_total_extension_sec,delta_pedestrian_green_extension_count,delta_pet_event_count,delta_low_pet_event_count,delta_low_pet_per_100_crossings,delta_pet_min,delta_pet_p10,delta_pet_mean,delta_very_risky_crossing_count,delta_risky_crossing_count,delta_safety_risk_score,delta_accident_risk_estimate,delta_accident_expected_value,delta_elderly_incomplete_crossings
LINK_120139,current_main_12,1.0,15.0,0.0,0.0,,,13.13,13.13,,831.0,13.42601530311948,347.0,13.257881886860506,3468.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,11.78,11.78,,845.0,11.953836858006042,349.0,13.362895797628864,3467.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-1.3500000000000014,-1.3500000000000014,,14.0,-1.4721784451134372,2.0,0.10501391076835809,-1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,2.0,15.0,0.0,0.0,,,11.55,11.55,,802.0,11.594889162561577,337.0,13.865823055919623,3462.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0222222222222217,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,11.24,11.24,,777.0,11.194523076923076,334.0,13.5992466552735,3459.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-0.3100000000000005,-0.3100000000000005,,-25.0,-0.40036608563850073,-3.0,-0.2665764006461231,-3.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,-0.0222222222222217,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,3.0,15.0,0.0,0.0,,,9.69,9.69,,935.0,9.787405247813412,349.0,13.6833503906045,3468.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,10.03,10.03,,923.0,10.288743299583084,352.0,13.589691294152214,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,0.33999999999999986,0.33999999999999986,,-12.0,0.5013380517696717,3.0,-0.09365909645228676,-2.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,4.0,15.0,0.0,0.0,,,10.21,10.21,,887.0,10.57900786448881,344.0,13.953371641788904,3466.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,12.79,12.79,,857.0,12.9852140077821,346.0,12.530283218700763,3465.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,2.5799999999999983,2.5799999999999983,,-30.0,2.4062061432932893,2.0,-1.4230884230881404,-1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,5.0,15.0,0.0,0.0,,,10.44,10.44,,868.0,10.686233611442193,364.0,13.75704873396462,3464.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,10.7,10.7,,855.0,11.014326978625071,363.0,13.30832908554481,3464.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,0.2599999999999998,0.2599999999999998,,-13.0,0.32809336718287874,-1.0,-0.44871964841980905,0.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,6.0,15.0,0.0,0.0,,,10.47,10.47,,906.0,10.576543942992876,356.0,12.994035038643585,3471.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,10.39,10.39,,896.0,10.486511342734518,344.0,13.184586833318193,3472.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-0.08000000000000007,-0.08000000000000007,,-10.0,-0.09003260025835758,-12.0,0.19055179467460803,1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,7.0,15.0,0.0,0.0,,,10.35,10.35,,870.0,10.059532828282828,346.0,13.729519136100986,3467.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,9.28,9.28,,877.0,9.253047989623866,343.0,13.552240370063846,3466.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-1.0700000000000003,-1.0700000000000003,,7.0,-0.806484838658962,-3.0,-0.17727876603714066,-1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,8.0,15.0,0.0,0.0,,,13.79,13.79,,894.0,14.0064,346.0,12.508722755596342,3464.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,11.61,11.61,,878.0,11.579938271604938,340.0,13.668970127586762,3463.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-2.1799999999999997,-2.1799999999999997,,-16.0,-2.4264617283950614,-6.0,1.1602473719904207,-1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,9.0,15.0,0.0,0.0,,,12.64,12.64,,929.0,12.849188214070956,334.0,12.910209833966192,3467.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,11.12,11.12,,933.0,11.374865991661702,348.0,13.154673225138708,3469.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-1.5200000000000014,-1.5200000000000014,,4.0,-1.4743222224092545,14.0,0.24446339117251625,2.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
LINK_120139,current_main_12,10.0,15.0,0.0,0.0,,,15.94,15.94,,799.0,15.521958456973294,366.0,12.141791773751962,3463.0,0.0,0.0,0.0,18.0,18.0,120.0,0.0,0.0,0.0,18.0,0.0,1.2,1.2,1.2,0.0,15.0,0.0,0.0,,,14.58,14.58,,799.0,14.81018981018981,365.0,12.548688623862637,3464.0,1.0,5.0,1.0,16.0,16.0,106.66666666666669,0.0,0.0,0.0,16.0,0.0,1.0666666666666669,1.0666666666666669,1.0666666666666669,0.0,0.0,0.0,0.0,,,-1.3599999999999994,-1.3599999999999994,,0.0,-0.7117686467834847,-1.0,0.4068968501106749,1.0,1.0,5.0,1.0,-2.0,-2.0,-13.333333333333314,0.0,0.0,0.0,-2.0,0.0,-0.13333333333333308,-0.13333333333333308,-0.13333333333333308,0.0
