crosswalk_id,original_crossing_edge_id,final_crossing_edge_id,tls_id_used,ped_link_index,route_from_edge,route_to_edge,route_validation_ok,route_validation_reason,route_method,mapping_status,mapping_action,is_top7,is_selected_for_final_sim
NODE_10335,:7068953107_c0,:7068953107_c0,7068953107,12,-671981404#18,621513149#2,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_8369,:3849142978_c1,:1936511299_c0,1936511299,11,519097166#1,519097168#1,True,ok,crossing_walkarea_forward,FIXED_CROSSING_OVERRIDE,FIXED_CROSSING_OVERRIDE,True,True
NODE_167173,:12234253870_c0,:12234253870_c0,12234253870,12,671981404#18,773066533#2,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
LINK_239754,:5593950698_c0,:5593950698_c0,5593950698,1,585341916#3,585341916#4,True,ok,crossing_walkarea_forward,READY,AUTO,True,True
NODE_5831,:7195225083_c0,:5161705573_c0,5161705573,2,585341916#4,218926711#4,True,ok,crossing_walkarea_forward,FIXED_CROSSING_OVERRIDE,FIXED_CROSSING_OVERRIDE,True,True
NODE_5846,:5593950705_c0,:7195225083_c0,7195225083,0,218926711#2,218926711#3,True,ok,crossing_walkarea_forward,FIXED_CROSSING_OVERRIDE,FIXED_CROSSING_OVERRIDE,True,True
NODE_10376,:436839905_c0,:436839905_c0,436839905,4,1110186416#14,183272312#0,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_10377,:11139418708_c0,:11139418708_c0,11139418708,2,,,False,no_pedestrian_path,none,EXCLUDE_NO_VALID_PED_ROUTE,AUTO,False,False
NODE_150723,:11139418709_c0,:11139418709_c0,11139418709,3,,,False,no_pedestrian_path,none,EXCLUDE_NO_VALID_PED_ROUTE,AUTO,False,False
NODE_125895,:3849082644_c1,:1936511299_c1,1936511299,12,-519097168#1,-519097168#0,True,ok,crossing_walkarea_forward,FIXED_CROSSING_OVERRIDE,FIXED_CROSSING_OVERRIDE,True,True
NODE_10381,:3873291328_c0,:3873291328_c0,3873291328,11,842507784,-1339655670#1,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
LINK_120139,:1936511299_c0,:1936511299_c0,1936511299,11,519097166#1,519097168#1,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_8426,:3849142980_c0,:3849142980_c0,3849142980,16,920025287#2,920025287#3,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_74388,:436883130_c0,:436883130_c0,436883130,16,1206220504#1,-516163750#1,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
LINK_212169,:11449716078_c1,:11449716078_c1,11449716078,6,619147739#3,619147739#4,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_6082,:11449716078_c0,:11449716078_c0,11449716078,5,1233842659,-1233842659,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_10273,:3846533030_c1,:3846533030_c1,3846533030,12,-381452118#0,381452118#0,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_8452,:3846603653_c0,:3846603653_c0,3846603653,2,381458592#4,-381458592#4,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_10060,:11203052955_c0,:11203052955_c0,11203052955,2,,,False,no_pedestrian_path,none,EXCLUDE_NO_VALID_PED_ROUTE,AUTO,False,False
NODE_6342,:3861498273_c0,:3861498273_c0,3861498273,0,-301285277#1,301285277#1,True,ok,crossing_walkarea_forward,FALLBACK_LI_ZERO,FALLBACK_LI_ZERO,False,False
NODE_5647,:10974501473_c0,:10974501473_c0,10974501473,4,1461316096#1,333969025#1,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_122781,:11203041633_c0,:11203041633_c0,11203041633,9,-1499619438#1,1499619438#1,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_5938,:11414286332_c0,:5851251266_c0,5851251266,16,1084408283#1,1084408283#2,True,ok,crossing_walkarea_forward,FIXED_ROUTE_PAIR,FIXED_ROUTE_PAIR,False,False
LINK_249048,:5161705573_c0,:5161705573_c0,5161705573,2,585341916#4,218926711#4,True,ok,crossing_walkarea_forward,READY,AUTO,False,False
NODE_5837,:13721232721_c0,:5161705573_c0,5161705573,2,585341916#4,218926711#4,True,ok,crossing_walkarea_forward,FIXED_ROUTE_PAIR,FIXED_ROUTE_PAIR,False,False
LINK_10218,:5961230425_c0,:11139418716_c0,11139418716,1,,,False,no_pedestrian_path,none,EXCLUDE_NO_VALID_PED_ROUTE,FIXED_ROUTE_PAIR,False,False
NODE_9634,:10974501535_c0,:10974501535_c0,10974501535,1,,,False,path_missing_crossing_edge,none,EXCLUDE_NO_VALID_PED_ROUTE,AUTO,False,False
LINK_194891,:11203052965_c0,:11203052965_c0,11203052965,11,781985788#1,-781985788#1,True,ok,crossing_walkarea_forward,READY,AUTO,True,True
NODE_10262,:11203041635_c0,:11203041635_c0,11203041635,4,345046979#5,-345046979#5,True,ok,crossing_walkarea_forward,READY,AUTO,True,True
