횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율
10350,126.9925284699649,37.5682673073767,입정동,2.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
10352,126.99531298636944,37.568490582338555,산림동,2.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
10353,126.9961065116364,37.568559267043454,산림동,2.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
10357,127.00186106306721,37.56954338393286,방산동,2.0,104,30.0,1,26875.559786532827,을지로동,0.15585960737656157
10358,127.00025385561531,37.569126886119214,주교동,2.0,104,30.0,1,26875.559786532827,을지로동,0.15585960737656157
10359,127.00232539560004,37.569434670593154,방산동,2.0,104,30.0,2,26875.559786532827,을지로동,0.15585960737656157
8452,127.00904163505864,37.556655239380504,신당동,4.0,104,50.0,0,26875.559786532827,신당동,0.1998197792295562
8459,127.00763809560277,37.54969475962239,신당동,2.0,104,50.0,1,26875.559786532827,신당동,0.1998197792295562
8469,127.00968223143315,37.55317318377117,신당동,2.0,104,50.0,3,26875.559786532827,신당동,0.1998197792295562
9774,127.00223433688959,37.55296868615897,장충동2가,2.0,104,50.0,0,26875.559786532827,장충동,0.17818315828266076
10360,127.00225352101042,37.56956511811492,방산동,2.0,104,30.0,0,26875.559786532827,을지로동,0.15585960737656157
10363,127.0124286850836,37.56970408563532,신당동,2.0,104,30.0,0,26875.559786532827,신당동,0.1998197792295562
10366,127.01251206408209,37.56970178829955,신당동,2.0,104,30.0,0,26875.559786532827,신당동,0.1998197792295562
10368,127.01916000344528,37.57104284412443,황학동,1.0,104,30.0,2,26875.559786532827,황학동,0.1717813302883243
10369,126.96391161344133,37.5590586750625,중림동,1.0,104,30.0,1,26875.559786532827,중림동,0.1901991313611407
10376,126.96917746329122,37.55521377128667,봉래동2가,3.0,104,50.0,0,26875.559786532827,중림동,0.1901991313611407
