source_crosswalk_id,canonical_crosswalk_id,registry_crosswalk_id,id_mapping_method,id_mapping_confidence,crossing_edge,tls_id,from_edge,to_edge,match_distance_m,registry_status,implementation_status,runnable_for_signal_extension,crossing_lon,crossing_lat,original_csv_lon,original_csv_lat
LINK_33923,LINK_33923,,unmatched,none,,,,,,,,,,,,
LINK_117132,LINK_117132,,unmatched,none,,,,,,,,,,,,
LINK_196945,LINK_196945,,unmatched,none,,,,,,,,,,,,
LINK_188245,LINK_188245,,unmatched,none,,,,,,,,,,,,
LINK_190856,LINK_190856,,unmatched,none,,,,,,,,,,,,
LINK_118120,LINK_118120,,unmatched,none,,,,,,,,,,,,
LINK_279566,LINK_279566,,unmatched,none,,,,,,,,,,,,
NODE_5837,5837,5837,exact_strip_NODE,high,:5161705573_c0,5161705573,585341916#3,218926711#4,8.183344478451346,A,ready_for_simulation,True,126.9741195020757,37.55871519281736,,
LINK_203084,LINK_203084,,unmatched,none,,,,,,,,,,,,
LINK_148203,LINK_148203,,unmatched,none,,,,,,,,,,,,
NODE_74388,74388,74388,exact_strip_NODE,high,:436879516_c0,GS_436879516,585352852#1,218962181,86.78493996007555,recovered,auto_recovered_distance_rematch,True,126.97310129677584,37.55407521475319,,
NODE_5846,5846,5846,exact_strip_NODE,high,:5161705573_c0,5161705573,585341916#3,218926711#4,13.58116711027742,A,ready_for_simulation,True,126.9741195020757,37.55871519281736,,
NODE_5830,5830,5830,exact_strip_NODE,high,:5161705573_c0,5161705573,585341916#3,218926711#4,32.266088031882035,A,ready_for_simulation,True,126.9741195020757,37.55871519281736,,
NODE_5831,5831,5831,exact_strip_NODE,high,:5161705573_c0,5161705573,585341916#3,218926711#4,17.34753411295779,A,ready_for_simulation,True,126.9741195020757,37.55871519281736,,
NODE_10376,10376,10376,exact_strip_NODE,high,:11139418706_c0,11139418706,1201492607#3,1113247892#1,16.822228153402982,A,ready_for_simulation,True,126.96899038244528,37.55528052428236,,
NODE_6342,6342,6342,exact_strip_NODE,high,:11203052964_c0,11203052964,1209133881#0,-781985788#0,150.58394719272076,patched_unsignalized,ready_for_simulation,True,126.98196437711906,37.560495163579986,126.9809478,37.56158464
NODE_21869,21869,21869,exact_strip_NODE,high,:11203052964_c0,11203052964,1209133881#0,-781985788#0,155.96021814080012,patched_unsignalized,ready_for_simulation,True,126.98196437711906,37.560495163579986,126.9802482,37.5597398
NODE_150723,150723,150723,exact_strip_NODE,high,:11139418719_c0,11139418719,1201492609#1,630630646#15,12.709338389597931,A,ready_for_simulation,True,126.96910528913064,37.55505296307376,,
NODE_10060,10060,10060,exact_strip_NODE,high,:11203052964_c0,11203052964,1209133881#0,-781985788#0,5.319217465808337,A,ready_for_simulation,True,126.98196437711906,37.560495163579986,,
NODE_10067,10067,10067,exact_strip_NODE,high,:11203052960_c0,11203052960,1209133880#1,1467498055#1,178.8324144278127,patched_unsignalized,ready_for_simulation,True,126.9819293115092,37.56022347924575,126.9801622,37.55942872
NODE_10333,10333,10333,exact_strip_NODE,high,:5161705573_c0,5161705573,585341916#3,218926711#4,271.7851401230443,patched_unsignalized,ready_for_simulation,True,126.9741195020757,37.55871519281736,126.9769396,37.55766756
NODE_6122,6122,6122,exact_strip_NODE,high,:11203001810_c0,joinedS_11203001806_11203001809_11203001810_11203001813_#3more,1209130501#2,619147730#3,270.35657261761446,patched_unsignalized,ready_for_simulation,True,126.97601284004529,37.5604499318798,126.9783167,37.5588288
NODE_6123,6123,6123,exact_strip_NODE,high,:11203001810_c0,joinedS_11203001806_11203001809_11203001810_11203001813_#3more,1209130501#2,619147730#3,296.8790890490921,patched_unsignalized,ready_for_simulation,True,126.97601284004529,37.5604499318798,126.9785496,37.5586778
NODE_14937,14937,14937,exact_strip_NODE,high,:11139418723_c0,11139418723,1201492610#1,183272312#3,20.34302236895583,A,ready_for_simulation,True,126.96911539906598,37.55542484166939,,
NODE_10378,10378,10378,exact_strip_NODE,high,:11139418723_c0,11139418723,1201492610#1,183272312#3,15.882006928374658,A,ready_for_simulation,True,126.96911539906598,37.55542484166939,,
NODE_10377,10377,10377,exact_strip_NODE,high,:11139418719_c0,11139418719,1201492609#1,630630646#15,19.06788351329884,A,ready_for_simulation,True,126.96910528913064,37.55505296307376,,
NODE_6153,6153,6153,exact_strip_NODE,high,:5161705573_c0,5161705573,585341916#3,218926711#4,262.91424427602743,patched_unsignalized,ready_for_simulation,True,126.9741195020757,37.55871519281736,126.9768998,37.55779411
NODE_121262,121262,121262,exact_strip_NODE,high,:436856276_c0,436856276,1454603285#2,1454603281#0,312.74904184310196,represented_by_patched_crossing,ready_for_simulation,True,126.98210529430315,37.5522630088992,126.980915,37.55494675
NODE_6199,6199,6199,exact_strip_NODE,high,:2457731125_c0,2457731125,1339697075#0,237901345#0,14.462018886702657,A,ready_for_simulation,True,126.97705108541774,37.55497448437383,,
NODE_6082,6082,6082,exact_strip_NODE,high,:5161705573_c0,5161705573,585341916#3,218926711#4,279.98062888128817,patched_unsignalized,ready_for_simulation,True,126.9741195020757,37.55871519281736,126.9769746,37.55755612
NODE_6425,6425,6425,exact_strip_NODE,high,:436856276_c0,436856276,1454603285#2,1454603281#0,294.41029706415446,patched_unsignalized,ready_for_simulation,True,126.98210529430315,37.5522630088992,126.9809525,37.55478198
NODE_5681,5681,5681,exact_strip_NODE,high,:11139418723_c0,11139418723,1201492610#1,183272312#3,9.338269852698202,A,ready_for_simulation,True,126.96911539906598,37.55542484166939,,
LINK_194891,LINK_194891,,unmatched,none,,,,,,,,,,,,
LINK_22103,LINK_22103,,unmatched,none,,,,,,,,,,,,
NODE_6127,6127,6127,exact_strip_NODE,high,:11203052964_c0,11203052964,1209133881#0,-781985788#0,175.6536419091805,patched_unsignalized,ready_for_simulation,True,126.98196437711906,37.560495163579986,126.9800356,37.55968043
NODE_6137,6137,6137,exact_strip_NODE,high,:5161705573_c0,5161705573,585341916#3,218926711#4,173.10101407052255,patched_unsignalized,ready_for_simulation,True,126.9741195020757,37.55871519281736,126.9761004,37.55854917
NODE_6210,6210,6210,exact_strip_NODE,high,:2457731125_c0,2457731125,1339697075#0,237901345#0,129.6367611152189,patched_unsignalized,ready_for_simulation,True,126.97705108541774,37.55497448437383,126.9769664,37.55617727
