crosswalk_id,sumo_crosswalk_alive_status,is_alive_in_sumo_network,phase6_ready_confirmed,sumo_alive_source,in_ready_candidates,in_red_only_phase_fix,in_unsignalized_crosswalks,in_tls_creation_candidates,in_geometry_reject,in_manual_review
LINK_33923,GEOMETRY_REJECT,False,False,geometry_reject_or_manual_hold.csv,False,False,False,False,True,False
LINK_117132,GEOMETRY_REJECT,False,False,geometry_reject_or_manual_hold.csv,False,False,False,False,True,False
LINK_196945,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_188245,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_190856,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_118120,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_279566,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5837,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
LINK_203084,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
LINK_148203,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_74388,MANUAL_REVIEW,,False,geometry_reject_or_manual_hold.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,False,False,False,False,False,True
NODE_5846,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5830,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_5831,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_10376,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6342,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_21869,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_150723,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_10060,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_10067,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_10333,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6122,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6123,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_14937,GEOMETRY_REJECT,False,False,geometry_reject_or_manual_hold.csv,False,False,False,False,True,False
NODE_10378,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_10377,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_6153,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
NODE_121262,NOT_PROCESSED_OR_UNKNOWN,,False,,False,False,False,False,False,False
