crosswalk_id,is_restored_in_sumo_network,sumo_restored_level,phase6_ready_confirmed,sumo_restored_source,in_final_237,in_integrity_237
LINK_33923,False,NOT_IN_RESTORED_237,False,,False,False
LINK_117132,False,NOT_IN_RESTORED_237,False,,False,False
LINK_196945,False,NOT_IN_RESTORED_237,False,,False,False
LINK_188245,False,NOT_IN_RESTORED_237,False,,False,False
LINK_190856,False,NOT_IN_RESTORED_237,False,,False,False
LINK_118120,False,NOT_IN_RESTORED_237,False,,False,False
LINK_279566,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5837,False,NOT_IN_RESTORED_237,False,,False,False
LINK_203084,False,NOT_IN_RESTORED_237,False,,False,False
LINK_148203,False,NOT_IN_RESTORED_237,False,,False,False
NODE_74388,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5846,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5830,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5831,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10376,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6342,False,NOT_IN_RESTORED_237,False,,False,False
NODE_21869,False,NOT_IN_RESTORED_237,False,,False,False
NODE_150723,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10060,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10067,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10333,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6122,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6123,False,NOT_IN_RESTORED_237,False,,False,False
NODE_14937,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10378,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10377,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6153,False,NOT_IN_RESTORED_237,False,,False,False
NODE_121262,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6199,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6082,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6425,False,NOT_IN_RESTORED_237,False,,False,False
NODE_5681,False,NOT_IN_RESTORED_237,False,,False,False
LINK_194891,False,NOT_IN_RESTORED_237,False,,False,False
LINK_22103,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6127,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6137,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6210,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_73917,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_73919,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6155,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10262,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10381,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_10382,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_10383,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6084,False,NOT_IN_RESTORED_237,False,,False,False
NODE_122781,False,NOT_IN_RESTORED_237,False,,False,False
LINK_224750,False,NOT_IN_RESTORED_237,False,,False,False
NODE_9650,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6419,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6213,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6068,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6424,False,NOT_IN_RESTORED_237,False,,False,False
NODE_10061,False,NOT_IN_RESTORED_237,False,,False,False
LINK_86949,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_19394,False,NOT_IN_RESTORED_237,False,,False,False
LINK_230879,False,NOT_IN_RESTORED_237,False,,False,False
LINK_446,False,NOT_IN_RESTORED_237,False,,False,False
LINK_20482,False,NOT_IN_RESTORED_237,False,,False,False
LINK_83815,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_124840,False,NOT_IN_RESTORED_237,False,,False,False
LINK_224778,False,NOT_IN_RESTORED_237,False,,False,False
LINK_256826,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
NODE_6201,False,NOT_IN_RESTORED_237,False,,False,False
NODE_6212,False,NOT_IN_RESTORED_237,False,,False,False
LINK_130571,False,NOT_IN_RESTORED_237,False,,False,False
LINK_107613,False,NOT_IN_RESTORED_237,False,,False,False
LINK_266939,False,NOT_IN_RESTORED_237,False,,False,False
LINK_8035,False,NOT_IN_RESTORED_237,False,,False,False
NODE_8426,False,NOT_IN_RESTORED_237,False,,False,False
NODE_8369,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_153517,False,NOT_IN_RESTORED_237,False,,False,False
LINK_212169,False,NOT_IN_RESTORED_237,False,,False,False
LINK_239875,False,NOT_IN_RESTORED_237,False,,False,False
NODE_125895,True,RESTORED_SIGNAL_STRUCTURE_OK,False,phase6_ready_candidates_total_FINAL_237.csv|phase6_ready_candidates_total_FINAL_237_integrity_check.csv,True,True
LINK_239754,False,NOT_IN_RESTORED_237,False,,False,False
