sim_time,crosswalk_id,tls_id,ped_link_index,current_phase_index,current_tls_state,ped_link_state,is_ped_green,is_pedestrian_only_phase,ped_near,detected_person_ids,remaining_phase_time,next_switch_time,extension_allowed,extension_decision,extension_skip_reason
0.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.5,79.0,False,False,scenario_baseline
0.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.5,79.0,False,False,scenario_baseline
0.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.5,79.0,False,False,scenario_baseline
0.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.5,81.0,False,False,scenario_baseline
0.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.5,79.0,False,False,scenario_baseline
0.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.5,38.0,False,False,scenario_baseline
1.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,78.0,79.0,False,False,scenario_baseline
1.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,78.0,79.0,False,False,scenario_baseline
1.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,78.0,79.0,False,False,scenario_baseline
1.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,80.0,81.0,False,False,scenario_baseline
1.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,78.0,79.0,False,False,scenario_baseline
1.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,37.0,38.0,False,False,scenario_baseline
1.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,77.5,79.0,False,False,scenario_baseline
1.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,77.5,79.0,False,False,scenario_baseline
1.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,77.5,79.0,False,False,scenario_baseline
1.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,79.5,81.0,False,False,scenario_baseline
1.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,77.5,79.0,False,False,scenario_baseline
1.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,36.5,38.0,False,False,scenario_baseline
2.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,77.0,79.0,False,False,scenario_baseline
2.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,77.0,79.0,False,False,scenario_baseline
2.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,77.0,79.0,False,False,scenario_baseline
2.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,79.0,81.0,False,False,scenario_baseline
2.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,77.0,79.0,False,False,scenario_baseline
2.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,36.0,38.0,False,False,scenario_baseline
2.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,76.5,79.0,False,False,scenario_baseline
2.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,76.5,79.0,False,False,scenario_baseline
2.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,76.5,79.0,False,False,scenario_baseline
2.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,78.5,81.0,False,False,scenario_baseline
2.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,76.5,79.0,False,False,scenario_baseline
2.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,35.5,38.0,False,False,scenario_baseline
3.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,76.0,79.0,False,False,scenario_baseline
3.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,76.0,79.0,False,False,scenario_baseline
3.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,76.0,79.0,False,False,scenario_baseline
3.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,78.0,81.0,False,False,scenario_baseline
3.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,76.0,79.0,False,False,scenario_baseline
3.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,35.0,38.0,False,False,scenario_baseline
3.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,75.5,79.0,False,False,scenario_baseline
3.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,75.5,79.0,False,False,scenario_baseline
3.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,75.5,79.0,False,False,scenario_baseline
3.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,77.5,81.0,False,False,scenario_baseline
3.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,75.5,79.0,False,False,scenario_baseline
3.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,34.5,38.0,False,False,scenario_baseline
4.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,75.0,79.0,False,False,scenario_baseline
4.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,75.0,79.0,False,False,scenario_baseline
4.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,75.0,79.0,False,False,scenario_baseline
4.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,77.0,81.0,False,False,scenario_baseline
4.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,75.0,79.0,False,False,scenario_baseline
4.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,34.0,38.0,False,False,scenario_baseline
4.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,74.5,79.0,False,False,scenario_baseline
4.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,74.5,79.0,False,False,scenario_baseline
4.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,74.5,79.0,False,False,scenario_baseline
4.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,76.5,81.0,False,False,scenario_baseline
4.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,74.5,79.0,False,False,scenario_baseline
4.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,33.5,38.0,False,False,scenario_baseline
5.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,74.0,79.0,False,False,scenario_baseline
5.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,74.0,79.0,False,False,scenario_baseline
5.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,74.0,79.0,False,False,scenario_baseline
5.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,76.0,81.0,False,False,scenario_baseline
5.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,74.0,79.0,False,False,scenario_baseline
5.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,33.0,38.0,False,False,scenario_baseline
5.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,73.5,79.0,False,False,scenario_baseline
5.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,73.5,79.0,False,False,scenario_baseline
5.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,73.5,79.0,False,False,scenario_baseline
5.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,75.5,81.0,False,False,scenario_baseline
5.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,73.5,79.0,False,False,scenario_baseline
5.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,32.5,38.0,False,False,scenario_baseline
6.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,73.0,79.0,False,False,scenario_baseline
6.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,73.0,79.0,False,False,scenario_baseline
6.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,73.0,79.0,False,False,scenario_baseline
6.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,75.0,81.0,False,False,scenario_baseline
6.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,73.0,79.0,False,False,scenario_baseline
6.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,32.0,38.0,False,False,scenario_baseline
6.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,72.5,79.0,False,False,scenario_baseline
6.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,72.5,79.0,False,False,scenario_baseline
6.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,72.5,79.0,False,False,scenario_baseline
6.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,74.5,81.0,False,False,scenario_baseline
6.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,72.5,79.0,False,False,scenario_baseline
6.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,31.5,38.0,False,False,scenario_baseline
7.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,72.0,79.0,False,False,scenario_baseline
7.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,72.0,79.0,False,False,scenario_baseline
7.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,72.0,79.0,False,False,scenario_baseline
7.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,74.0,81.0,False,False,scenario_baseline
7.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,72.0,79.0,False,False,scenario_baseline
7.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,31.0,38.0,False,False,scenario_baseline
7.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,71.5,79.0,False,False,scenario_baseline
7.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,71.5,79.0,False,False,scenario_baseline
7.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,71.5,79.0,False,False,scenario_baseline
7.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,73.5,81.0,False,False,scenario_baseline
7.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,71.5,79.0,False,False,scenario_baseline
7.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,30.5,38.0,False,False,scenario_baseline
8.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,71.0,79.0,False,False,scenario_baseline
8.0,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,71.0,79.0,False,False,scenario_baseline
8.0,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,71.0,79.0,False,False,scenario_baseline
8.0,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,73.0,81.0,False,False,scenario_baseline
8.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,71.0,79.0,False,False,scenario_baseline
8.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,30.0,38.0,False,False,scenario_baseline
8.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,False,0,,70.5,79.0,False,False,scenario_baseline
8.5,NODE_122781,11203041635,4,0,GGGGr,r,False,False,0,,70.5,79.0,False,False,scenario_baseline
8.5,NODE_14937,11139418723,2,0,GGr,r,False,False,0,,70.5,79.0,False,False,scenario_baseline
8.5,NODE_5647,10974501473,4,0,GGGGr,r,False,False,0,,72.5,81.0,False,False,scenario_baseline
8.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,False,0,,70.5,79.0,False,False,scenario_baseline
8.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,0,,29.5,38.0,False,False,scenario_baseline
