sim_time,crosswalk_id,tls_id,ped_link_index,phase_index,phase_state,ped_link_state,ped_has_green,ped_has_red,pedestrian_only_phase,non_ped_green_count
0.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
0.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
0.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
0.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
0.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
0.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
1.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
1.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
1.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
1.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
1.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
1.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
1.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
1.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
1.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
1.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
1.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
1.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
2.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
2.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
2.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
2.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
2.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
2.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
2.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
2.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
2.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
2.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
2.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
2.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
3.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
3.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
3.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
3.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
3.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
3.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
3.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
3.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
3.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
3.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
3.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
3.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
4.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
4.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
4.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
4.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
4.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
4.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
4.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
4.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
4.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
4.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
4.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
4.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
5.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
5.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
5.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
5.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
5.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
5.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
5.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
5.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
5.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
5.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
5.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
5.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
6.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
6.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
6.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
6.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
6.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
6.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
6.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
6.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
6.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
6.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
6.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
6.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
7.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
7.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
7.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
7.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
7.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
7.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
7.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
7.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
7.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
7.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
7.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
7.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
8.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
8.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
8.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
8.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
8.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
8.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
8.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
8.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
8.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
8.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
8.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
8.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
9.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
9.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
9.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
9.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
9.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
9.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
9.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
9.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
9.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
9.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
9.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
9.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
10.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
10.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
10.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
10.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
10.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
10.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
10.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
10.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
10.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
10.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
10.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
10.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
11.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
11.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
11.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
11.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
11.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
11.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
11.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
11.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
11.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
11.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
11.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
11.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
12.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
12.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
12.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
12.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
12.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
12.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
12.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
12.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
12.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
12.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
12.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
12.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
13.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
13.0,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
13.0,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
13.0,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
13.0,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
13.0,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
13.5,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
13.5,NODE_122781,11203041635,4,0,GGGGr,r,False,True,False,4
13.5,NODE_14937,11139418723,2,0,GGr,r,False,True,False,2
13.5,NODE_5647,10974501473,4,0,GGGGr,r,False,True,False,4
13.5,NODE_6342,11203041633,9,0,GGGGGGGGGr,r,False,True,False,9
13.5,NODE_5938,5851251266,16,0,gGGGGGGGGrrrrrrrG,G,True,False,False,9
14.0,NODE_10060,11203052964,11,0,GGGGGGGGGGGr,r,False,True,False,11
