sorted_index,person_id,crosswalk_id,depart,route_from_edge,route_to_edge,depart_sorted_ok
1,ped_1_0_NODE_10060,NODE_10060,83.5,1209133881#0,-781985788#0,True
2,ped_2_0_NODE_122781,NODE_122781,83.5,345046979#5,-345046979#5,True
3,ped_3_0_NODE_14937,NODE_14937,83.5,1201492610#1,183272312#3,True
4,ped_4_0_NODE_5647,NODE_5647,83.5,1461316096#1,333969025#1,True
5,ped_5_0_NODE_6342,NODE_6342,83.5,-1499619438#1,1499619438#1,True
6,ped_1_1_NODE_10060,NODE_10060,85.0,1209133881#0,-781985788#0,True
7,ped_2_1_NODE_122781,NODE_122781,85.0,345046979#5,-345046979#5,True
8,ped_3_1_NODE_14937,NODE_14937,85.0,1201492610#1,183272312#3,True
9,ped_4_1_NODE_5647,NODE_5647,85.0,1461316096#1,333969025#1,True
10,ped_5_1_NODE_6342,NODE_6342,85.0,-1499619438#1,1499619438#1,True
11,ped_1_2_NODE_10060,NODE_10060,86.5,1209133881#0,-781985788#0,True
12,ped_2_2_NODE_122781,NODE_122781,86.5,345046979#5,-345046979#5,True
13,ped_3_2_NODE_14937,NODE_14937,86.5,1201492610#1,183272312#3,True
14,ped_4_2_NODE_5647,NODE_5647,86.5,1461316096#1,333969025#1,True
15,ped_5_2_NODE_6342,NODE_6342,86.5,-1499619438#1,1499619438#1,True
16,ped_1_3_NODE_10060,NODE_10060,88.0,1209133881#0,-781985788#0,True
17,ped_2_3_NODE_122781,NODE_122781,88.0,345046979#5,-345046979#5,True
18,ped_3_3_NODE_14937,NODE_14937,88.0,1201492610#1,183272312#3,True
19,ped_4_3_NODE_5647,NODE_5647,88.0,1461316096#1,333969025#1,True
20,ped_5_3_NODE_6342,NODE_6342,88.0,-1499619438#1,1499619438#1,True
21,ped_6_0_NODE_5938,NODE_5938,88.5,1084408283#1,1084408283#2,True
22,ped_1_4_NODE_10060,NODE_10060,89.5,1209133881#0,-781985788#0,True
23,ped_2_4_NODE_122781,NODE_122781,89.5,345046979#5,-345046979#5,True
24,ped_3_4_NODE_14937,NODE_14937,89.5,1201492610#1,183272312#3,True
25,ped_4_4_NODE_5647,NODE_5647,89.5,1461316096#1,333969025#1,True
26,ped_5_4_NODE_6342,NODE_6342,89.5,-1499619438#1,1499619438#1,True
