crosswalk_id,original_rank,real_lon,real_lat,mapping_distance_m,failure_category,recovery_strategy,manual_strategy,selected_node_id,selected_tls_id,selected_crossing_edges,selected_from_edge,selected_to_edge,needs_new_signal,confidence,manual_reason,review_status
NODE_5830,10,126.97373154540536,37.558791248064864,27.172,MANUAL_REVIEW_NEEDED,P4_MANUAL_EDGE_PAIR_REVIEW,EXISTING_CROSSING_REMAP,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
LINK_153517,20,126.97691969839532,37.55773083606243,119.135,LOCATION_TOO_FAR,P4_HOLD,HOLD,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
NODE_21869,21,126.98024816582196,37.55973979809862,172.809,LOCATION_TOO_FAR,P4_HOLD,HOLD,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
NODE_6425,22,126.980952454655,37.55478197888991,298.1,MANUAL_REVIEW_NEEDED,P4_MANUAL_EDGE_PAIR_REVIEW,EXISTING_CROSSING_REMAP,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
NODE_10067,23,126.9801621512504,37.559428715703774,179.32,LOCATION_TOO_FAR,P4_HOLD,HOLD,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
LINK_107613,25,126.98093374889024,37.55486436310108,307.281,MANUAL_REVIEW_NEEDED,P4_MANUAL_EDGE_PAIR_REVIEW,EXISTING_CROSSING_REMAP,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
NODE_8382,26,127.01064681840046,37.55448671961763,98.998,MANUAL_REVIEW_NEEDED,P4_MANUAL_EDGE_PAIR_REVIEW,EXISTING_CROSSING_REMAP,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
NODE_8431,27,127.0103895931613,37.55483574401509,143.24,MANUAL_REVIEW_NEEDED,P4_MANUAL_EDGE_PAIR_REVIEW,EXISTING_CROSSING_REMAP,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
NODE_10333,29,126.97693958921292,37.55766756201086,125.39,LOCATION_TOO_FAR,P4_HOLD,HOLD,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
NODE_6153,32,126.97689980757774,37.55779411011401,113.0,LOCATION_TOO_FAR,P4_HOLD,HOLD,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
NODE_6212,40,126.97719353022268,37.55614070184521,130.275,LOCATION_TOO_FAR,P4_HOLD,HOLD,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
LINK_22103,48,126.98009887303236,37.559554574319264,177.89,LOCATION_TOO_FAR,P4_HOLD,HOLD,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
NODE_5938,49,126.97689701422458,37.56684067381058,23.468,MANUAL_REVIEW_NEEDED,P4_MANUAL_EDGE_PAIR_REVIEW,EXISTING_CROSSING_REMAP,,,,,,FALSE,,,NEEDS_MANUAL_SELECTION
