crosswalk_id,source_bucket,final_candidate_class,nearest_junction_id,nearest_junction_type,selected_for_generation,selected_for_patch,patch_action,patch_status,crossing_present,walkingarea_present,tlLogic_present,tls_id_used,ped_link_indices,ped_phase_states,ped_has_green,ped_has_red,traci_ok,traci_error,traci_controlled_links_count,traci_ped_link_indices,recovery_outcome,recovered
LINK_43439,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2771852209,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2771852209,[4],"[{""linkIndex"": 4, ""phase_states"": [""r"", ""r"", ""r"", ""G"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,7,"[4, 5, 6]",PHASE6_READY_CONFIRMED,True
NODE_8596,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,8496739139,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,8496739139,[1],"[{""linkIndex"": 1, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,2,[1],RED_ONLY_PHASE_FIX_NEEDED,False
LINK_91564,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,8496739139,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,8496739139,[1],"[{""linkIndex"": 1, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,2,[1],RED_ONLY_PHASE_FIX_NEEDED,False
NODE_8721,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,8496719918,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,8496719918,[1],"[{""linkIndex"": 1, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,2,[1],RED_ONLY_PHASE_FIX_NEEDED,False
NODE_9814,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,2771852209,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,2771852209,[4],"[{""linkIndex"": 4, ""phase_states"": [""r"", ""r"", ""r"", ""G"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,7,"[4, 5, 6]",PHASE6_READY_CONFIRMED,True
NODE_7240,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,7209657835,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,7209657835,[4],"[{""linkIndex"": 4, ""phase_states"": [""r"", ""r"", ""G"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,5,[4],PHASE6_READY_CONFIRMED,True
LINK_52434,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,7209657835,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,7209657835,[4],"[{""linkIndex"": 4, ""phase_states"": [""r"", ""r"", ""G"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,5,[4],PHASE6_READY_CONFIRMED,True
NODE_8069,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,5913870574,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,5913870574,[1],"[{""linkIndex"": 1, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,2,[1],RED_ONLY_PHASE_FIX_NEEDED,False
NODE_6769,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,7335400038,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,7335400038,[],[],False,False,True,,3,[2],TLS_CREATION_CANDIDATE_REMAINING,False
LINK_52248,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,5804596023,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,5804596023,[5],"[{""linkIndex"": 5, ""phase_states"": [""r"", ""r"", ""G"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,True,,6,[5],PHASE6_READY_CONFIRMED,True
LINK_159011,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,1327214756,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,1327214756,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,3,[2],RED_ONLY_PHASE_FIX_NEEDED,False
NODE_5927,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,1327214756,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,1327214756,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,3,[2],RED_ONLY_PHASE_FIX_NEEDED,False
NODE_5964,MANUAL_REVIEW_TLS_RETRY_BATCH,FINAL_MANUAL_REVIEW,1327214756,priority,True,False,AUDIT_ONLY_MANUAL_REVIEW,nan,True,True,True,1327214756,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""r""], ""has_green"": false, ""has_red"": true}]",False,True,True,,3,[2],RED_ONLY_PHASE_FIX_NEEDED,False
