crosswalk_id,nearest_junction_id,tls_id_used,crossing_id,crossingEdges,crossing_present,walkingarea_present,tlLogic_present,ped_link_indices,ped_phase_states,ped_has_green,ped_has_red,traci_status,traci_error,route_smoke_status,route_smoke_error,final_verdict,runtime_status,runtime_error,idlist_contains_tls,controlled_links_count,controlled_links_nonempty,ped_link_indices_in_range,ped_link_edges_match,current_state,current_state_in_xml,xml_phase_has_green,xml_phase_has_red,step_test_ok,promotion_source,final_candidate_class,nearest_junction_type,selected_for_generation,selected_for_patch,patch_action,patch_status,traci_ok,traci_controlled_links_count,traci_ped_link_indices,final_augmented_class,smart_signal_ready,red_only_phase_fix_needed,tls_creation_candidate,unsignalized_crosswalk,geometry_reject,manual_review,batch_source,batch_status,source_bucket,recovery_outcome,recovered,source_file
NODE_23039,11177412832,11177412832,:11177412832_c0,464445691#1 -464445691#1,True,True,True,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""G"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,UNAVAILABLE,[Errno 1] Operation not permitted,PASS,,PHASE6_READY_CONFIRMED,PASS,,True,3.0,True,True,True,GGr,True,True,True,True,PREVIOUS,,,,,,,,,,,,,,,,,,,,,,result/phase_next_recovery_command_plan_20260514_200908/phase6_ready_candidates_total_after_red_only_FIX_SPLIT.csv
NODE_23040,11177412832,11177412832,:11177412832_c0,464445691#1 -464445691#1,True,True,True,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""G"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,UNAVAILABLE,[Errno 1] Operation not permitted,PASS,,PHASE6_READY_CONFIRMED,PASS,,True,3.0,True,True,True,GGr,True,True,True,True,PREVIOUS,,,,,,,,,,,,,,,,,,,,,,result/phase_next_recovery_command_plan_20260514_200908/phase6_ready_candidates_total_after_red_only_FIX_SPLIT.csv
NODE_23041,11177412832,11177412832,:11177412832_c0,464445691#1 -464445691#1,True,True,True,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""G"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,UNAVAILABLE,[Errno 1] Operation not permitted,PASS,,PHASE6_READY_CONFIRMED,PASS,,True,3.0,True,True,True,GGr,True,True,True,True,PREVIOUS,,,,,,,,,,,,,,,,,,,,,,result/phase_next_recovery_command_plan_20260514_200908/phase6_ready_candidates_total_after_red_only_FIX_SPLIT.csv
NODE_5909,11177412832,11177412832,:11177412832_c0,464445691#1 -464445691#1,True,True,True,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""G"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,UNAVAILABLE,[Errno 1] Operation not permitted,PASS,,PHASE6_READY_CONFIRMED,PASS,,True,3.0,True,True,True,GGr,True,True,True,True,PREVIOUS,,,,,,,,,,,,,,,,,,,,,,result/phase_next_recovery_command_plan_20260514_200908/phase6_ready_candidates_total_after_red_only_FIX_SPLIT.csv
NODE_177916,11177412832,11177412832,:11177412832_c0,464445691#1 -464445691#1,True,True,True,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""G"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,UNAVAILABLE,[Errno 1] Operation not permitted,PASS,,PHASE6_READY_CONFIRMED,PASS,,True,3.0,True,True,True,GGr,True,True,True,True,PREVIOUS,,,,,,,,,,,,,,,,,,,,,,result/phase_next_recovery_command_plan_20260514_200908/phase6_ready_candidates_total_after_red_only_FIX_SPLIT.csv
LINK_164651,11177412832,11177412832,:11177412832_c0,464445691#1 -464445691#1,True,True,True,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""G"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,UNAVAILABLE,[Errno 1] Operation not permitted,PASS,,PHASE6_READY_CONFIRMED,PASS,,True,3.0,True,True,True,GGr,True,True,True,True,PREVIOUS,,,,,,,,,,,,,,,,,,,,,,result/phase_next_recovery_command_plan_20260514_200908/phase6_ready_candidates_total_after_red_only_FIX_SPLIT.csv
LINK_142586,436883154,436883154,:436883154_c0,-913006754#2 913006754#2,True,True,True,[14],"[{""linkIndex"": 14, ""phase_states"": [""r"", ""r"", ""r"", ""G"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,UNAVAILABLE,[Errno 1] Operation not permitted,PASS,,PHASE6_READY_CONFIRMED,PASS,,True,17.0,True,True,True,GGGggrrrrgGGGgrGr,True,True,True,True,PREVIOUS,,,,,,,,,,,,,,,,,,,,,,result/phase_next_recovery_command_plan_20260514_200908/phase6_ready_candidates_total_after_red_only_FIX_SPLIT.csv
LINK_138942,13721232729,13721232729,:13721232729_c0,1498257479#3 -1498257479#3,True,True,True,[9],"[{""linkIndex"": 9, ""phase_states"": [""r"", ""r"", ""G"", ""r"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,UNAVAILABLE,[Errno 1] Operation not permitted,PASS,,PHASE6_READY_CONFIRMED,PASS,,True,10.0,True,True,True,GGgrrrGggr,True,True,True,True,PREVIOUS,,,,,,,,,,,,,,,,,,,,,,result/phase_next_recovery_command_plan_20260514_200908/phase6_ready_candidates_total_after_red_only_FIX_SPLIT.csv
LINK_229146,11177412832,11177412832,:11177412832_c0,464445691#1 -464445691#1,True,True,True,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""G"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,UNAVAILABLE,[Errno 1] Operation not permitted,PASS,,PHASE6_READY_CONFIRMED,PASS,,True,3.0,True,True,True,GGr,True,True,True,True,PREVIOUS,,,,,,,,,,,,,,,,,,,,,,result/phase_next_recovery_command_plan_20260514_200908/phase6_ready_candidates_total_after_red_only_FIX_SPLIT.csv
LINK_83050,11177412832,11177412832,:11177412832_c0,464445691#1 -464445691#1,True,True,True,[2],"[{""linkIndex"": 2, ""phase_states"": [""r"", ""r"", ""G"", ""r""], ""has_green"": true, ""has_red"": true}]",True,True,UNAVAILABLE,[Errno 1] Operation not permitted,PASS,,PHASE6_READY_CONFIRMED,PASS,,True,3.0,True,True,True,GGr,True,True,True,True,PREVIOUS,,,,,,,,,,,,,,,,,,,,,,result/phase_next_recovery_command_plan_20260514_200908/phase6_ready_candidates_total_after_red_only_FIX_SPLIT.csv
