sim_time,crosswalk_id,tls_id,ped_link_index,current_phase_index,current_tls_state,ped_link_state,is_ped_green,is_pedestrian_only_phase,ped_near,detected_person_ids,remaining_phase_time,next_switch_time,extension_allowed,extension_decision,extension_skip_reason
0.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,35.5,36.0,False,False,scenario_baseline
0.5,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,78.5,79.0,False,False,scenario_baseline
0.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,35.5,36.0,False,False,scenario_baseline
0.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,63.5,64.0,False,False,scenario_baseline
0.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,13.5,14.0,False,False,scenario_baseline
0.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,31.5,32.0,False,False,scenario_baseline
0.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,29.5,30.0,False,False,scenario_baseline
1.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,35.0,36.0,False,False,scenario_baseline
1.0,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,78.0,79.0,False,False,scenario_baseline
1.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,35.0,36.0,False,False,scenario_baseline
1.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,63.0,64.0,False,False,scenario_baseline
1.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,13.0,14.0,False,False,scenario_baseline
1.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,31.0,32.0,False,False,scenario_baseline
1.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,29.0,30.0,False,False,scenario_baseline
1.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,34.5,36.0,False,False,scenario_baseline
1.5,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,77.5,79.0,False,False,scenario_baseline
1.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,34.5,36.0,False,False,scenario_baseline
1.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,62.5,64.0,False,False,scenario_baseline
1.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,12.5,14.0,False,False,scenario_baseline
1.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,30.5,32.0,False,False,scenario_baseline
1.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,28.5,30.0,False,False,scenario_baseline
2.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,34.0,36.0,False,False,scenario_baseline
2.0,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,77.0,79.0,False,False,scenario_baseline
2.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,34.0,36.0,False,False,scenario_baseline
2.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,62.0,64.0,False,False,scenario_baseline
2.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,12.0,14.0,False,False,scenario_baseline
2.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,30.0,32.0,False,False,scenario_baseline
2.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,28.0,30.0,False,False,scenario_baseline
2.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,33.5,36.0,False,False,scenario_baseline
2.5,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,76.5,79.0,False,False,scenario_baseline
2.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,33.5,36.0,False,False,scenario_baseline
2.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,61.5,64.0,False,False,scenario_baseline
2.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,11.5,14.0,False,False,scenario_baseline
2.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,29.5,32.0,False,False,scenario_baseline
2.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,27.5,30.0,False,False,scenario_baseline
3.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,33.0,36.0,False,False,scenario_baseline
3.0,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,76.0,79.0,False,False,scenario_baseline
3.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,33.0,36.0,False,False,scenario_baseline
3.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,61.0,64.0,False,False,scenario_baseline
3.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,11.0,14.0,False,False,scenario_baseline
3.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,29.0,32.0,False,False,scenario_baseline
3.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,27.0,30.0,False,False,scenario_baseline
3.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,32.5,36.0,False,False,scenario_baseline
3.5,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,75.5,79.0,False,False,scenario_baseline
3.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,32.5,36.0,False,False,scenario_baseline
3.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,60.5,64.0,False,False,scenario_baseline
3.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,10.5,14.0,False,False,scenario_baseline
3.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,28.5,32.0,False,False,scenario_baseline
3.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,26.5,30.0,False,False,scenario_baseline
4.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,32.0,36.0,False,False,scenario_baseline
4.0,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,75.0,79.0,False,False,scenario_baseline
4.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,32.0,36.0,False,False,scenario_baseline
4.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,60.0,64.0,False,False,scenario_baseline
4.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,10.0,14.0,False,False,scenario_baseline
4.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,28.0,32.0,False,False,scenario_baseline
4.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,26.0,30.0,False,False,scenario_baseline
4.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,31.5,36.0,False,False,scenario_baseline
4.5,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,74.5,79.0,False,False,scenario_baseline
4.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,31.5,36.0,False,False,scenario_baseline
4.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,59.5,64.0,False,False,scenario_baseline
4.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,9.5,14.0,False,False,scenario_baseline
4.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,27.5,32.0,False,False,scenario_baseline
4.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,25.5,30.0,False,False,scenario_baseline
5.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,31.0,36.0,False,False,scenario_baseline
5.0,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,74.0,79.0,False,False,scenario_baseline
5.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,31.0,36.0,False,False,scenario_baseline
5.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,59.0,64.0,False,False,scenario_baseline
5.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,9.0,14.0,False,False,scenario_baseline
5.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,27.0,32.0,False,False,scenario_baseline
5.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,25.0,30.0,False,False,scenario_baseline
5.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,30.5,36.0,False,False,scenario_baseline
5.5,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,73.5,79.0,False,False,scenario_baseline
5.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,30.5,36.0,False,False,scenario_baseline
5.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,58.5,64.0,False,False,scenario_baseline
5.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,8.5,14.0,False,False,scenario_baseline
5.5,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,26.5,32.0,False,False,scenario_baseline
5.5,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,24.5,30.0,False,False,scenario_baseline
6.0,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,30.0,36.0,False,False,scenario_baseline
6.0,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,73.0,79.0,False,False,scenario_baseline
6.0,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,30.0,36.0,False,False,scenario_baseline
6.0,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,58.0,64.0,False,False,scenario_baseline
6.0,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,8.0,14.0,False,False,scenario_baseline
6.0,NODE_74388,436883130,16,0,GGrrrrrrgGrrrrrrG,G,True,False,0,,26.0,32.0,False,False,scenario_baseline
6.0,NODE_10273,3846533030,12,0,rrrgGGgGGrrGr,r,False,False,0,,24.0,30.0,False,False,scenario_baseline
6.5,LINK_212169,11449716078,5,0,gGrrrGr,G,True,False,0,,29.5,36.0,False,False,scenario_baseline
6.5,NODE_8452,3846603653,2,0,GGr,r,False,False,0,,72.5,79.0,False,False,scenario_baseline
6.5,NODE_6082,11449716078,5,0,gGrrrGr,G,True,False,0,,29.5,36.0,False,False,scenario_baseline
6.5,NODE_6123,7300992884,5,0,GgGrrrr,r,False,False,0,,57.5,64.0,False,False,scenario_baseline
6.5,NODE_8426,3849142980,16,0,gggGrrrrrrrrrrrrrGGG,r,False,False,0,,7.5,14.0,False,False,scenario_baseline
