sorted_index,person_id,crosswalk_id,depart,route_from_edge,route_to_edge,depart_sorted_ok
1,ped_5_0_NODE_8426,NODE_8426,41.5,920025287#2,920025287#3,True
2,ped_5_1_NODE_8426,NODE_8426,43.0,920025287#2,920025287#3,True
3,ped_5_2_NODE_8426,NODE_8426,44.5,920025287#2,920025287#3,True
4,ped_5_3_NODE_8426,NODE_8426,46.0,920025287#2,920025287#3,True
5,ped_5_4_NODE_8426,NODE_8426,47.5,920025287#2,920025287#3,True
6,ped_2_0_NODE_8452,NODE_8452,80.5,381458592#4,-381458592#4,True
7,ped_4_0_NODE_6123,NODE_6123,80.5,955312948,-955312948,True
8,ped_2_1_NODE_8452,NODE_8452,82.0,381458592#4,-381458592#4,True
9,ped_4_1_NODE_6123,NODE_6123,82.0,955312948,-955312948,True
10,ped_2_2_NODE_8452,NODE_8452,83.5,381458592#4,-381458592#4,True
11,ped_4_2_NODE_6123,NODE_6123,83.5,955312948,-955312948,True
12,ped_2_3_NODE_8452,NODE_8452,85.0,381458592#4,-381458592#4,True
13,ped_4_3_NODE_6123,NODE_6123,85.0,955312948,-955312948,True
14,ped_2_4_NODE_8452,NODE_8452,86.5,381458592#4,-381458592#4,True
15,ped_4_4_NODE_6123,NODE_6123,86.5,955312948,-955312948,True
16,ped_1_0_LINK_212169,LINK_212169,88.5,1233842659,-1233842659,True
17,ped_3_0_NODE_6082,NODE_6082,88.5,1233842659,-1233842659,True
18,ped_6_0_NODE_74388,NODE_74388,88.5,1206220504#1,-516163750#1,True
19,ped_7_0_NODE_10273,NODE_10273,88.5,-381452118#0,381452118#0,True
20,ped_1_1_LINK_212169,LINK_212169,90.0,1233842659,-1233842659,True
21,ped_3_1_NODE_6082,NODE_6082,90.0,1233842659,-1233842659,True
22,ped_6_1_NODE_74388,NODE_74388,90.0,1206220504#1,-516163750#1,True
23,ped_7_1_NODE_10273,NODE_10273,90.0,-381452118#0,381452118#0,True
24,ped_1_2_LINK_212169,LINK_212169,91.5,1233842659,-1233842659,True
25,ped_3_2_NODE_6082,NODE_6082,91.5,1233842659,-1233842659,True
26,ped_6_2_NODE_74388,NODE_74388,91.5,1206220504#1,-516163750#1,True
27,ped_7_2_NODE_10273,NODE_10273,91.5,-381452118#0,381452118#0,True
28,ped_1_3_LINK_212169,LINK_212169,93.0,1233842659,-1233842659,True
29,ped_3_3_NODE_6082,NODE_6082,93.0,1233842659,-1233842659,True
30,ped_6_3_NODE_74388,NODE_74388,93.0,1206220504#1,-516163750#1,True
31,ped_7_3_NODE_10273,NODE_10273,93.0,-381452118#0,381452118#0,True
32,ped_1_4_LINK_212169,LINK_212169,94.5,1233842659,-1233842659,True
33,ped_3_4_NODE_6082,NODE_6082,94.5,1233842659,-1233842659,True
34,ped_6_4_NODE_74388,NODE_74388,94.5,1206220504#1,-516163750#1,True
35,ped_7_4_NODE_10273,NODE_10273,94.5,-381452118#0,381452118#0,True
