crosswalk_id,original_rank,current_status,real_lon,real_lat,current_sumo_lon,current_sumo_lat,mapping_distance_m,location_verified,crossing_exists,tls_connected,ped_link_index_available,pedestrian_only_phase_available,smart_smoke_success,baseline_smoke_success,target_recovery_group,recommended_action,reason
NODE_10335,2,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.969139,37.568064,126.96898,37.567983,16.677,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_8369,3,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,127.011633,37.55386,127.011477,37.553749,18.424,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_167173,6,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.969047,37.567965,126.96898,37.567983,6.248,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
LINK_239754,7,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.973813,37.558747,126.974036,37.558755,19.666,True,True,True,True,True,True,True,main_verified_current_net,keep_current_main_candidate_table,signal ready and location reliable
NODE_5846,9,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.973936,37.558743,126.974036,37.558755,8.968,True,True,True,True,True,True,True,main_verified_current_net,keep_current_main_candidate_table,signal ready and location reliable
NODE_5831,11,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.973895,37.558702,126.974036,37.558755,13.738,True,True,True,True,True,True,True,main_verified_current_net,keep_current_main_candidate_table,signal ready and location reliable
NODE_10377,31,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.969218,37.555217,126.969109,37.555185,10.264,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_10376,35,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.969177,37.555214,126.969109,37.555185,6.828,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_150723,37,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.969197,37.555163,126.969109,37.555185,8.196,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_125895,39,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,127.011322,37.553702,127.011368,37.553749,6.65,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_10381,43,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.976453,37.554152,126.976501,37.554093,7.829,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
LINK_120139,50,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,127.011477,37.553781,127.011477,37.553749,3.504,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
