crosswalk_id,original_rank,previous_status,final_recovery_status,smart_smoke_success,baseline_smoke_success,ready_for_30seed,reason
LINK_249048,1,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
NODE_10335,2,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_8369,3,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_8426,4,RESULT_OK_BUT_LOCATION_BAD,RECOVERED_GENERATED_SIGNAL_READY,True,True,True,seed1 smoke passed
NODE_5837,5,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
NODE_167173,6,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
LINK_239754,7,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_74388,8,RESULT_OK_BUT_LOCATION_BAD,RECOVERED_GENERATED_SIGNAL_READY,True,True,True,seed1 smoke passed
NODE_5846,9,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_5831,11,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
LINK_10218,12,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
LINK_140740,13,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
NODE_9634,17,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
LINK_212169,18,NOT_FINAL_CANDIDATE,RECOVERED_GENERATED_SIGNAL_READY,True,True,True,seed1 smoke passed
LINK_194891,19,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
NODE_6123,28,NOT_FINAL_CANDIDATE,RECOVERED_GENERATED_SIGNAL_READY,True,True,True,seed1 smoke passed
NODE_10377,31,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_6082,33,NOT_FINAL_CANDIDATE,RECOVERED_GENERATED_SIGNAL_READY,True,True,True,seed1 smoke passed
NODE_10376,35,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_10378,36,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
NODE_150723,37,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_5681,38,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
NODE_125895,39,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_10262,41,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
NODE_10381,43,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_10273,46,NOT_FINAL_CANDIDATE,RECOVERED_GENERATED_SIGNAL_READY,True,True,True,seed1 smoke passed
NODE_8452,47,RESULT_OK_BUT_LOCATION_BAD,RECOVERED_GENERATED_SIGNAL_READY,True,True,True,seed1 smoke passed
LINK_120139,50,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
