crosswalk_id,original_rank,current_status,real_lon,real_lat,current_sumo_lon,current_sumo_lat,mapping_distance_m,location_verified,crossing_exists,tls_connected,ped_link_index_available,pedestrian_only_phase_available,smart_smoke_success,baseline_smoke_success,target_recovery_group,recommended_action,reason
NODE_10335,2,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.969139,37.568064,126.96898,37.567983,16.677,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_8369,3,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,127.011633,37.55386,127.011477,37.553749,18.424,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_167173,6,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.969047,37.567965,126.96898,37.567983,6.248,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
LINK_239754,7,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.973813,37.558747,126.974036,37.558755,19.666,True,True,True,True,True,True,True,main_verified_current_net,keep_current_main_candidate_table,signal ready and location reliable
NODE_5846,9,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.973936,37.558743,126.974036,37.558755,8.968,True,True,True,True,True,True,True,main_verified_current_net,keep_current_main_candidate_table,signal ready and location reliable
NODE_5831,11,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.973895,37.558702,126.974036,37.558755,13.738,True,True,True,True,True,True,True,main_verified_current_net,keep_current_main_candidate_table,signal ready and location reliable
NODE_10377,31,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.969218,37.555217,126.969109,37.555185,10.264,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_10376,35,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.969177,37.555214,126.969109,37.555185,6.828,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_150723,37,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.969197,37.555163,126.969109,37.555185,8.196,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_125895,39,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,127.011322,37.553702,127.011368,37.553749,6.65,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
NODE_10381,43,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,126.976453,37.554152,126.976501,37.554093,7.829,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
LINK_120139,50,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,127.011477,37.553781,127.011477,37.553749,3.504,True,True,True,True,False,True,True,main_verified_current_net,keep_current_main_candidate_table,smoke ready and location reliable
LINK_249048,1,LOCATION_OK_BUT_SMART_RESULT_FAIL,126.97407,37.558696,126.974119,37.558715,4.842,True,True,True,True,False,False,True,signal_fix_net_v1,add_or_repair_pedestrian_only_phase,not present in ready5 or mixed redesign promotion inputs
NODE_5837,5,LOCATION_OK_BUT_SMART_RESULT_FAIL,126.9742,37.558638,126.974119,37.558715,11.153,True,True,True,True,False,False,True,signal_fix_net_v1,add_or_repair_pedestrian_only_phase,not present in ready5 or mixed redesign promotion inputs
LINK_10218,12,LOCATION_OK_BUT_SMART_RESULT_FAIL,126.969222,37.555327,126.969111,37.555262,12.172,True,True,True,True,False,False,True,signal_fix_net_v1,add_or_repair_pedestrian_only_phase,not present in ready5 or mixed redesign promotion inputs
LINK_140740,13,LOCATION_OK_BUT_SMART_RESULT_FAIL,126.969221,37.555255,126.969111,37.555262,9.707,True,True,True,True,False,False,True,signal_fix_net_v1,add_or_repair_pedestrian_only_phase,not present in ready5 or mixed redesign promotion inputs
NODE_9634,17,LOCATION_OK_BUT_SMART_RESULT_FAIL,126.967078,37.565877,126.966941,37.565966,15.553,True,True,True,True,False,False,True,signal_fix_net_v1,add_or_repair_pedestrian_only_phase,not present in ready5 or mixed redesign promotion inputs
LINK_194891,19,LOCATION_OK_BUT_SMART_RESULT_FAIL,126.981991,37.560503,126.981975,37.560487,2.291,True,True,True,True,False,False,True,signal_fix_net_v1,add_or_repair_pedestrian_only_phase,not present in ready5 or mixed redesign promotion inputs
NODE_10378,36,LOCATION_OK_BUT_SMART_RESULT_FAIL,126.969224,37.555293,126.969111,37.555262,10.498,True,True,True,True,False,False,True,signal_fix_net_v1,add_or_repair_pedestrian_only_phase,not present in ready5 or mixed redesign promotion inputs
NODE_5681,38,LOCATION_OK_BUT_SMART_RESULT_FAIL,126.969221,37.555361,126.969115,37.555425,11.729,True,True,True,True,False,False,True,signal_fix_net_v1,add_or_repair_pedestrian_only_phase,not present in ready5 or mixed redesign promotion inputs
NODE_10262,41,LOCATION_OK_BUT_SMART_RESULT_FAIL,126.980913,37.562216,126.981053,37.562093,18.491,True,True,True,True,False,False,True,signal_fix_net_v1,add_or_repair_pedestrian_only_phase,not present in ready5 or mixed redesign promotion inputs
NODE_8426,4,RESULT_OK_BUT_LOCATION_BAD,127.010956,37.554733,127.011406,37.553831,107.854,False,True,True,True,False,True,True,location_repair_or_generated_signal_net_v1,repair_real_location_or_try_generated_crossing_signal,location review needed before smoke
NODE_74388,8,RESULT_OK_BUT_LOCATION_BAD,126.974071,37.553951,126.973365,37.554406,80.194,False,True,True,True,True,True,True,location_repair_or_generated_signal_net_v1,repair_real_location_or_try_generated_crossing_signal,ready candidate but location is BAD
NODE_5830,10,RESULT_OK_BUT_LOCATION_REVIEW,126.973732,37.558791,126.974036,37.558755,27.172,False,True,True,True,True,True,True,location_repair_or_generated_signal_net_v1,repair_real_location_or_try_generated_crossing_signal,signal ready but location review needed
NODE_6425,22,RESULT_OK_BUT_LOCATION_BAD,126.980952,37.554782,126.982098,37.55226,298.1,False,True,True,True,False,True,True,location_repair_or_generated_signal_net_v1,repair_real_location_or_try_generated_crossing_signal,location review needed before smoke
