crosswalk_id,original_rank,previous_status,final_recovery_status,smart_smoke_success,baseline_smoke_success,ready_for_30seed,reason
LINK_249048,1,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
NODE_10335,2,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_8369,3,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_8426,4,RESULT_OK_BUT_LOCATION_BAD,RECOVERED_GENERATED_SIGNAL_READY,True,True,True,seed1 smoke passed
NODE_5837,5,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
NODE_167173,6,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
LINK_239754,7,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_74388,8,RESULT_OK_BUT_LOCATION_BAD,RECOVERED_GENERATED_SIGNAL_READY,True,True,True,seed1 smoke passed
NODE_5846,9,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
NODE_5830,10,RESULT_OK_BUT_LOCATION_REVIEW,NEEDS_MANUAL_REVIEW,False,False,False,signal ready but location review needed
NODE_5831,11,FINAL_GOOD_MAPPING_AND_GOOD_RESULT,MAIN_READY_CURRENT_NET,True,True,True,main preserved
LINK_10218,12,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
LINK_140740,13,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
NODE_10060,14,NOT_FINAL_CANDIDATE,REJECT,False,False,False,not present in ready5 or mixed redesign promotion inputs
NODE_6342,15,NOT_FINAL_CANDIDATE,REJECT,False,False,False,not present in ready5 or mixed redesign promotion inputs
NODE_5647,16,NOT_FINAL_CANDIDATE,REJECT,False,False,False,not present in ready5 or mixed redesign promotion inputs
NODE_9634,17,LOCATION_OK_BUT_SMART_RESULT_FAIL,RECOVERED_SIGNAL_FIX_READY,True,True,True,seed1 smoke passed
LINK_212169,18,NOT_FINAL_CANDIDATE,RECOVERED_GENERATED_SIGNAL_READY,True,True,True,seed1 smoke passed
