crosswalk_id,original_rank,status_label,net_group,previous_status,next_pool_status,ready_for_30seed,status_family,source_tag,reason
LINK_249048,1,SIGNAL_FIX_READY,signal_fix,RECOVERED_SIGNAL_FIX_READY,READY_EXISTING_28,True,ready,top50_signal_fix_ready,already ready in current/signal_fix_v1/generated_v1 stage
NODE_10335,2,MAIN_READY_CURRENT_NET,current_main,MAIN_READY_CURRENT_NET,READY_EXISTING_28,True,ready,top50_current_main_ready,already ready in current/signal_fix_v1/generated_v1 stage
NODE_8369,3,MAIN_READY_CURRENT_NET,current_main,MAIN_READY_CURRENT_NET,READY_EXISTING_28,True,ready,top50_current_main_ready,already ready in current/signal_fix_v1/generated_v1 stage
NODE_8426,4,GENERATED_SIGNAL_READY,generated_signal,RECOVERED_GENERATED_SIGNAL_READY,READY_EXISTING_28,True,ready,top50_generated_signal_ready,already ready in current/signal_fix_v1/generated_v1 stage
NODE_5837,5,SIGNAL_FIX_READY,signal_fix,RECOVERED_SIGNAL_FIX_READY,READY_EXISTING_28,True,ready,top50_signal_fix_ready,already ready in current/signal_fix_v1/generated_v1 stage
NODE_167173,6,MAIN_READY_CURRENT_NET,current_main,MAIN_READY_CURRENT_NET,READY_EXISTING_28,True,ready,top50_current_main_ready,already ready in current/signal_fix_v1/generated_v1 stage
LINK_239754,7,MAIN_READY_CURRENT_NET,current_main,MAIN_READY_CURRENT_NET,READY_EXISTING_28,True,ready,top50_current_main_ready,already ready in current/signal_fix_v1/generated_v1 stage
NODE_74388,8,GENERATED_SIGNAL_READY,generated_signal,RECOVERED_GENERATED_SIGNAL_READY,READY_EXISTING_28,True,ready,top50_generated_signal_ready,already ready in current/signal_fix_v1/generated_v1 stage
NODE_5846,9,MAIN_READY_CURRENT_NET,current_main,MAIN_READY_CURRENT_NET,READY_EXISTING_28,True,ready,top50_current_main_ready,already ready in current/signal_fix_v1/generated_v1 stage
NODE_5831,11,MAIN_READY_CURRENT_NET,current_main,MAIN_READY_CURRENT_NET,READY_EXISTING_28,True,ready,top50_current_main_ready,already ready in current/signal_fix_v1/generated_v1 stage
LINK_10218,12,SIGNAL_FIX_READY,signal_fix,RECOVERED_SIGNAL_FIX_READY,READY_EXISTING_28,True,ready,top50_signal_fix_ready,already ready in current/signal_fix_v1/generated_v1 stage
LINK_140740,13,SIGNAL_FIX_READY,signal_fix,RECOVERED_SIGNAL_FIX_READY,READY_EXISTING_28,True,ready,top50_signal_fix_ready,already ready in current/signal_fix_v1/generated_v1 stage
NODE_10060,14,P1_SIGNAL_FIX_READY,p1_signal_fix,REJECT,P1_SIGNAL_FIX_PENDING_SEED1,True,ready,p1_seed1_smoke_verdict,seed1 smart/baseline passed
NODE_6342,15,P1_SIGNAL_FIX_READY,p1_signal_fix,REJECT,P1_SIGNAL_FIX_PENDING_SEED1,True,ready,p1_seed1_smoke_verdict,seed1 smart/baseline passed
NODE_5647,16,P1_SIGNAL_FIX_READY,p1_signal_fix,REJECT,P1_SIGNAL_FIX_PENDING_SEED1,True,ready,p1_seed1_smoke_verdict,seed1 smart/baseline passed
NODE_9634,17,SIGNAL_FIX_READY,signal_fix,RECOVERED_SIGNAL_FIX_READY,READY_EXISTING_28,True,ready,top50_signal_fix_ready,already ready in current/signal_fix_v1/generated_v1 stage
LINK_212169,18,GENERATED_SIGNAL_READY,generated_signal,RECOVERED_GENERATED_SIGNAL_READY,READY_EXISTING_28,True,ready,top50_generated_signal_ready,already ready in current/signal_fix_v1/generated_v1 stage
