crosswalk_id,original_rank,status_label,net_group,previous_status,next_pool_status,status_family,source_tag,reason,failure_category,recovery_strategy,recovery_priority,location_grade,mapping_distance_m,crossing_exists,tls_connected,ped_link_index_available,pedestrian_only_phase_available,route_available,nearest_tls_id,nearest_tls_distance_m
NODE_5830,10,P4_MANUAL_REVIEW,p4_manual_review,NEEDS_MANUAL_REVIEW,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,signal ready but location review needed,MANUAL_REVIEW_NEEDED,MANUAL_EDGE_PAIR_SELECTION,P4,REVIEW,27.172,True,True,True,True,False,5593950698.0,
LINK_153517,20,P4_MANUAL_REVIEW,p4_manual_review,REJECT,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,HOLD,P4,BAD,119.135,True,True,False,False,False,436856319.0,
NODE_21869,21,P4_MANUAL_REVIEW,p4_manual_review,REJECT,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,HOLD,P4,BAD,172.809,True,True,False,False,False,11203052964.0,
NODE_6425,22,P4_MANUAL_REVIEW,p4_manual_review,NEEDS_MANUAL_REVIEW,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,location review needed before smoke,MANUAL_REVIEW_NEEDED,MANUAL_EDGE_PAIR_SELECTION,P4,BAD,298.1,True,True,True,False,False,436856276.0,
NODE_10067,23,P4_MANUAL_REVIEW,p4_manual_review,REJECT,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,HOLD,P4,BAD,179.32,True,True,False,False,False,11203052960.0,
LINK_107613,25,P4_MANUAL_REVIEW,p4_manual_review,NEEDS_MANUAL_REVIEW,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,location review needed before smoke,MANUAL_REVIEW_NEEDED,MANUAL_EDGE_PAIR_SELECTION,P4,BAD,307.281,True,True,True,False,False,436856276.0,
NODE_8382,26,P4_MANUAL_REVIEW,p4_manual_review,NEEDS_MANUAL_REVIEW,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,location review needed before smoke,MANUAL_REVIEW_NEEDED,MANUAL_EDGE_PAIR_SELECTION,P4,BAD,98.998,True,True,True,False,False,1936511299.0,
NODE_8431,27,P4_MANUAL_REVIEW,p4_manual_review,NEEDS_MANUAL_REVIEW,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,location review needed before smoke,MANUAL_REVIEW_NEEDED,MANUAL_EDGE_PAIR_SELECTION,P4,BAD,143.24,True,True,True,False,False,1936511299.0,
NODE_10333,29,P4_MANUAL_REVIEW,p4_manual_review,REJECT,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,HOLD,P4,BAD,125.39,True,True,False,False,False,436856319.0,
NODE_6153,32,P4_MANUAL_REVIEW,p4_manual_review,REJECT,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,HOLD,P4,BAD,113.0,True,True,False,False,False,436856319.0,
NODE_6212,40,P4_MANUAL_REVIEW,p4_manual_review,REJECT,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,HOLD,P4,BAD,130.275,True,True,False,False,False,2457731125.0,
LINK_22103,48,P4_MANUAL_REVIEW,p4_manual_review,REJECT,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,HOLD,P4,BAD,177.89,True,True,False,False,False,11203052960.0,
NODE_5938,49,P4_MANUAL_REVIEW,p4_manual_review,NEEDS_MANUAL_REVIEW,P4_MANUAL_REVIEW,manual_review,remaining22_recovery_diagnosis,location review needed before smoke,MANUAL_REVIEW_NEEDED,MANUAL_EDGE_PAIR_SELECTION,P4,REVIEW,23.468,True,True,True,False,False,5851251266.0,
LINK_266939,24,P5_REJECT,p5_reject,REJECT,P5_REJECT,reject,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,REJECT,P5,BAD,253.887,True,True,False,False,False,2457731125.0,
NODE_6122,34,P5_REJECT,p5_reject,REJECT,P5_REJECT,reject,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,REJECT,P5,BAD,211.259,True,True,False,False,False,436856319.0,
LINK_127869,44,P5_REJECT,p5_reject,REJECT,P5_REJECT,reject,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,REJECT,P5,BAD,322.428,True,True,False,False,False,2457731125.0,
LINK_230879,45,P5_REJECT,p5_reject,REJECT,P5_REJECT,reject,remaining22_recovery_diagnosis,not present in ready5 or mixed redesign promotion inputs,LOCATION_TOO_FAR,REJECT,P5,BAD,220.067,True,True,False,False,False,436856319.0,
