network_group,tls_id,change_type,is_candidate_tls,vehicle_phase_changed,base_phase_count,patched_phase_count,base_controlled_links,patched_controlled_links,risk_level,risk_reason
signal_fix_net_v1,10080348171,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,10185125540,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,10296354655,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,10299171845,unchanged,False,False,6,6,17,17,LOW,
signal_fix_net_v1,10300433336,unchanged,False,False,5,5,9,9,LOW,
signal_fix_net_v1,10300433339,unchanged,False,False,5,5,10,10,LOW,
signal_fix_net_v1,10678236518,unchanged,False,False,3,3,5,5,LOW,
signal_fix_net_v1,10716511577,unchanged,False,False,6,6,6,6,LOW,
signal_fix_net_v1,10726078215,unchanged,False,False,6,6,8,8,LOW,
signal_fix_net_v1,10974491704,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,10974501405,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,10974501411,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,10974501472,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,10974501473,unchanged,True,False,3,3,5,5,LOW,
signal_fix_net_v1,10974501506,unchanged,False,False,3,3,10,10,LOW,
signal_fix_net_v1,10974501509,unchanged,False,False,3,3,9,9,LOW,
signal_fix_net_v1,10974501535,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,11059693772,unchanged,False,False,3,3,1,1,LOW,
signal_fix_net_v1,11059756892,unchanged,False,False,3,3,1,1,LOW,
signal_fix_net_v1,11125407477,unchanged,False,False,5,5,4,4,LOW,
signal_fix_net_v1,11125407480,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,11125407487,unchanged,False,False,4,4,3,3,LOW,
signal_fix_net_v1,11125407493,unchanged,False,False,4,4,3,3,LOW,
signal_fix_net_v1,11125407497,unchanged,False,False,4,4,3,3,LOW,
signal_fix_net_v1,11125409419,unchanged,False,False,5,5,10,10,LOW,
signal_fix_net_v1,11125409423,unchanged,False,False,5,5,10,10,LOW,
signal_fix_net_v1,11125409424,unchanged,False,False,5,5,10,10,LOW,
signal_fix_net_v1,11125409427,unchanged,False,False,5,5,10,10,LOW,
signal_fix_net_v1,11125409430,unchanged,False,False,5,5,10,10,LOW,
signal_fix_net_v1,11125409432,unchanged,False,False,4,4,2,2,LOW,
signal_fix_net_v1,11125409465,unchanged,False,False,4,4,3,3,LOW,
signal_fix_net_v1,11125409471,unchanged,False,False,4,4,3,3,LOW,
signal_fix_net_v1,11125409477,unchanged,False,False,4,4,3,3,LOW,
signal_fix_net_v1,11139302899,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,11139302901,unchanged,False,False,3,3,6,6,LOW,
signal_fix_net_v1,11139302904,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,11139376903,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11139418706,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11139418707,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11139418708,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11139418709,unchanged,False,False,3,3,4,4,LOW,
signal_fix_net_v1,11139418712,unchanged,False,False,3,3,4,4,LOW,
signal_fix_net_v1,11139418714,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11139418715,unchanged,True,False,3,3,3,3,LOW,
signal_fix_net_v1,11139418716,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,11139418719,unchanged,False,False,3,3,4,4,LOW,
signal_fix_net_v1,11139418722,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11139418723,unchanged,True,False,3,3,3,3,LOW,
signal_fix_net_v1,11139418724,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,11139418725,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11139418726,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11177412832,unchanged,False,False,4,4,3,3,LOW,
signal_fix_net_v1,11177413157,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11177413160,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11177413161,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,11178710192,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,11178710193,unchanged,False,False,3,3,1,1,LOW,
signal_fix_net_v1,11178710194,unchanged,False,False,3,3,4,4,LOW,
signal_fix_net_v1,11178710195,unchanged,False,False,3,3,1,1,LOW,
signal_fix_net_v1,11178710196,unchanged,False,False,3,3,1,1,LOW,
signal_fix_net_v1,11178710197,unchanged,False,False,3,3,1,1,LOW,
signal_fix_net_v1,11178710198,unchanged,False,False,3,3,1,1,LOW,
signal_fix_net_v1,11178710199,unchanged,False,False,3,3,1,1,LOW,
signal_fix_net_v1,11178710200,unchanged,False,False,3,3,1,1,LOW,
signal_fix_net_v1,11178710207,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,11178710208,unchanged,False,False,3,3,5,5,LOW,
signal_fix_net_v1,11197929742,unchanged,False,False,4,4,5,5,LOW,
signal_fix_net_v1,11197929743,unchanged,False,False,4,4,4,4,LOW,
signal_fix_net_v1,11197929744,unchanged,False,False,3,3,5,5,LOW,
signal_fix_net_v1,11197929745,unchanged,False,False,3,3,5,5,LOW,
signal_fix_net_v1,11197929746,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11197929747,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11197929748,unchanged,False,False,3,3,4,4,LOW,
signal_fix_net_v1,11197929749,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11197929750,unchanged,False,False,3,3,4,4,LOW,
signal_fix_net_v1,11197929751,unchanged,False,False,3,3,3,3,LOW,
signal_fix_net_v1,11197929752,unchanged,False,False,3,3,4,4,LOW,
signal_fix_net_v1,11197929753,unchanged,False,False,3,3,4,4,LOW,
signal_fix_net_v1,11197972368,unchanged,False,False,3,3,4,4,LOW,
signal_fix_net_v1,11197972373,unchanged,False,False,3,3,2,2,LOW,
signal_fix_net_v1,11197972374,unchanged,False,False,3,3,7,7,LOW,
