file_path,size_mb,file_type,suggested_action,reason,safe_to_delete,keep_reason_if_any
.DS_Store,0.027348,mac_metadata,DELETE,macOS metadata,True,
2026-05-14_14-29-35/.DS_Store,0.005863,mac_metadata,DELETE,macOS metadata,True,
cw_NODE_10376_smart_s1_mapping_test/.DS_Store,0.009769,mac_metadata,DELETE,macOS metadata,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/calibration_report.csv,0.0,csv,DELETE,empty calibration artifact,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/calibration_summary.md,0.0,md,DELETE,empty calibration artifact,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/edge_data_baseline_seed1.xml,204.062034,xml,DELETE,generated edge xml,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/edge_data_smart_selected_seed1.xml,204.062034,xml,DELETE,generated edge xml,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/lane_data_baseline_seed1.xml,271.573392,xml,DELETE,generated lane xml,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/lane_data_smart_selected_seed1.xml,271.573392,xml,DELETE,generated lane xml,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/runtime_trace_seed1.log,0.052069,log,DELETE,runtime trace log,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/sumo_stderr_baseline_seed1.log,0.003115,log,DELETE,SUMO stderr log,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/sumo_stderr_smart_selected_seed1.log,0.003115,log,DELETE,SUMO stderr log,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/sumo_stdout_baseline_seed1.log,0.0,log,DELETE,SUMO stdout log,True,
cw_NODE_10376_smart_s1_mapping_test/outputs/sumo_stdout_smart_selected_seed1.log,0.0,log,DELETE,SUMO stdout log,True,
cw_NODE_10376_smart_s1_mapping_test/sumo_nets/integrated_selected/baseline_seed1.sumocfg,0.000785,sumocfg,REVIEW,reproducible sumocfg,False,
