crosswalk_id,dong_name,candidate_lat,candidate_lon,mapped_crossing_edge_id,mapped_junction_id,mapped_has_tls,mapped_lat,mapped_lon,crossing_distance_m,tls_id_nearest,tls_distance_m,mapping_score,mapping_level,mapping_reason,was_reassigned,net_group,risk_rank,risk_score,accident_count,manual_status,manual_note
NODE_10335,충정로1가,37.568064,126.969139,:7068953107_c0,7068953107,True,37.568257,126.968992,25.02,12234253870,14.79,80,good,재배정 nearest crossing 25.0m / 원래 1순위(:12234253870_c0) 중복 → 재배정 / TLS junction 있음 / 매핑 신뢰도 높음,True,current_main,2,17.33824152223324,0.0,accept,
NODE_8369,신당동,37.55386,127.011633,:3849142978_c1,3849142978,False,37.554039,127.011616,19.93,1936511299,18.24,45,good,재배정 nearest crossing 19.9m / 원래 1순위(:1936511299_c0) 중복 → 재배정 / 매핑 신뢰도 높음,True,current_main,3,16.894706504250845,0.0,accept,
NODE_167173,충정로1가,37.567965,126.969047,:12234253870_c0,12234253870,True,37.567983,126.96898,6.26,12234253870,5.71,100,exact,nearest crossing 6.3m / TLS junction 있음 / 매핑 신뢰도 높음,False,current_main,6,16.811150377854993,0.0,accept,
LINK_239754,남대문로5가,37.558747,126.973814,:5593950698_c0,5593950698,True,37.558755,126.974036,19.71,5593950705,11.94,80,good,재배정 nearest crossing 19.7m / 원래 1순위(:5593950705_c0) 중복 → 재배정 / TLS junction 있음 / 매핑 신뢰도 높음,True,current_main,7,16.73006840094175,0.0,accept,
NODE_5831,남대문로5가,37.558702,126.973895,:7195225083_c0,7195225083,False,37.558578,126.974046,19.14,5593950705,12.54,45,good,재배정 nearest crossing 19.1m / 원래 1순위(:5593950705_c0) 중복 → 재배정 / 매핑 신뢰도 높음,True,current_main,10,16.079578500050754,0.0,accept,
NODE_5846,남대문로5가,37.558743,126.973936,:5593950705_c0,5593950705,True,37.558812,126.973918,7.76,5593950705,7.91,100,exact,nearest crossing 7.8m / TLS junction 있음 / 매핑 신뢰도 높음,False,current_main,11,16.079578500050754,0.0,accept,
NODE_10376,봉래동2가,37.555214,126.969178,:436839905_c0,436839905,True,37.555185,126.969109,6.84,436839905,6.57,100,exact,nearest crossing 6.8m / TLS junction 있음 / 매핑 신뢰도 높음,False,current_main,29,15.335750719629049,0.0,accept,
NODE_10377,봉래동2가,37.555217,126.969218,:11139418708_c0,11139418708,True,37.555193,126.969044,15.64,436839905,10.08,80,good,재배정 nearest crossing 15.6m / 원래 1순위(:11139418716_c0) 중복 → 재배정 / TLS junction 있음 / 매핑 신뢰도 높음,True,current_main,30,15.335750719629049,0.0,accept,
NODE_150723,봉래동2가,37.555163,126.969197,:11139418709_c0,11139418709,True,37.555122,126.969107,9.16,11139418709,7.86,100,exact,재배정 nearest crossing 9.2m / 원래 1순위(:436839905_c0) 중복 → 재배정 / TLS junction 있음 / 매핑 신뢰도 높음,True,current_main,33,15.335750719629049,0.0,accept,
NODE_125895,신당동,37.553702,127.011322,:3849082644_c1,3849082644,False,37.553692,127.011295,2.64,1936511299,14.32,60,exact,nearest crossing 2.6m / 매핑 신뢰도 높음,False,current_main,39,15.132392747252409,0.0,accept,
NODE_10381,남대문로5가,37.554152,126.976452,:3873291328_c0,3873291328,True,37.554093,126.976501,7.82,3873291328,12.33,100,exact,nearest crossing 7.8m / TLS junction 있음 / 매핑 신뢰도 높음,False,current_main,42,15.084920865317557,0.0,accept,
LINK_120139,신당동,37.553781,127.011477,:1936511299_c0,1936511299,True,37.553749,127.011477,3.5,1936511299,2.01,100,exact,nearest crossing 3.5m / TLS junction 있음 / 매핑 신뢰도 높음,False,current_main,50,14.885706933874063,0.0,accept,
NODE_8426,신당동,37.554733,127.010956,:3849142980_c0,3849142980,True,37.554601,127.010984,14.82,3849142980,14.31,80,good,nearest crossing 14.8m / TLS junction 있음 / 매핑 신뢰도 높음,False,generated_signal,4,16.894706504250845,0.0,accept,
NODE_74388,남대문로5가,37.553951,126.974071,:436883130_c0,436883130,True,37.553573,126.974175,42.94,436883130,14.42,55,approx,nearest crossing 42.9m / TLS junction 있음 / 중간 거리 – 검토 권장,False,generated_signal,8,16.329709841668073,0.0,accept,
LINK_212169,남창동,37.557612,126.976957,:11449716078_c1,11449716078,True,37.557462,126.976878,18.04,11449716078,5.46,80,good,재배정 nearest crossing 18.0m / 원래 1순위(:11449716078_c0) 중복 → 재배정 / TLS junction 있음 / 매핑 신뢰도 높음,True,generated_signal,18,15.695881308958034,0.0,accept,
NODE_6082,남창동,37.557556,126.976975,:11449716078_c0,11449716078,True,37.557527,126.976906,6.84,11449716078,11.05,100,exact,nearest crossing 6.8m / TLS junction 있음 / 매핑 신뢰도 높음,False,generated_signal,35,15.335750719629049,0.0,accept,
NODE_10273,신당동,37.556784,127.009397,:3846533030_c1,3846533030,True,37.556868,127.009241,16.68,3846533030,14.52,80,good,nearest crossing 16.7m / TLS junction 있음 / 매핑 신뢰도 높음,False,generated_signal,46,14.946446640192647,0.0,accept,
NODE_8452,신당동,37.556655,127.009042,:3846603653_c0,3846603653,True,37.556562,127.009082,10.92,3846603653,10.92,80,good,nearest crossing 10.9m / TLS junction 있음 / 매핑 신뢰도 높음,False,generated_signal,47,14.946446640192647,0.0,accept,
NODE_10060,회현동2가,37.560604,126.982181,:11203052955_c0,11203052955,True,37.560543,126.982338,15.4,11203052967,12.28,80,good,nearest crossing 15.4m / TLS junction 있음 / 매핑 신뢰도 높음,False,p1_p4_recovery,14,15.816582680263751,0.0,accept,
NODE_6342,남대문로3가,37.561585,126.980948,:3861498273_c0,3861498273,False,37.561162,126.981274,55.09,13732389950,28.49,25,approx,재배정 nearest crossing 55.1m / 원래 1순위(:11203041633_c0) 중복 → 재배정 / 중간 거리 – 검토 권장,True,p1_p4_recovery,15,15.816582680263751,0.0,accept,
NODE_5647,충정로1가,37.56589,126.96727,:10974501473_c0,10974501473,True,37.565966,126.966941,30.27,10974501535,14.57,55,approx,재배정 nearest crossing 30.3m / 원래 1순위(:10974501535_c0) 중복 → 재배정 / TLS junction 있음 / 중간 거리 – 검토 권장,True,p1_p4_recovery,16,15.77123884833768,0.0,accept,
NODE_122781,남대문로3가,37.561843,126.980769,:11203041633_c0,11203041633,True,37.561814,126.981274,44.73,11203041632,25.66,55,approx,재배정 nearest crossing 44.7m / 원래 1순위(:11203041635_c0) 중복 → 재배정 / TLS junction 있음 / 중간 거리 – 검토 권장,True,p1_p4_recovery,43,15.084920865317557,0.0,accept,
NODE_5938,태평로1가,37.566841,126.976897,:11414286332_c0,11414286332,False,37.566638,126.976922,22.63,5851251266,29.77,45,good,nearest crossing 22.6m / 매핑 신뢰도 높음,False,p1_p4_recovery,49,14.895305392338535,0.0,accept,
LINK_249048,남대문로5가,37.558696,126.97407,:5161705573_c0,5161705573,True,37.558715,126.974119,4.85,5161705573,4.58,100,exact,nearest crossing 4.8m / TLS junction 있음 / 매핑 신뢰도 높음,False,signal_fix,1,17.62836164474305,0.0,accept,
NODE_5837,남대문로5가,37.558638,126.9742,:13721232721_c0,13721232721,False,37.558556,126.974096,12.95,5161705573,11.05,45,good,재배정 nearest crossing 12.9m / 원래 1순위(:5161705573_c0) 중복 → 재배정 / 매핑 신뢰도 높음,True,signal_fix,5,16.859484055668624,0.0,accept,
LINK_10218,봉래동2가,37.555327,126.969222,:5961230425_c0,5961230425,False,37.555288,126.969104,11.3,11139418716,9.32,45,good,재배정 nearest crossing 11.3m / 원래 1순위(:11139418716_c0) 중복 → 재배정 / 매핑 신뢰도 높음,True,signal_fix,12,15.936730126230533,0.0,accept,
NODE_9634,충정로1가,37.565877,126.967078,:10974501535_c0,10974501535,True,37.565876,126.967106,2.53,10974501535,2.53,100,exact,nearest crossing 2.5m / TLS junction 있음 / 매핑 신뢰도 높음,False,signal_fix,17,15.77123884833768,0.0,accept,
LINK_194891,회현동2가,37.560503,126.981991,:11203052965_c0,11203052965,True,37.560487,126.981975,2.29,11203052964,2.28,100,exact,nearest crossing 2.3m / TLS junction 있음 / 매핑 신뢰도 높음,False,signal_fix,19,15.653422500888198,0.0,accept,
NODE_10262,남대문로3가,37.562216,126.980913,:11203041635_c0,11203041635,True,37.562093,126.981053,18.49,11203041635,19.63,80,good,nearest crossing 18.5m / TLS junction 있음 / 매핑 신뢰도 높음,False,signal_fix,41,15.084920865317557,0.0,accept,
