canonical_network_version,crosswalk_id,crossing_edge,tls_id,ped_link_indices,from_edge,to_edge,vehicle_conflict_edges,approach_lanes,match_distance_m,path_uses_crossing,path_uses_walkingarea,tlLogic_exists_in_net_xml,exists_in_connection_tl,is_netconvert_ghost_tls,registry_status,implementation_status,c_subtype,recovery_status,recovery_source,network_net_sha256,netconvert_options_sha256,sumo_version,netconvert_version,validated_at,validated_by,crossing_lon,crossing_lat,matched_radius_m,distance_bucket,mapping_confidence,control_mode,runnable_for_signal_extension,runnable_for_unsignalized_sim,requires_patch,interpretation_note,original_failure_reason,override_reason,notes
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10007,:8453967389_c1,GS_8453967389,9,911522751#1,910455717,-911522751#4|911522751#1|-911522751#2|911522751#3,-911522751#4_1|-911522751#4_2|911522751#1_1|911522751#1_2,337.15350777813495,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,127.01487623664643,37.56803209689397,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10008,:8453967389_c1,GS_8453967389,9,911522751#1,910455717,-911522751#4|911522751#1|-911522751#2|911522751#3,-911522751#4_1|-911522751#4_2|911522751#1_1|911522751#1_2,333.99286337884934,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,127.01487623664643,37.56803209689397,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10009,:8453967389_c1,GS_8453967389,9,911522751#1,910455717,-911522751#4|911522751#1|-911522751#2|911522751#3,-911522751#4_1|-911522751#4_2|911522751#1_1|911522751#1_2,299.3010689760252,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,127.01487623664643,37.56803209689397,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10060,:11203052964_c0,11203052964,11,1209133881#0,-781985788#0,-781985788#2|781985788#0|-781985788#0|781985788#1,-781985788#2_1|-781985788#2_2|-781985788#2_3|-781985788#2_4|781985788#0_1|781985788#0_2|781985788#0_3|781985788#0_4|781985788#0_5|781985788#0_6|781985788#0_7,5.319217465808337,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,126.98196437711906,37.560495163579986,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10061,:11203052957_c0,11203052957,1,1209133879#2,913392928#1,913392928#0|913392928#1,913392928#0_1,9.643555807232747,True,True,True,True,False,A,ready_for_simulation,C11_manual_netedit_required,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,126.98237421110483,37.56036640311212,,,verified,signalized,True,True,False,,,,
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10067,:11203052960_c0,11203052960,3,1209133880#1,1467498055#1,1467498055#0|1467498055#1,1467498055#0_1|1467498055#0_2|1467498055#0_3,178.8324144278127,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,126.9819293115092,37.56022347924575,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10090,:2457731125_c0,2457731125,3,1339697075#0,237901345#0,1339697075#0|1339697075#1,1339697075#0_1|1339697075#0_2|1339697075#0_3,327.9841342239603,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,126.97705108541774,37.55497448437383,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10098,:11203052957_c0,11203052957,1,1209133879#2,913392928#1,913392928#0|913392928#1,913392928#0_1,489.8210055179618,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,126.98237421110483,37.56036640311212,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10104,:11203052957_c0,11203052957,1,1209133879#2,913392928#1,913392928#0|913392928#1,913392928#0_1,507.5973159951216,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,126.98237421110483,37.56036640311212,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10113,:11346754526_c0,11346754526,2,-772527390#3,772527390#3,-772527390#3|772527390#2|-772527390#2|772527390#3,-772527390#3_1|772527390#2_1,466.4039482812576,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,126.99321305096846,37.56088447397851,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10114,:11346754526_c0,11346754526,2,-772527390#3,772527390#3,-772527390#3|772527390#2|-772527390#2|772527390#3,-772527390#3_1|772527390#2_1,451.30602348744213,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,126.99321305096846,37.56088447397851,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10148,:1327210689_c0,1327210689,5,-913006754#0,913006754#0,-913006754#0|913006753|-913006753|913006754#0,-913006754#0_1|-913006754#0_2|-913006754#0_3|913006753_1|913006753_2,123.35918439805262,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,127.00524666232552,37.5590611504295,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10173,:3846533327_c0,3846533327,20,-381452140#1,-381452140#0,-381452099|-381452140#1|-420317538#2|381452140#0|420317538#1|-381452140#0|-420317538#1|381452099|381452140#1|420317538#2,-381452099_1|-381452140#1_1|-420317538#2_1|381452140#0_1|420317538#1_1,172.1770952179666,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,127.01222898274493,37.55939853872191,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10174,:3846533327_c1,3846533327,21,-381452099,420317538#2,-381452099|-381452140#1|-420317538#2|381452140#0|420317538#1|-381452140#0|-420317538#1|381452099|381452140#1|420317538#2,-381452099_1|-381452140#1_1|-420317538#2_1|381452140#0_1|420317538#1_1,145.98493775820765,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,127.01235068584037,37.55930460884475,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10175,:3846533327_c1,3846533327,21,-381452099,420317538#2,-381452099|-381452140#1|-420317538#2|381452140#0|420317538#1|-381452140#0|-420317538#1|381452099|381452140#1|420317538#2,-381452099_1|-381452140#1_1|-420317538#2_1|381452140#0_1|420317538#1_1,169.77736114275518,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,127.01235068584037,37.55930460884475,,,,,False,False,False,,distance_exceeded,,distance_exceeded
junggu_expanded_b1000_net564d97fd29cc_optbef4f82e35ec,10212,:436864128_c0,436864128,2,896413219#0,896413219#1,899499305#0|899499305#1,899499305#0_1|899499305#0_2,164.06141586298781,True,True,True,True,False,manual_review,crossing_reconstruction_required,C1_distance_match_failed,,,564d97fd29cc86349c307ed6dc7e8ec319aecc54d1f69cffbd9bba83cb182a4f,bef4f82e35ec6fa66e34949a5956a7cba8fb2aaf8a142dcf17ef0728fe469023,Eclipse SUMO sumo 1.26.0,Eclipse SUMO netconvert 1.26.0,2026-05-11T12:36:56,junlee,127.02383132510923,37.56508486466774,,,,,False,False,False,,distance_exceeded,,distance_exceeded
